DateTime,AddedIPs,RemovedIPs
1513727557,39,17
1513729457,38,26
1513731388,33,27
1513733320,396,0
1513735244,78,17
1513737158,18,7
1513739075,22,10
1513741003,27,15
1513742920,25,9
1513744815,24,10
1513746755,15,12
1513748663,19,15
1513750604,23,21
1513752493,23,15
1513754450,24,12
1513756349,23,12
1513758502,27,16
1513761139,56,33
1513763056,24,20
1513765030,39,26
1513767157,37,25
1513769068,33,21
1513770991,23,16
1513772921,29,1567
1513774837,686,0
1513776761,91,24
1513778662,68,26
1513780602,51,21
1513782541,52,19
1513784433,54,19
1513786353,82,27
1513788276,48,17
1513790445,28,19
1513792353,33,18
1513794512,34,23
1513796441,65,41
1513798597,19,29
1513800506,28,23
1513802408,17,27
1513804350,18,30
1513806255,23,23
1513808440,25,27
1513810589,19,30
1513812922,32,70
1513814919,18,28
1513816830,12,27
1513818742,558,0
1513821156,20,21
1513823051,10,21
1513825021,21,18
1513826890,27,13
1513828839,42,41
1513830738,17,15
1513832664,15,15
1513834591,19,16
1513836514,13,23
1513838430,12,18
1513840351,13,21
1513842252,14,29
1513844441,21,23
1513846593,15,22
1513848514,16,25
1513850434,37,48
1513852596,17,29
1513854520,22,45
1513856428,15,24
1513858445,27,1625
1513860274,30,44
1513862198,724,0
1513864357,40,60
1513866254,47,50
1513868441,49,17
1513870352,139,43
1513872270,21,27
1513874180,30,25
1513876347,27,20
1513878299,36,22
1513880178,27,22
1513882349,21,25
1513884277,33,23
1513886198,16,20
1513888121,30,26
1513890040,39,58
1513891959,17,26
1513893857,18,32
1513896042,10,33
1513898202,25,43
1513900120,21,23
1513902040,9,42
1513903950,10,44
1513906114,659,0
1513908269,29,87
1513910188,6,16
1513912355,9,18
1513914259,21,23
1513916190,11,26
1513918357,7,22
1513920259,9,18
1513922195,17,21
1513924356,19,47
1513926269,11,23
1513928188,17,20
1513930120,10,25
1513932023,21,31
1513934205,16,25
1513936094,21,26
1513938037,23,32
1513939950,9,33
1513941866,19,37
1513943775,17,28
1513945700,17,1657
1513947667,683,0
1513949561,19,33
1513951465,20,31
1513953399,26,45
1513955311,22,49
1513957234,49,55
1513959136,42,43
1513961066,52,41
1513963002,47,38
1513964915,63,47
1513966833,72,29
1513968753,81,15
1513970657,64,14
1513972599,62,15
1513974525,49,23
1513976433,56,39
1513978375,15,21
1513980264,20,18
1513982187,12,12
1513984157,22,20
1513986209,10,20
1513988422,25,33
1513990343,19,23
1513992256,473,0
1513994170,14,10
1513996104,11,15
1513998035,52,48
1513999951,29,21
1514001867,29,25
1514003791,24,18
1514005693,14,22
1514007619,12,24
1514009549,22,18
1514011467,10,13
1514013379,21,15
1514015312,19,12
1514017225,14,23
1514019225,10,19
1514021054,30,19
1514022990,33,19
1514024920,36,17
1514026825,47,30
1514028733,19,20
1514037151,49,754
1514039068,48,12
1514040973,35,10
1514042899,16,9
1514044836,36,34
1514046752,21,7
1514048662,18,12
1514050592,25,13
1514052514,30,12
1514054424,34,10
1514056349,38,17
1514058278,26,17
1514060198,23,11
1514062115,45,17
1514064039,42,14
1514065955,30,23
1514067884,24,22
1514070060,27,29
1514072197,16,18
1514074114,19,16
1514076038,15,19
