DateTime,Entries,UniqueIPs
1513727557,2843,2843
1513729457,2855,2855
1513731388,2861,2861
1513733320,3257,3257
1513735244,3318,3318
1513737158,3329,3329
1513739075,3341,3341
1513741003,3353,3353
1513742920,3369,3369
1513744815,3383,3383
1513746755,3386,3386
1513748663,3390,3390
1513750604,3392,3392
1513752493,3400,3400
1513754450,3412,3412
1513756349,3423,3423
1513758502,3434,3434
1513761139,3457,3457
1513763056,3461,3461
1513765030,3474,3474
1513767157,3486,3486
1513769068,3498,3498
1513770991,3505,3505
1513772921,1967,1967
1513774837,2653,2653
1513776761,2720,2720
1513778662,2762,2762
1513780602,2792,2792
1513782541,2825,2825
1513784433,2860,2860
1513786353,2915,2915
1513788276,2946,2946
1513790445,2955,2955
1513792353,2970,2970
1513794512,2981,2981
1513796441,3005,3005
1513798597,2995,2995
1513800506,3000,3000
1513802408,2990,2990
1513804350,2978,2978
1513806255,2978,2978
1513808440,2976,2976
1513810589,2965,2965
1513812922,2927,2927
1513814919,2917,2917
1513816830,2902,2902
1513818742,3460,3460
1513821156,3459,3459
1513823051,3448,3448
1513825021,3451,3451
1513826890,3465,3465
1513828839,3466,3466
1513830738,3468,3468
1513832664,3468,3468
1513834591,3471,3471
1513836514,3461,3461
1513838430,3455,3455
1513840351,3447,3447
1513842252,3432,3432
1513844441,3430,3430
1513846593,3423,3423
1513848514,3414,3414
1513850434,3403,3403
1513852596,3391,3391
1513854520,3368,3368
1513856428,3359,3359
1513858445,1761,1761
1513860274,1747,1747
1513862198,2471,2471
1513864357,2451,2451
1513866254,2448,2448
1513868441,2480,2480
1513870352,2576,2576
1513872270,2570,2570
1513874180,2575,2575
1513876347,2582,2582
1513878299,2596,2596
1513880178,2601,2601
1513882349,2597,2597
1513884277,2607,2607
1513886198,2603,2603
1513888121,2607,2607
1513890040,2588,2588
1513891959,2579,2579
1513893857,2565,2565
1513896042,2542,2542
1513898202,2524,2524
1513900120,2522,2522
1513902040,2489,2489
1513903950,2455,2455
1513906114,3114,3114
1513908269,3056,3056
1513910188,3046,3046
1513912355,3037,3037
1513914259,3035,3035
1513916190,3020,3020
1513918357,3005,3005
1513920259,2996,2996
1513922195,2992,2992
1513924356,2964,2964
1513926269,2952,2952
1513928188,2949,2949
1513930120,2934,2934
1513932023,2924,2924
1513934205,2915,2915
1513936094,2910,2910
1513938037,2901,2901
1513939950,2877,2877
1513941866,2859,2859
1513943775,2848,2848
1513945700,1208,1208
1513947667,1891,1891
1513949561,1877,1877
1513951465,1866,1866
1513953399,1847,1847
1513955311,1820,1820
1513957234,1814,1814
1513959136,1813,1813
1513961066,1824,1824
1513963002,1833,1833
1513964915,1849,1849
1513966833,1892,1892
1513968753,1958,1958
1513970657,2008,2008
1513972599,2055,2055
1513974525,2081,2081
1513976433,2098,2098
1513978375,2092,2092
1513980264,2094,2094
1513982187,2094,2094
1513984157,2096,2096
1513986209,2086,2086
1513988422,2078,2078
1513990343,2074,2074
1513992256,2547,2547
1513994170,2551,2551
1513996104,2547,2547
1513998035,2551,2551
1513999951,2559,2559
1514001867,2563,2563
1514003791,2569,2569
1514005693,2561,2561
1514007619,2549,2549
1514009549,2553,2553
1514011467,2550,2550
1514013379,2556,2556
1514015312,2563,2563
1514017225,2554,2554
1514019225,2545,2545
1514021054,2556,2556
1514022990,2570,2570
1514024920,2589,2589
1514026825,2606,2606
1514028733,2605,2605
1514037151,1900,1900
1514039068,1936,1936
1514040973,1961,1961
1514042899,1968,1968
1514044836,1970,1970
1514046752,1984,1984
1514048662,1990,1990
1514050592,2002,2002
1514052514,2020,2020
1514054424,2044,2044
1514056349,2065,2065
1514058278,2074,2074
1514060198,2086,2086
1514062115,2114,2114
1514064039,2142,2142
1514065955,2149,2149
1514067884,2151,2151
1514070060,2149,2149
1514072197,2147,2147
1514074114,2150,2150
1514076038,2146,2146
1514077956,2473,2473
1514079862,2473,2473
1514081811,2485,2485
1514083710,2524,2524
1514085624,2529,2529
1514087536,2524,2524
1514089486,2529,2529
1514091391,2536,2536
1514093573,2541,2541
1514095462,2548,2548
1514097404,2556,2556
1514099310,2556,2556
1514101461,2557,2557
1514103395,2567,2567
1514105321,2569,2569
1514107218,2590,2590
1514109390,2575,2575
1514111311,2562,2562
1514113471,2561,2561
1514115396,2561,2561
1514117409,1184,1184
1514119209,1205,1205
1514121235,1801,1801
1514123058,1793,1793
1514125004,1809,1809
1514126916,1832,1832
1514129062,1828,1828
1514130994,1829,1829
1514133160,1806,1806
