DateTime,AddedIPs,RemovedIPs
1507372596,8,1
1507387232,6,5
1507401855,6,3
1507416742,5,0
1507431369,3,1
1507446012,5,0
1507460910,3,0
1507475541,10,0
1507490165,6,1
1507504820,5,0
1507519461,5,2
1507534353,5,1
1507549226,3,0
1507563855,5,0
1507578487,6,1
1507593128,1,0
1507607782,3,0
1507622417,5,1
1507637302,5,0
1507651940,1,1
1507666568,2,2
1507681221,5,0
1507695863,9,1
1507710748,2,0
1507725372,3,2
1507740022,4,0
1507754653,13,2
1507769561,14,1
1507784457,9,0
1507799048,13,1
1507813695,14,1
1507828330,12,0
1507843222,15,1
1507857851,8,0
1507872746,8,1
1507887381,13,0
1507902253,8,0
1507916892,8,0
1507931540,17,0
1507946166,14,1
1507960690,9,1
1507975458,12,1
1507990344,13,0
1508005220,9,0
1508019856,10,0
1508034744,12,1
1508049370,7,1
1508064019,11,0
1508078654,12,0
1508093292,12,0
1508107926,8,0
1508122582,11,0
1508137222,5,0
1508151857,6,3
1508166507,18,1
1508181136,14,2
1508195788,12,1
1508210425,17,0
1508225050,11,1
1508239692,13,0
1508254329,12,2
1508268986,13,2
1508283620,11,0
1508298252,18,1
1508312898,9,0
1508327539,15,0
1508342431,22,0
1508357053,6,0
1508371942,12,0
1508386573,18,1
1508401456,9,0
1508416343,9,0
1508430980,6,0
1508445620,6,1
1508460251,12,0
1508474895,11,0
1508489542,9,0
1508504165,14,1
1508518827,11,0
1508533471,9,1
1508548099,4,0
1508562745,9,0
1508577502,15,0
1508592253,8,1
1508606890,7,0
1508621784,9,2
1508636416,9,0
1508651065,10,0
1508665700,10,1
1508680363,12,0
1508695230,8,0
1508709855,10,0
1508724747,20,1
1508739371,7,0
1508754005,8,3
1508768652,13,1
1508783548,13,1
1508798189,8,0
1508812819,7,0
1508827451,10,0
1508842096,5,1
1508856729,6,0
1508871389,7,1
1508886055,8,0
1508900762,5,0
1508915548,10,1
1508930166,11,0
1508944818,15,1
1508959469,12,0
1508974345,10,0
1508989223,10,1
1509003852,10,1
1509018487,10,0
1509033148,10,5
1509048031,9,1
1509062932,7,0
1509077535,11,0
1509092181,8,1
1509107308,12,0
1509122189,8,0
1509136822,11,0
1509151449,17,0
1509166099,12,0
1509181009,9,2
1509195624,13,1
1509210518,18,0
1509225138,10,0
1509240072,10,0
1509254653,17,0
1509269307,13,1
1509283941,9,0
1509298583,7,0
1509313231,12,0
1509327852,4,0
1509342744,7,1
1509357365,10,0
1509372022,12,0
1509386910,11,1
1509401525,13,0
1509416167,7,0
1509430810,8,0
1509445694,10,2
1509460344,10,1
1509474971,10,0
1509489617,28,2
1509504257,15,0
1509518896,12,0
1509533543,10,1
1509548169,10,0
1509562827,20,0
1509577714,20,0
1509592355,19,1
1509606988,12,0
1509621618,21,2
1509636251,16,0
1509650893,15,1
1509665528,7,0
1509680165,11,1
1509694811,7,2
1509709448,10,2
1509724353,13,0
1509738985,12,2
1509753869,15,6
1509768484,18,2
1509783140,10,0
1509797765,20,0
1509812405,15,0
1509827050,12,1
1509841706,12,2
1509856327,12,0
1509870975,12,0
1509885854,13,2
1509900508,17,0
1509915150,7,0
1509929772,10,0
1509944409,14,0
1509959056,27,1
1509973684,22,0
1509988343,11,1
1510002973,10,1
1510017604,16,2
1510032256,13,0
1510046888,14,0
1510061532,9,1
1510076171,9,3
1510090806,12,1
1510105449,10,0
1510120095,7,2
1510134741,11,0
1510149632,18,1
1510164497,5,0
1510179388,12,0
1510194029,4,0
1510208780,12,1
1510223303,7,0
1510237953,9,1
1510252591,11,0
1510268478,17,1
1510283052,32,1
1510297946,29,3
1510312574,25,0
1510327222,33,1
1510341848,19,0
1510356496,31,1
1510371132,29,1
1510385779,25,0
1510400655,21,0
1510415299,24,0
1510429942,19,0
1510444565,17,2
1510459233,22,1
1510473848,15,1
1510488515,20,1
1510503138,11,0
1510517781,12,1
1510532405,24,0
1510547300,12,1
1510562182,14,1
1510576813,11,2
1510591450,14,1
1510606349,20,0
1510620970,12,0
1510635631,13,0
1510650506,19,0
1510666869,15,0
1510681450,28,0
1510696107,37,2
1510710736,31,0
1510725389,15,0
1510740257,23,1
1510754885,21,1
1510769798,19,3
1510784426,22,0
1510799075,15,0
1510813689,14,2
1510828339,15,0
1510843226,10,1
1510857848,6,0
1510872510,5,0
1510887149,9,0
1510902033,19,1
1510916877,12,0
