DateTime,AddedIPs,RemovedIPs
1514265302,536,440
1514266202,449,350
1514267102,493,246
1514268002,573,277
1514268903,655,239
1514269802,601,251
1514270703,460,361
1514271602,640,511
1514272502,722,223
1514273402,610,260
1514274303,841,343
1514275202,672,214
1514276102,665,195
1514277002,478,200
1514277902,494,285
1514278802,463,176
1514279702,496,176
1514280602,452,183
1514281503,435,207
1514282403,392,241
1514283304,609,202
1514284203,680,416
1514285103,433,263
1514286003,456,163
1514286903,752,262
1514287802,526,156
1514288703,702,213
1514289603,479,197
1514290503,570,302
1514291403,302,260
1514292303,243,348
1514293203,242,184
1514294103,445,311
1514295003,324,190
1514295904,260,232
1514296803,376,402
1514297703,327,245
1514298604,337,410
1514299503,453,428
1514300403,1992,410
1514301303,2800,405
1514302203,2809,977
1514303103,2483,2089
1514304003,2085,1651
1514304903,7030,4612
1514305804,3648,2534
1514306704,2229,1322
1514307604,1728,1303
1514308504,1510,1264
1514309405,1289,1130
1514310303,640,617
1514311204,482,524
1514312105,613,554
1514313004,481,492
1514313904,465,396
1514314804,462,338
1514315704,491,475
1514316603,654,579
1514317504,626,652
1514318405,495,460
1514319304,715,668
1514320204,604,680
1514321104,471,591
1514322005,567,657
1514322904,522,623
1514323803,613,852
1514324703,530,720
1514325604,505,634
1514326503,456,631
1514327403,2158,2596
1514328304,1071,1490
1514329203,646,853
1514330103,497,706
1514331003,543,724
1514331903,467,613
1514332803,467,591
1514333703,380,462
1514334604,380,486
1514335503,355,444
1514336403,352,451
1514337304,387,484
1514338204,333,456
1514339103,337,461
1514340003,291,423
1514340903,358,513
1514341804,343,507
1514342703,356,486
1514343604,325,463
1514344504,382,517
1514345403,366,517
1514346303,446,544
1514347203,470,567
1514348103,318,1492
1514349003,352,4204
1514349903,381,2149
1514350803,376,1485
1514351702,370,1182
1514352603,409,951
1514354403,740,1467
1514355303,389,461
1514356203,408,455
1514357103,389,476
1514358003,391,434
1514358902,417,439
1514359802,385,505
1514360702,377,619
1514361602,392,594
1514362503,426,466
1514363403,397,680
1514364302,398,583
1514365203,415,441
1514366102,451,414
1514367003,894,474
1514367903,584,597
1514368803,2364,631
1514369702,3523,592
1514370604,3863,438
1514371503,3358,1067
1514372404,11016,7337
1514373303,7997,5469
1514374204,5550,4148
1514375104,4301,3899
1514376004,3407,3210
1514376905,3527,3318
1514377805,3015,2917
1514378705,2491,2607
1514379605,2701,2831
1514380506,2536,2633
1514381405,2170,2259
1514382305,2547,2629
1514383206,1924,2042
1514384106,2020,2097
1514385005,2064,2156
1514385905,1704,1799
1514386805,1930,2026
1514387705,1863,1945
1514388605,1579,1645
1514389505,533,654
1514390406,767,1113
1514391305,919,1143
1514392205,904,1120
1514393105,884,1196
1514394006,973,1220
1514394905,1433,1534
1514395806,2582,2602
1514397606,3356,3591
1514398506,1454,1504
1514399405,1216,1299
1514400305,1138,1247
1514401205,1286,1464
1514402106,1091,1207
1514403005,1037,1135
1514403905,1023,1147
1514404805,899,1088
1514405706,979,1126
1514406605,826,941
1514407505,793,912
1514408405,759,891
1514409305,730,859
1514410206,805,950
1514411106,864,1057
1514412005,927,1023
1514412905,1275,1331
1514413804,1060,1100
1514414705,1016,1060
1514415605,986,1063
1514416505,1328,1316
1514417405,1326,1172
1514418305,1370,1192
1514419205,1327,1199
1514420104,1380,1228
1514421004,1622,1321
1514421903,1812,1572
1514422804,1812,1788
1514423704,1887,1816
1514424604,2148,1927
1514425504,1930,1770
1514426404,1754,1606
1514427303,1645,1440
1514428204,1498,1407
1514429103,1707,1454
1514430004,1489,1310
1514430904,1625,1441
1514431804,1754,1535
1514432704,654,664
1514433604,425,446
1514434504,605,647
1514435404,361,378
1514436304,225,280
1514437204,241,278
1514438104,224,251
1514439003,264,351
1514439903,319,409
1514440803,391,460
1514441704,332,393
1514442603,372,454
1514443503,424,503
1514444403,512,627
1514445303,513,601
1514446204,517,630
1514447103,567,686
1514448004,566,655
1514448903,457,568
1514449803,146,666
1514450703,135,1126
1514451603,105,1176
1514452503,185,1083
1514453403,101,1136
1514454303,190,1370
1514455203,102,824
1514456103,144,741
1514457003,140,1138
1514457903,370,865
1514458803,656,792
1514459703,575,791
1514460603,5278,1042
1514461503,12608,5785
1514462404,8336,8005
1514463304,5184,4751
1514464204,4171,3725
1514465104,3747,3881
1514466004,3233,3352
1514466904,2517,2646
1514467804,2701,2706
1514468706,2488,2558
1514469604,2030,2102
1514470505,2438,2385
1514471405,2057,2008
1514472305,1994,1923
1514473205,1864,1854
1514474105,1588,1579
1514475905,2843,2826
1514476805,1371,1374
1514477705,1266,1254
1514478605,941,932
1514479505,344,351
1514480404,353,364
1514481304,466,490
1514482205,651,693
1514483105,829,897
1514484004,813,849
1514484904,1016,1084
1514485803,958,1013
1514486704,1625,1693
1514487604,1011,1108
1514488503,1913,1903
1514489404,1677,1706
1514490304,1291,1376
1514491204,917,1011
1514492104,905,990
1514493004,751,886
1514493903,702,753
1514494803,654,708
1514495703,636,757
1514496604,590,694
1514497504,534,646
1514498404,608,745
1514499305,677,832
1514500204,534,689
1514501105,541,691
1514502005,619,782
1514502905,581,706
1514503805,612,756
1514504705,799,931
1514505604,1405,1485
1514506503,1585,1658
1514507404,1591,1646
1514508303,1893,1909
1514509204,2068,2162
1514510104,2052,2154
1514511004,1588,1739
1514511904,2128,2162
1514512804,1654,1703
1514513704,1637,1673
1514514603,1753,1794
1514515504,1560,1696
1514516404,1541,2115
1514517303,1473,1604
1514518204,1602,1656
1514519104,1833,1850
1514520003,1937,1784
1514520903,2294,1992
1514521804,2695,2311
1514522704,2650,2527
1514523604,2595,2560
1514524504,455,600
1514525405,417,581
1514526304,333,490
1514527205,498,671
1514528103,421,584
1514529003,416,566
1514529904,369,512
1514530804,539,664
1514531704,499,650
1514532604,483,624
1514533503,511,689
1514534404,574,770
1514535304,477,655
1514536204,476,634
1514537104,455,625
1514538003,461,670
1514539804,1064,1371
1514540703,1554,1663
1514541604,3353,3284
1514542504,3069,3027
1514543404,3067,2575
1514544305,4263,3722
1514545205,5811,5364
1514546105,4790,4341
1514547005,3670,2668
1514547906,2816,2197
1514548806,2500,1953
1514549706,2313,2066
1514550606,2344,2307
1514551506,2427,2323
1514552406,2241,2167
1514553306,2458,2356
1514554206,2138,2088
1514555107,2035,2167
1514556007,1824,1989
1514556907,1756,1897
1514557807,1656,1771
1514558705,1450,1433
1514559605,1746,1676
1514560505,1743,1667
1514561405,1521,1477
1514562305,615,588
1514563205,479,475
1514564106,522,520
1514565006,420,417
1514565906,403,389
1514566806,496,472
1514567706,370,354
1514568606,404,420
1514569505,388,385
1514570405,630,695
1514571306,812,898
1514572205,750,840
1514573104,762,879
1514574006,821,909
1514574904,789,830
1514575804,873,964
1514576704,717,779
1514577604,702,759
1514578503,546,676
1514579403,552,642
1514580304,566,692
1514581204,553,678
1514582104,674,771
1514583003,626,780
1514583904,647,780
1514584803,732,782
1514585704,616,694
1514586604,572,678
1514587504,584,642
1514588404,386,482
1514589304,337,441
1514590203,391,474
1514591103,319,402
1514592003,301,931
1514592902,299,1667
1514593803,258,1602
1514594703,307,1581
1514595603,416,1590
1514596502,337,1500
1514597403,277,1596
1514598302,337,1489
1514599203,297,1415
1514600103,378,1332
1514601002,325,1269
1514601903,372,1121
1514602803,431,1104
