DateTime,Entries,UniqueIPs
1514265302,14470,14470
1514266202,14569,14569
1514267102,14816,14816
1514268002,15112,15112
1514268903,15528,15528
1514269802,15878,15878
1514270703,15977,15977
1514271602,16106,16106
1514272502,16605,16605
1514273402,16955,16955
1514274303,17453,17453
1514275202,17911,17911
1514276102,18381,18381
1514277002,18659,18659
1514277902,18868,18868
1514278802,19155,19155
1514279702,19475,19475
1514280602,19744,19744
1514281503,19972,19972
1514282403,20123,20123
1514283304,20530,20530
1514284203,20794,20794
1514285103,20964,20964
1514286003,21257,21257
1514286903,21747,21747
1514287802,22117,22117
1514288703,22606,22606
1514289603,22888,22888
1514290503,23156,23156
1514291403,23198,23198
1514292303,23093,23093
1514293203,23151,23151
1514294103,23285,23285
1514295003,23419,23419
1514295904,23447,23447
1514296803,23421,23421
1514297703,23503,23503
1514298604,23430,23430
1514299503,23455,23455
1514300403,25037,25037
1514301303,27432,27432
1514302203,29264,29264
1514303103,29658,29658
1514304003,30092,30092
1514304903,32510,32510
1514305804,33624,33624
1514306704,34531,34531
1514307604,34956,34956
1514308504,35202,35202
1514309405,35361,35361
1514310303,35384,35384
1514311204,35342,35342
1514312105,35401,35401
1514313004,35390,35390
1514313904,35459,35459
1514314804,35583,35583
1514315704,35599,35599
1514316603,35674,35674
1514317504,35648,35648
1514318405,35683,35683
1514319304,35730,35730
1514320204,35654,35654
1514321104,35534,35534
1514322005,35444,35444
1514322904,35343,35343
1514323803,35104,35104
1514324703,34914,34914
1514325604,34785,34785
1514326503,34610,34610
1514327403,34172,34172
1514328304,33753,33753
1514329203,33546,33546
1514330103,33337,33337
1514331003,33156,33156
1514331903,33010,33010
1514332803,32886,32886
1514333703,32804,32804
1514334604,32698,32698
1514335503,32609,32609
1514336403,32510,32510
1514337304,32413,32413
1514338204,32290,32290
1514339103,32166,32166
1514340003,32034,32034
1514340903,31879,31879
1514341804,31715,31715
1514342703,31585,31585
1514343604,31447,31447
1514344504,31312,31312
1514345403,31161,31161
1514346303,31063,31063
1514347203,30966,30966
1514348103,29792,29792
1514349003,25940,25940
1514349903,24172,24172
1514350803,23063,23063
1514351702,22251,22251
1514352603,21709,21709
1514354403,20982,20982
1514355303,20910,20910
1514356203,20863,20863
1514357103,20776,20776
1514358003,20733,20733
1514358902,20711,20711
1514359802,20591,20591
1514360702,20349,20349
1514361602,20147,20147
1514362503,20107,20107
1514363403,19824,19824
1514364302,19639,19639
1514365203,19613,19613
1514366102,19650,19650
1514367003,20070,20070
1514367903,20057,20057
1514368803,21790,21790
1514369702,24721,24721
1514370604,28146,28146
1514371503,30437,30437
1514372404,34116,34116
1514373303,36644,36644
1514374204,38046,38046
1514375104,38448,38448
1514376004,38645,38645
1514376905,38854,38854
1514377805,38952,38952
1514378705,38836,38836
1514379605,38706,38706
1514380506,38609,38609
1514381405,38520,38520
1514382305,38438,38438
1514383206,38320,38320
1514384106,38243,38243
1514385005,38151,38151
1514385905,38056,38056
1514386805,37960,37960
1514387705,37878,37878
1514388605,37812,37812
1514389505,37691,37691
1514390406,37345,37345
1514391305,37121,37121
1514392205,36905,36905
1514393105,36593,36593
1514394006,36346,36346
1514394905,36245,36245
1514395806,36225,36225
1514397606,35990,35990
1514398506,35940,35940
1514399405,35857,35857
1514400305,35748,35748
1514401205,35570,35570
1514402106,35454,35454
1514403005,35356,35356
1514403905,35232,35232
1514404805,35043,35043
1514405706,34896,34896
1514406605,34781,34781
1514407505,34662,34662
1514408405,34530,34530
1514409305,34401,34401
1514410206,34256,34256
1514411106,34063,34063
1514412005,33967,33967
1514412905,33911,33911
1514413804,33871,33871
1514414705,33827,33827
1514415605,33750,33750
1514416505,33762,33762
1514417405,33916,33916
1514418305,34094,34094
1514419205,34222,34222
1514420104,34374,34374
1514421004,34675,34675
1514421903,34915,34915
1514422804,34939,34939
1514423704,35010,35010
1514424604,35231,35231
1514425504,35391,35391
1514426404,35539,35539
1514427303,35744,35744
1514428204,35835,35835
1514429103,36088,36088
1514430004,36267,36267
1514430904,36451,36451
1514431804,36670,36670
1514432704,36660,36660
1514433604,36639,36639
1514434504,36597,36597
1514435404,36580,36580
1514436304,36525,36525
1514437204,36488,36488
1514438104,36461,36461
1514439003,36374,36374
1514439903,36284,36284
1514440803,36215,36215
1514441704,36154,36154
1514442603,36072,36072
1514443503,35993,35993
1514444403,35878,35878
1514445303,35790,35790
1514446204,35677,35677
1514447103,35558,35558
1514448004,35469,35469
1514448903,35358,35358
1514449803,34838,34838
1514450703,33847,33847
1514451603,32776,32776
1514452503,31878,31878
1514453403,30843,30843
1514454303,29663,29663
1514455203,28941,28941
1514456103,28344,28344
1514457003,27346,27346
1514457903,26851,26851
1514458803,26715,26715
1514459703,26499,26499
1514460603,30735,30735
1514461503,37558,37558
1514462404,37889,37889
1514463304,38322,38322
1514464204,38768,38768
1514465104,38634,38634
1514466004,38515,38515
1514466904,38386,38386
1514467804,38381,38381
1514468706,38311,38311
1514469604,38239,38239
1514470505,38292,38292
1514471405,38341,38341
1514472305,38412,38412
1514473205,38422,38422
1514474105,38431,38431
1514475905,38448,38448
1514476805,38445,38445
1514477705,38457,38457
1514478605,38466,38466
1514479505,38459,38459
1514480404,38448,38448
1514481304,38424,38424
1514482205,38382,38382
1514483105,38314,38314
1514484004,38278,38278
1514484904,38210,38210
1514485803,38155,38155
1514486704,38087,38087
1514487604,37990,37990
1514488503,38000,38000
1514489404,37971,37971
1514490304,37886,37886
1514491204,37792,37792
1514492104,37707,37707
1514493004,37572,37572
1514493903,37521,37521
1514494803,37467,37467
1514495703,37346,37346
1514496604,37242,37242
1514497504,37130,37130
1514498404,36993,36993
1514499305,36838,36838
1514500204,36683,36683
1514501105,36533,36533
1514502005,36370,36370
1514502905,36245,36245
1514503805,36101,36101
1514504705,35969,35969
1514505604,35889,35889
1514506503,35816,35816
1514507404,35761,35761
1514508303,35745,35745
1514509204,35651,35651
1514510104,35549,35549
1514511004,35398,35398
1514511904,35364,35364
1514512804,35315,35315
1514513704,35279,35279
1514514603,35238,35238
1514515504,35102,35102
1514516404,34528,34528
1514517303,34397,34397
1514518204,34343,34343
1514519104,34326,34326
1514520003,34479,34479
1514520903,34781,34781
1514521804,35165,35165
1514522704,35288,35288
1514523604,35323,35323
1514524504,35178,35178
1514525405,35014,35014
1514526304,34857,34857
1514527205,34684,34684
1514528103,34521,34521
1514529003,34371,34371
1514529904,34228,34228
1514530804,34103,34103
1514531704,33952,33952
1514532604,33811,33811
1514533503,33633,33633
1514534404,33437,33437
1514535304,33259,33259
1514536204,33101,33101
1514537104,32931,32931
1514538003,32722,32722
1514539804,32415,32415
1514540703,32306,32306
1514541604,32375,32375
1514542504,32417,32417
1514543404,32909,32909
1514544305,33450,33450
1514545205,33897,33897
1514546105,34346,34346
1514547005,35348,35348
