DateTime,Entries,UniqueIPs
1512592339,6224,6224
1512623538,238,238
1512709977,6882,6882
1512796631,6611,6611
1512882655,6568,6568
1512969443,6554,6554
1513054931,6024,6024
1513142018,6202,6202
1513228632,6478,6478
1513314756,5800,5800
1513401417,5131,5131
1513487812,4815,4815
1513573966,4630,4630
1513660370,4573,4573
1513746798,4639,4639
1513833184,4731,4731
1513919589,4495,4495
1514006233,4661,4661
1514092597,4646,4646
1514178694,4494,4494
1514265317,4623,4623
1514351758,4718,4718
1514438023,4794,4794
1514524374,4928,4928
1514610776,4970,4970
1514697092,5099,5099
