DateTime,Entries,UniqueIPs
1512592340,85,85
1512623539,6,6
1512709978,120,120
1512796632,117,117
1512882656,185,185
1512969444,141,141
1513054933,129,129
1513142019,145,145
1513228633,211,211
1513314757,147,147
1513401418,139,139
1513487813,166,166
1513573966,158,158
1513660371,127,127
1513746799,114,114
1513833185,125,125
1513919590,125,125
1514006234,130,130
1514092598,146,146
1514178695,137,137
1514265318,148,148
1514351759,154,154
1514438025,144,144
1514524375,155,155
1514610777,163,163
1514697094,132,132
