DateTime,AddedIPs,RemovedIPs
1512623539,147,4236
1512709978,6584,91
1512796632,5041,5726
1512882656,4014,5243
1512969444,4536,4097
1513054933,5200,4435
1513142019,6281,4931
1513228634,6751,6006
1513314757,5081,6799
1513401419,3277,5729
1513487813,3211,3463
1513573967,2792,3233
1513660371,3658,2773
1513746800,3759,3577
1513833186,3929,3743
1513919591,3966,3898
1514006235,4070,3974
1514092599,3541,4111
1514178696,3043,3554
1514265319,3595,3051
1514351760,3864,3543
1514438025,4100,3833
1514524375,3865,4072
1514610777,3882,3887
1514697094,3226,3990
