DateTime,Entries,UniqueIPs
1512592339,4882,4882
1512623538,337,337
1512709977,5582,5582
1512796631,5144,5144
1512882655,4615,4615
1512969443,4812,4812
1513054931,4646,4646
1513142018,4651,4651
1513228632,4962,4962
1513314756,4625,4625
1513401417,4097,4097
1513487812,3858,3858
1513573965,3755,3755
1513660370,4058,4058
1513746798,4184,4184
1513833184,4047,4047
1513919589,4095,4095
1514006233,3960,3960
1514092597,3776,3776
1514178694,3642,3642
1514265317,3919,3919
1514351758,4092,4092
1514438023,4176,4176
1514524373,4025,4025
1514610775,4048,4048
1514697092,3856,3856
