DateTime,AddedIPs,RemovedIPs
1507525808,172,201
1507540208,188,171
1507554609,178,170
1507569009,184,161
1507583409,189,157
1507597809,176,173
1507612209,184,179
1507626609,197,160
1507641009,222,196
1507655414,225,153
1507669809,226,170
1507684209,192,167
1507698609,198,199
1507713009,214,171
1507727409,251,190
1507741810,235,184
1507756210,270,166
1507770611,285,184
1507785011,286,205
1507799410,333,196
1507813811,295,209
1507828211,286,238
1507842611,293,183
1507857011,298,197
1507871411,289,228
1507885812,331,244
1507900214,285,229
1507914613,289,294
1507929012,306,251
1507943412,234,291
1507957812,244,352
1507972212,293,265
1507986612,290,288
1508001012,274,315
1508015411,240,298
1508029812,237,291
1508044212,248,334
1508058611,232,275
1508073011,236,283
1508087411,242,292
1508101810,260,242
1508116211,267,251
1508130611,318,304
1508145011,344,256
1508159411,369,254
1508173815,438,260
1508188215,410,229
1508202612,341,252
1508217013,349,233
1508231412,376,253
1508245813,317,239
1508260214,272,270
1508274615,329,269
1508289015,308,309
1508303413,315,365
1508317816,348,336
1508332214,301,425
1508346614,356,439
1508361013,346,309
1508375413,306,352
1508389813,349,387
1508404213,336,286
1508418614,327,286
1508433014,342,347
1508447414,338,296
1508461813,316,338
1508476211,251,1088
1508490618,1071,291
1508505012,320,341
1508519413,333,336
1508533813,270,296
1508548213,302,333
1508562613,294,326
1508577013,374,310
1508591413,346,316
1508605814,326,360
1508620214,293,287
1508634614,314,295
1508649013,271,374
1508663413,254,321
1508677813,225,286
1508692212,252,286
1508706613,271,305
1508721012,269,312
1508735412,311,397
1508749813,320,317
1508764212,322,326
1508778619,359,322
1508793012,330,310
1508807413,366,247
1508821813,326,264
1508836213,308,214
1508850612,294,269
1508865013,336,254
1508879413,331,260
1508893813,321,288
1508908213,341,352
1508922612,335,292
1508937013,287,359
1508951413,319,338
1508965816,285,348
1508980213,275,327
1508994613,262,341
1509009012,261,292
1509023412,264,326
1509037811,280,315
1509052212,208,304
1509066612,241,351
1509081012,264,334
1509095413,270,286
1509109811,236,294
1509124212,213,332
1509138611,225,291
1509153011,255,273
1509167411,253,264
1509181812,300,285
1509196211,290,277
1509210611,358,214
1509225011,327,252
1509239414,342,276
1509253813,325,279
1509268212,334,231
1509282612,355,227
1509297014,319,231
1509311414,303,232
1509325814,315,262
1509340213,302,290
1509354613,309,297
1509369013,336,323
1509383419,342,334
1509397813,328,322
1509412214,329,327
1509426613,280,356
1509441015,309,337
1509462613,420,458
1509477015,276,331
1509491414,289,303
1509505813,333,302
1509520212,308,329
1509534613,356,356
1509549013,339,339
1509563414,334,337
1509577814,398,288
1509592213,377,287
1509606613,380,270
1509621014,496,269
1509635538,0,3632
1509649814,4118,256
1509664214,441,329
1509678616,470,327
1509693015,463,348
1509707415,446,320
1509721818,427,321
1509736215,402,406
1509750616,460,337
1509765016,409,452
1509779416,430,453
1509793817,433,384
1509808215,359,422
1509822616,359,475
1509837015,324,453
1509851415,360,453
1509865816,409,442
1509880216,351,395
1509894615,393,439
1509909015,340,433
1509923414,351,427
1509937814,370,425
1509952215,391,415
1509966614,354,381
1509981018,377,332
1509995416,350,346
1510009814,328,361
1510024214,313,490
1510038614,390,361
1510053014,391,389
1510067414,344,368
1510081814,360,351
1510096213,336,346
1510110614,344,404
1510125014,321,344
1510139413,323,355
1510153814,333,329
1510168214,313,339
1510182613,301,330
1510197013,295,416
1510211414,312,355
1510225814,288,340
1510240213,289,392
1510254612,320,326
1510269012,283,329
1510283414,340,337
1510297812,345,319
1510312213,327,313
1510326613,330,340
1510341013,300,298
1510355420,304,298
1510369819,328,295
1510384212,258,281
1510398615,277,317
1510413013,249,309
1510427413,285,292
1510441813,300,364
1510456215,303,350
1510470615,278,321
1510485015,263,318
1510499414,230,325
1510513817,272,338
1510528212,267,260
1510542613,230,292
1510557013,288,274
1510571412,257,272
1510585811,275,306
1510600213,272,297
1510614611,241,276
1510629012,257,285
1510643412,264,250
1510657812,301,240
1510672211,273,276
1510686612,344,243
1510701011,337,248
1510715412,301,291
1510729812,343,249
1510744213,323,310
1510758612,319,231
1510773012,315,255
1510787412,309,262
1510801813,297,277
1510816212,345,274
1510830614,377,288
1510845014,319,358
1510859413,282,324
1510873813,328,329
1510888215,304,328
1510902614,380,311
1510917014,374,302
1510931414,337,347
1510945813,320,291
1510960214,331,308
1510974613,353,371
1510989014,369,325
1511003415,372,308
1511017814,323,275
1511032215,312,270
1511046614,358,328
1511061014,306,396
1511075414,389,349
1511089815,334,312
1511104214,359,371
1511118613,364,333
1511133014,391,323
1511147414,314,380
1511161814,323,362
1511176215,389,301
1511190614,255,272
1511205014,417,437
1511219414,298,319
1511233814,320,350
1511248213,334,364
1511262614,315,356
1511277014,272,400
1511291414,305,363
1511305814,253,297
1511320213,291,361
1511334613,317,372
1511349021,316,370
1511363416,307,346
1511377817,548,305
1511388615,420,226
1511403013,550,350
1511417414,503,315
1511431816,556,286
1511446215,527,270
1511460616,443,250
1511475016,415,304
1511489416,380,322
1511503816,349,337
1511518216,324,316
1511532616,323,600
1511547016,311,539
1511561414,419,534
1511575816,376,509
1511590214,350,531
1511604615,338,501
1511619014,384,414
1511633415,354,420
1511647814,363,346
1511662214,303,341
1511676613,327,350
1511691013,372,282
1511705413,306,370
1511719814,296,397
1511734213,330,339
1511748616,330,338
1511763013,364,371
1511777413,305,351
1511791814,332,370
1511806217,339,318
1511820613,321,319
1511835013,352,367
1511849414,514,348
1511863814,506,292
1511878216,487,275
1511892618,472,363
1511907019,432,307
1511921415,418,335
1511935817,579,308
1511950223,667,348
1511964617,640,325
1511979017,640,340
1511993419,686,387
1512007819,694,486
1512022220,651,448
1512036629,653,448
1512051023,597,411
1512065423,573,431
1512079821,524,418
1512094224,503,685
1512108620,441,643
1512123021,641,642
1512137423,610,673
1512151821,562,790
1512166219,496,673
1512180620,498,705
1512195018,474,736
1512209417,540,625
1512223818,518,570
1512238218,446,495
1512252618,451,435
1512267018,429,589
1512281417,429,632
1512295816,392,552
1512310216,387,533
1512324615,400,530
1512339015,423,462
1512353415,429,520
1512367815,393,530
1512382215,373,498
1512396614,360,420
1512411015,376,492
1512425414,347,404
1512439814,359,419
1512454213,365,409
1512468613,388,397
1512483014,392,399
1512497414,400,423
1512511813,356,379
1512526213,349,390
1512540613,338,370
1512555013,361,397
1512569413,321,351
1512583972,356,366
1512601813,402,474
1512616216,314,368
1512630613,284,393
1512645013,314,391
1512659414,280,386
1512673996,288,331
1512688212,287,338
1512702613,283,368
1512717012,265,320
1512731413,289,339
1512745811,259,319
1512760211,295,343
1512774611,275,288
1512789128,248,309
1512803726,0,1185
1512817811,1489,291
1512832211,284,283
1512846612,295,279
1512861012,261,261
1512875411,258,303
1512889811,258,263
1512904211,273,289
1512918611,278,313
1512933015,237,234
1512947411,273,278
1512961811,227,279
1512976211,261,304
1512990611,269,269
1513005012,270,294
1513019417,258,246
1513033811,268,256
1513048211,232,281
1513062610,256,278
1513077011,315,263
1513091411,264,275
1513105811,250,246
1513120213,262,239
1513134612,319,267
1513149011,291,273
1513163411,316,260
1513177814,283,256
1513192218,276,252
1513206612,285,256
1513221012,274,270
1513235412,286,301
1513249812,308,249
1513264214,271,268
1513278616,283,263
1513293011,266,296
1513307411,260,316
1513321811,284,274
1513336216,284,257
1513350612,245,272
1513365011,252,260
1513379412,237,283
1513393812,279,293
1513408211,253,318
1513422614,302,273
1513437012,262,286
1513451412,282,248
1513465811,261,281
1513480211,215,287
1513494612,232,269
1513509011,270,262
1513523414,252,250
1513537811,239,258
1513552211,251,225
1513566610,241,281
1513581010,241,274
1513595411,240,250
1513609811,274,279
1513624211,228,232
1513638612,253,208
1513653025,233,245
1513667411,284,278
1513681818,266,250
1513696212,228,254
1513710611,268,238
1513725011,275,270
1513739411,252,247
1513753811,284,247
1513768212,257,258
1513782611,269,244
1513797011,248,223
1513811411,233,273
1513825816,250,274
1513840211,288,256
1513854611,254,234
1513869011,234,269
1513883411,263,260
1513897811,219,268
1513912210,220,288
1513926611,255,249
1513941011,225,256
1513955410,220,260
1513969811,238,254
1513984211,234,285
1513998610,220,252
1514013011,241,244
1514027411,250,264
1514041811,215,243
