DateTime,AddedIPs,RemovedIPs
1512018033,31,0
1512023432,44,46
1512028833,31,103
1512034233,49,28
1512039033,64,46
1512045038,40,0
1512050433,73,84
1512055833,51,0
1512060633,68,106
1512066633,32,52
1512071433,22,51
1512076833,34,0
1512082833,55,24
1512087633,34,59
1512093692,33,0
1512099032,45,82
1512103832,47,52
1512109232,39,0
1512115235,83,31
1512120633,44,107
1512126032,51,0
1512130833,32,124
1512136833,19,0
1512142237,23,117
1512147033,35,0
1512152436,32,42
1512157233,43,45
1512163234,59,26
1512168632,57,46
1512174035,23,28
1512179435,61,48
1512185435,39,61
1512190834,45,61
1512196234,108,75
1512201034,36,51
1512205833,46,0
1512211833,35,54
1512217232,41,32
1512222633,38,41
1512228637,28,37
1512233441,67,91
1512238841,62,0
1512244236,39,116
1512249034,80,53
1512255033,38,0
1512260433,67,24
1512265833,23,46
1512270635,16,89
1512276633,27,0
1512282033,97,37
1512287433,37,25
1512292832,35,24
1512298233,53,79
1512303632,27,0
1512309658,44,84
1512315034,48,40
1512319834,50,0
1512325838,29,78
1512330630,48,0
1512336029,34,78
1512341430,32,54
1512346829,65,0
1512352230,20,39
1512357629,24,0
1512363630,23,85
1512368429,25,50
1512373830,76,46
1512379830,39,53
1512385230,51,43
1512390029,53,73
1512395429,67,0
1512400832,32,42
1512406230,61,38
1512411630,31,50
1512416430,20,64
1512422430,30,0
1512427831,48,21
1512433230,36,87
1512438629,24,0
1512444630,35,31
1512450028,36,73
1512454829,28,0
1512460229,58,56
1512465629,51,65
1512471028,55,56
1512477030,35,46
1512481828,46,88
1512487229,25,0
1512492629,17,49
1512498029,35,64
1512503430,27,0
1512508229,28,95
1512513630,33,0
1512519629,43,48
1512525029,43,88
1512531029,68,57
1512536429,38,0
1512541228,76,58
1512546631,59,46
1512552628,25,97
1512558031,55,36
1512563430,34,47
1512568845,14,0
1512574230,37,68
1512579029,21,46
1512584428,39,0
1512590432,27,51
1512600629,40,103
1512606029,29,0
1512611429,53,55
1512616829,34,69
1512621628,67,57
1512627029,74,49
1512633029,23,42
1512637828,55,87
1512643228,34,0
1512648628,17,41
1512654629,47,32
1512659430,30,42
1512665430,40,36
1512670231,36,104
1512675630,25,0
1512681630,56,111
1512687031,81,36
1512692432,57,0
1512697831,60,128
1512703230,65,36
1512709229,32,0
1512714628,37,59
1512720029,42,52
1512724828,24,25
1512730229,31,27
1512735631,22,33
1512741029,19,31
1512747029,41,31
1512751845,19,37
1512756632,23,32
1512762035,45,0
1512767434,53,69
1512773432,50,140
1512778832,65,69
1512784229,37,0
1512789030,33,24
1512795029,47,30
1512800430,31,47
1512805829,20,48
1512810629,29,14
1512816629,29,40
1512822029,25,41
1512827430,43,40
1512832832,21,46
1512838232,29,29
1512843033,36,43
1512848430,38,111
1512853830,53,54
1512859234,56,0
1512864632,73,61
1512870029,24,48
1512876029,42,20
1512880829,31,63
1512886229,37,0
1512891630,54,21
1512897029,38,18
1512902428,43,38
1512908432,77,58
1512913830,27,36
1512919230,36,0
1512925232,65,101
1512930630,38,79
1512935432,42,56
1512940837,66,0
1512946230,46,68
1512952230,25,27
1512957629,29,64
1512963030,30,31
1512968430,27,35
1512973229,36,30
1512978628,32,49
1512984029,15,52
1512988833,56,50
1512994833,116,0
1513000830,40,48
1513006233,56,140
1513011033,57,47
1513016432,47,0
1513022440,65,41
1513026642,31,101
1513032034,30,0
1513036233,27,30
1513041632,49,46
1513047030,43,39
1513052429,35,49
1513057830,80,39
1513063829,33,37
1513068029,29,32
1513074029,40,42
1513079432,41,49
1513085432,70,53
1513090231,72,53
1513095633,54,61
1513101032,63,47
1513107032,50,51
1513111830,23,23
1513117230,32,24
1513122632,52,23
1513128029,34,74
1513133430,38,0
1513139429,45,24
1513144830,42,90
1513149632,37,44
1513155032,38,0
1513160430,26,122
1513165831,66,0
1513171229,63,137
1513177229,50,0
1513182029,31,105
1513187429,60,29
1513192828,16,36
1513198229,30,0
1513203032,47,31
1513209029,42,45
1513213828,23,39
1513220433,32,38
1513225234,38,90
1513230631,36,0
1513235433,28,139
1513241435,64,32
1513246833,27,70
1513252229,67,79
1513257628,74,0
1513263630,60,85
1513267828,62,0
1513273829,60,30
1513279230,42,22
1513285229,26,64
1513290029,55,33
1513294830,379,18
1513302630,205,38
1513309830,91,56
1513317032,115,29
1513323628,79,47
1513330830,47,103
1513335630,48,68
1513342234,74,64
1513349429,80,58
1513356630,54,58
1513362629,58,22
1513367429,29,36
1513373430,27,53
1513378830,73,36
1513384829,63,40
1513389630,33,0
1513395029,30,203
1513400429,26,0
1513406429,34,85
1513411229,38,81
1513416629,43,103
1513422029,50,0
1513428029,39,75
1513435230,60,90
1513439429,44,93
1513445430,50,80
1513450228,63,33
1513456230,32,53
1513461030,48,79
1513467029,49,151
1513471828,77,15
1513477229,39,54
1513482629,26,68
1513488628,46,141
1513493429,29,55
1513498829,22,59
1513504228,26,88
1513509029,57,82
1513515029,67,90
1513520429,38,48
1513525828,61,0
1513531229,57,125
1513536629,45,35
1513541428,90,0
1513548029,46,42
1513552829,25,165
1513558228,79,0
1513564229,86,66
1513569028,48,62
1513574428,34,33
1513579829,46,0
1513585228,42,57
1513591228,58,49
1513596030,31,112
1513601428,46,36
1513607429,51,0
1513612228,54,100
1513617628,65,0
1513623629,31,41
1513628429,96,75
1513634430,49,35
