DateTime,Entries,UniqueIPs
1512018033,2999,3042
1512023432,2996,3040
1512028833,2926,2968
1512034233,2948,2989
1512039033,2967,3007
1512045038,3006,3047
1512050433,2993,3036
1512055833,3043,3087
1512060633,3010,3049
1512066633,2990,3029
1512071433,2962,3000
1512076833,2996,3034
1512082833,3027,3065
1512087633,3002,3040
1512093692,3033,3073
1512099032,2995,3036
1512103832,2991,3031
1512109232,3029,3070
1512115235,3080,3122
1512120633,3020,3059
1512126032,3071,3110
1512130833,2979,3018
1512136833,2998,3037
1512142237,2907,2943
1512147033,2942,2978
1512152436,2932,2968
1512157233,2932,2966
1512163234,2963,2999
1512168632,2976,3010
1512174035,2971,3005
1512179435,2985,3018
1512185435,2964,2996
1512190834,2948,2980
1512196234,2981,3013
1512201034,2967,2998
1512205833,3011,3044
1512211833,2992,3025
1512217232,2999,3034
1512222633,2995,3031
1512228637,2987,3022
1512233441,2962,2998
1512238841,3023,3060
1512244236,2947,2983
1512249034,2972,3010
1512255033,3009,3048
1512260433,3051,3091
1512265833,3026,3068
1512270635,2957,2995
1512276633,2982,3022
1512282033,3040,3082
1512287433,3050,3094
1512292832,3061,3105
1512298233,3036,3079
1512303632,3063,3106
1512309658,3026,3066
1512315034,3033,3074
1512319834,3083,3124
1512325838,3033,3075
1512330630,3081,3123
1512336029,3038,3079
1512341430,3019,3057
1512346829,3082,3122
1512352230,3064,3103
1512357629,3088,3127
1512363630,3028,3065
1512368429,3004,3040
1512373830,3031,3070
1512379830,3017,3056
1512385230,3026,3064
1512390029,3007,3044
1512395429,3073,3111
1512400832,3062,3101
1512406230,3085,3124
1512411630,3066,3105
1512416430,3024,3061
1512422430,3054,3091
1512427831,3081,3118
1512433230,3032,3067
1512438629,3056,3091
1512444630,3058,3095
1512450028,3021,3058
1512454829,3049,3086
1512460229,3051,3088
1512465629,3036,3074
1512471028,3038,3073
1512477030,3027,3062
1512481828,2986,3020
1512487229,3011,3045
1512492629,2980,3013
1512498029,2952,2984
1512503430,2977,3011
1512508229,2909,2944
1512513630,2941,2977
1512519629,2937,2972
1512525029,2892,2927
1512531029,2902,2938
1512536429,2939,2976
1512541228,2959,2994
1512546631,2974,3007
1512552628,2904,2935
1512558031,2923,2954
1512563430,2910,2941
1512568845,2923,2955
1512574230,2891,2924
1512579029,2864,2899
1512584428,2902,2938
1512590432,2879,2914
1512600629,2819,2851
1512606029,2848,2880
1512611429,2842,2878
1512616829,2808,2843
1512621628,2817,2853
1512627029,2843,2878
1512633029,2823,2859
1512637828,2791,2827
1512643228,2824,2861
1512648628,2801,2837
1512654629,2815,2852
1512659430,2801,2840
1512665430,2807,2844
1512670231,2739,2776
1512675630,2764,2801
1512681630,2711,2746
1512687031,2755,2791
1512692432,2812,2848
1512697831,2744,2780
1512703230,2772,2809
1512709229,2804,2841
1512714628,2783,2819
1512720029,2773,2809
1512724828,2777,2808
1512730229,2782,2812
1512735631,2771,2801
1512741029,2759,2789
1512747029,2768,2799
1512751845,2750,2781
1512756632,2742,2772
1512762035,2785,2817
1512767434,2768,2801
1512773432,2679,2711
1512778832,2673,2707
1512784229,2710,2744
