DateTime,AddedIPs,RemovedIPs
1512018033,141,196
1512023432,172,172
1512028833,141,139
1512034233,214,186
1512039033,186,171
1512045038,178,184
1512050433,201,220
1512055833,164,157
1512060633,199,228
1512066633,141,204
1512071433,161,173
1512076833,155,134
1512082833,219,228
1512087633,140,112
1512093692,209,199
1512099032,166,202
1512103832,200,193
1512109232,176,155
1512115235,237,206
1512120633,177,206
1512126032,177,185
1512130833,146,179
1512136833,151,181
1512142237,129,133
1512147033,199,145
1512152436,138,130
1512157233,206,172
1512163234,191,173
1512168632,198,188
1512174035,112,133
1512179435,207,185
1512185435,168,152
1512190834,156,173
1512196234,232,148
1512201034,136,132
1512205833,150,109
1512211833,175,200
1512217232,136,158
1512222633,161,179
1512228637,159,195
1512233441,189,139
1512238841,196,173
1512244236,164,169
1512249034,215,158
1512255033,153,138
1512260433,209,215
1512265833,114,111
1512270635,114,152
1512276633,141,167
1512282033,234,160
1512287433,154,188
1512292832,170,183
1512298233,198,200
1512303632,152,132
1512309658,196,225
1512315034,172,205
1512319834,171,156
1512325838,206,218
1512330630,189,162
1512336029,181,129
1512341430,171,152
1512346829,174,187
1512352230,141,199
1512357629,140,145
1512363630,169,165
1512368429,125,115
1512373830,213,193
1512379830,183,218
1512385230,145,185
1512390029,171,167
1512395429,208,200
1512400832,145,169
1512406230,229,199
1512411630,155,169
1512416430,127,119
1512422430,190,177
1512427831,205,184
1512433230,172,161
1512438629,156,184
1512444630,154,193
1512450028,137,169
1512454829,159,195
1512460229,191,147
1512465629,175,205
1512471028,182,159
1512477030,143,146
1512481828,186,186
1512487229,144,134
1512492629,119,127
1512498029,193,178
1512503430,152,195
1512508229,152,113
1512513630,165,104
1512519629,170,168
1512525029,143,167
1512531029,178,187
1512536429,142,201
1512541228,193,190
1512546631,190,154
1512552628,137,143
1512558031,161,185
1512563430,120,154
1512568845,137,151
1512574230,166,181
1512579029,107,115
1512584428,173,153
1512590432,157,192
1512600629,283,366
1512606029,123,128
1512611429,193,202
1512616829,134,169
1512621628,175,179
1512627029,193,133
1512633029,127,130
1512637828,179,196
1512643228,132,142
1512648628,108,128
1512654629,175,148
1512659430,140,145
1512665430,190,144
1512670231,158,131
1512675630,167,148
1512681630,200,214
1512687031,220,196
1512692432,175,169
1512697831,176,200
1512703230,175,129
1512709229,158,197
1512714628,129,203
1512720029,171,188
1512724828,150,134
1512730229,180,175
1512735631,137,170
1512741029,168,156
1512747029,177,200
1512751845,112,110
1512756632,173,171
1512762035,179,182
1512767434,219,168
1512773432,180,165
1512778832,164,205
1512784229,131,212
1512789030,145,116
1512795029,172,172
1512800430,153,144
1512805829,145,152
1512810629,151,136
1512816629,161,172
1512822029,141,137
1512827430,178,158
1512832832,140,125
1512838232,194,207
1512843033,149,142
1512848430,154,178
1512853830,175,160
1512859234,178,210
1512864632,190,104
1512870029,147,122
1512876029,157,199
1512880829,134,150
1512886229,145,159
1512891630,157,141
1512897029,169,149
1512902428,174,183
1512908432,193,176
1512913830,146,153
1512919230,156,166
1512925232,204,211
1512930630,152,168
1512935432,127,150
1512940837,199,183
1512946230,173,150
1512952230,131,130
1512957629,118,188
1512963030,123,157
1512968430,153,170
1512973229,147,139
1512978628,147,179
1512984029,121,162
1512988833,180,127
1512994833,279,156
1513000830,174,190
1513006233,143,172
1513011033,176,155
1513016432,157,162
1513022440,178,237
1513026642,103,127
1513032034,132,131
1513036233,148,113
