DateTime,Entries,UniqueIPs
1512018033,1653,1653
1512023432,1653,1653
1512028833,1655,1655
1512034233,1683,1683
1512039033,1698,1698
1512045038,1692,1692
1512050433,1673,1673
1512055833,1680,1680
1512060633,1651,1651
1512066633,1588,1588
1512071433,1576,1576
1512076833,1597,1597
1512082833,1588,1588
1512087633,1616,1616
1512093692,1626,1626
1512099032,1590,1590
1512103832,1597,1597
1512109232,1618,1618
1512115235,1649,1649
1512120633,1620,1620
1512126032,1612,1612
1512130833,1579,1579
1512136833,1549,1549
1512142237,1545,1545
1512147033,1599,1599
1512152436,1607,1607
1512157233,1641,1641
1512163234,1659,1659
1512168632,1669,1669
1512174035,1648,1648
1512179435,1670,1670
1512185435,1686,1686
1512190834,1669,1669
1512196234,1753,1753
1512201034,1757,1757
1512205833,1798,1798
1512211833,1773,1773
1512217232,1751,1751
1512222633,1733,1733
1512228637,1697,1697
1512233441,1747,1747
1512238841,1770,1770
1512244236,1765,1765
1512249034,1822,1822
1512255033,1837,1837
1512260433,1831,1831
1512265833,1834,1834
1512270635,1796,1796
1512276633,1770,1770
1512282033,1844,1844
1512287433,1810,1810
1512292832,1797,1797
1512298233,1795,1795
1512303632,1815,1815
1512309658,1786,1786
1512315034,1753,1753
1512319834,1768,1768
1512325838,1756,1756
1512330630,1783,1783
1512336029,1835,1835
1512341430,1854,1854
1512346829,1841,1841
1512352230,1783,1783
1512357629,1778,1778
1512363630,1782,1782
1512368429,1792,1792
1512373830,1812,1812
1512379830,1777,1777
1512385230,1737,1737
1512390029,1741,1741
1512395429,1749,1749
1512400832,1725,1725
1512406230,1755,1755
1512411630,1741,1741
1512416430,1749,1749
1512422430,1762,1762
1512427831,1783,1783
1512433230,1794,1794
1512438629,1766,1766
1512444630,1727,1727
1512450028,1695,1695
1512454829,1659,1659
1512460229,1703,1703
1512465629,1673,1673
1512471028,1696,1696
1512477030,1693,1693
1512481828,1693,1693
1512487229,1703,1703
1512492629,1695,1695
1512498029,1710,1710
1512503430,1667,1667
1512508229,1706,1706
1512513630,1767,1767
1512519629,1769,1769
1512525029,1745,1745
1512531029,1736,1736
1512536429,1677,1677
1512541228,1680,1680
1512546631,1716,1716
1512552628,1710,1710
1512558031,1686,1686
1512563430,1652,1652
1512568845,1638,1638
1512574230,1623,1623
1512579029,1615,1615
1512584428,1635,1635
1512590432,1600,1600
1512600629,1517,1517
1512606029,1512,1512
1512611429,1503,1503
1512616829,1468,1468
1512621628,1464,1464
1512627029,1524,1524
1512633029,1521,1521
1512637828,1504,1504
1512643228,1494,1494
1512648628,1474,1474
1512654629,1501,1501
1512659430,1496,1496
1512665430,1542,1542
1512670231,1569,1569
1512675630,1588,1588
1512681630,1574,1574
1512687031,1598,1598
1512692432,1604,1604
1512697831,1580,1580
1512703230,1626,1626
1512709229,1587,1587
1512714628,1513,1513
1512720029,1496,1496
1512724828,1512,1512
1512730229,1517,1517
1512735631,1484,1484
1512741029,1496,1496
1512747029,1473,1473
1512751845,1475,1475
1512756632,1477,1477
1512762035,1474,1474
1512767434,1525,1525
1512773432,1540,1540
1512778832,1499,1499
1512784229,1418,1418
1512789030,1447,1447
1512795029,1447,1447
1512800430,1456,1456
1512805829,1449,1449
1512810629,1464,1464
1512816629,1453,1453
1512822029,1457,1457
1512827430,1477,1477
1512832832,1492,1492
1512838232,1479,1479
1512843033,1486,1486
1512848430,1462,1462
1512853830,1477,1477
1512859234,1445,1445
1512864632,1531,1531
1512870029,1556,1556
1512876029,1514,1514
1512880829,1498,1498
1512886229,1484,1484
1512891630,1500,1500
1512897029,1520,1520
1512902428,1511,1511
1512908432,1528,1528
1512913830,1521,1521
1512919230,1511,1511
1512925232,1504,1504
1512930630,1488,1488
1512935432,1465,1465
1512940837,1481,1481
1512946230,1504,1504
1512952230,1505,1505
1512957629,1435,1435
1512963030,1401,1401
1512968430,1384,1384
1512973229,1392,1392
1512978628,1360,1360
1512984029,1319,1319
1512988833,1372,1372
1512994833,1495,1495
1513000830,1479,1479
1513006233,1450,1450
1513011033,1471,1471
1513016432,1466,1466
1513022440,1407,1407
1513026642,1383,1383
1513032034,1384,1384
1513036233,1419,1419
1513041632,1435,1435
1513047030,1429,1429
1513052429,1463,1463
1513057830,1495,1495
1513063829,1446,1446
1513068029,1426,1426
1513074029,1387,1387
1513079432,1432,1432
1513085432,1439,1439
1513090231,1413,1413
1513095633,1441,1441
1513101032,1437,1437
1513107032,1421,1421
1513111830,1397,1397
1513117230,1396,1396
1513122632,1420,1420
1513128029,1454,1454
1513133430,1452,1452
1513139429,1438,1438
1513144830,1474,1474
1513149632,1452,1452
1513155032,1405,1405
1513160430,1395,1395
1513165831,1403,1403
1513171229,1390,1390
1513177229,1403,1403
1513182029,1388,1388
1513187429,1389,1389
1513192828,1406,1406
1513198229,1418,1418
1513203032,1434,1434
1513209029,1456,1456
1513213828,1524,1524
1513220433,1496,1496
1513225234,1434,1434
1513230631,1424,1424
1513235433,1431,1431
1513241435,1422,1422
1513246833,1416,1416
1513252229,1394,1394
1513257628,1337,1337
1513263630,1346,1346
1513267828,1374,1374
1513273829,1414,1414
1513279230,1479,1479
1513285229,1519,1519
1513290029,1547,1547
1513294830,1848,1848
1513302630,2030,2030
1513309830,1896,1896
1513317032,1922,1922
1513323628,1901,1901
1513330830,1864,1864
1513335630,1846,1846
1513342234,1857,1857
1513349429,1842,1842
1513356630,1755,1755
