DateTime,AddedIPs,RemovedIPs
1509127828,426,374
1509139827,472,454
1509150626,376,351
1509163827,304,504
1509176428,380,484
1509186628,302,316
1509197428,331,401
1509207628,338,336
1509219027,441,308
1509229827,312,259
1509240627,257,287
1509254426,396,463
1509267028,267,419
1509278428,286,314
1509291028,309,455
1509301227,334,263
1509315627,424,268
1509327026,353,235
1509340226,335,505
1509350429,286,260
1509361830,300,325
1509370829,344,350
1509384028,424,411
1509394228,331,281
1509405028,367,232
1509417627,378,380
1509431427,337,525
1509442229,253,297
1509453028,293,333
1509462628,219,319
1509474027,376,317
1509487226,335,293
1509497426,382,227
1509508826,370,343
1509520229,320,351
1509530428,272,309
1509541228,313,438
1509552028,307,319
1509562226,357,316
1509573027,334,238
1509584426,365,334
1509595226,341,351
1509606029,288,374
1509616829,284,355
1509627029,358,329
1509638428,291,324
1509649228,285,333
1509658827,271,259
1509670227,458,321
1509681627,297,388
1509691826,331,289
1509702628,263,329
1509713428,332,395
1509723627,323,310
1509734427,369,301
1509745827,276,293
1509756626,389,322
1509767426,302,340
1509778226,308,346
1509789628,271,328
1509799828,285,351
1509810027,291,261
1509819025,396,245
1509830427,301,263
1509841226,265,245
1509852626,352,334
1509862825,307,353
1509873628,273,300
1509885028,277,304
1509895227,262,351
1509906029,388,323
1509916227,296,264
1509927626,275,286
1509938426,321,311
1509949226,326,382
1509960028,248,314
1509970229,337,299
1509981628,294,351
1509992428,325,265
1510003227,304,284
1510013426,215,237
1510024826,324,299
1510035626,335,330
1510046429,279,341
1510057828,588,270
1510070429,425,436
1510081828,369,341
1510093828,366,358
1510104627,405,346
1510116026,408,378
1510130429,416,468
1510140630,343,346
1510152628,458,474
1510165828,436,376
1510176028,366,284
1510187427,422,351
1510198827,335,389
1510211426,410,436
1510224029,363,378
1510238428,458,576
1510250428,446,346
1510261228,389,306
1510272027,425,329
1510283427,369,385
1510295426,399,442
1510308629,370,455
1510321228,352,418
1510332628,338,375
1510344028,396,340
1510354227,293,274
1510365626,392,353
1510376426,334,357
1510387229,406,328
1510398029,344,311
1510410628,401,438
1510423228,428,379
1510434028,391,368
1510444828,383,323
1510455626,475,393
1510468826,488,439
1510481428,389,440
1510495828,410,528
1510507828,420,362
1510518628,414,376
1510530027,379,319
1510542626,396,451
1510553426,447,419
1510566629,490,501
1510581029,406,557
1510594829,488,489
1510606227,401,431
1510617628,423,316
1510629027,351,364
1510641626,450,478
1510654216,429,507
1510668628,416,516
1510680028,382,366
1510690228,462,281
1510701628,482,312
1510713027,443,353
1510724426,391,363
1510735229,408,484
1510749028,351,603
1510762228,454,521
1510774828,408,341
1510785028,397,348
1510795827,450,333
1510809026,463,498
1510819828,311,390
1510833629,383,434
1510846828,422,470
1510858227,359,413
1510869628,425,411
1510880426,338,308
1510891826,399,424
1510904426,422,407
1510918828,467,485
1510933229,388,451
1510945828,490,416
1510957227,426,358
1510968627,388,316
1510979426,380,374
1510990826,348,321
1510998629,219,243
1511013028,419,598
1511024429,386,439
1511035228,413,326
1511045427,295,283
1511057427,341,319
1511067627,347,355
1511079029,492,370
1511093429,422,595
1511107828,361,457
1511122228,417,437
1511132428,388,270
1511143226,367,356
1511154027,378,397
1511165428,381,369
1511179828,371,491
1511193629,455,523
1511206828,409,395
1511217028,341,361
1511227226,307,306
1511238626,385,383
1511249427,351,393
1511260228,367,340
1511271628,359,403
1511281828,232,303
1511292627,365,408
1511302827,348,288
1511313626,379,349
1511325026,415,368
1511335825,297,336
1511346628,369,346
1511357427,348,398
1511368228,362,395
1511379028,364,350
1511389227,341,295
1511400627,439,353
1511411426,339,426
1511422225,436,372
1511433028,344,376
1511443828,308,333
1511454628,367,378
1511464828,346,342
1511475627,386,344
1511487026,413,389
1511498426,329,345
1511508632,360,352
1511519429,369,308
1511530829,408,439
1511542829,381,432
1511553028,286,265
1511563828,364,348
1511574626,338,306
1511586026,366,360
1511596828,367,350
1511607029,296,320
1511620827,405,449
1511630427,342,378
1511641227,397,328
1511652026,449,384
1511663426,313,316
1511674225,370,330
1511684429,279,323
1511695829,359,332
1511707229,342,417
1511717428,353,358
1511728228,344,322
1511739028,354,400
1511749827,301,389
1511760627,329,332
1511771430,357,372
1511781628,262,319
1511793028,353,338
1511804428,384,394
1511815827,474,331
1511826627,343,280
1511838627,317,329
1511848826,302,334
1511859628,380,355
1511871028,421,397
1511883628,369,488
1511893828,228,333
1511904030,362,305
1511915429,389,334
1511926228,303,352
1511936428,273,364
1511947232,350,340
1511958030,343,281
1511969430,312,357
1511979624,347,336
1511991023,382,363
1512001823,338,315
1512012622,311,249
1512023421,303,348
1512034224,348,309
1512045028,344,334
1512055824,349,346
1512066624,314,389
1512076824,307,299
1512087624,337,327
1512099022,338,371
1512109221,358,329
1512120625,374,388
1512130825,309,351
1512142226,275,299
1512152424,329,262
1512163224,373,321
1512174024,289,304
1512185425,354,304
1512196223,305,299
1512205824,243,241
1512217224,289,349
1512228628,293,345
1512238829,362,295
1512249024,365,314
1512260423,342,332
1512270624,225,256
1512282023,369,317
1512292824,304,359
1512303624,331,309
1512315024,348,415
1512330622,426,390
1512341421,346,276
1512352221,274,369
1512363620,294,304
1512373820,329,297
1512385222,320,403
1512395421,355,346
1512406222,363,344
1512416421,278,263
1512427821,389,334
1512438620,319,331
1512450019,276,356
1512460219,343,337
1512471022,338,334
1512481822,317,316
1512492622,257,259
1512503422,335,357
1512513622,306,207
1512525021,308,336
1512536421,302,365
1512546619,342,318
1512558024,285,302
1512568838,249,301
1512584421,377,370
1512600621,320,422
1512611420,301,286
1512621620,287,325
1512633020,275,237
1512643222,293,330
1512654622,277,272
1512665423,315,270
1512675622,310,264
1512687022,387,366
1512697822,317,337
1512709220,322,312
1512720023,290,375
1512730222,320,304
1512741021,299,315
1512751827,278,291
1512762027,333,330
1512773423,379,310
1512784221,257,367
1512795020,309,287
1512805820,270,278
1512816623,294,286
1512827423,306,288
1512838224,315,313
1512848423,301,309
1512859226,321,332
1512870021,330,223
1512880821,261,315
1512891621,305,300
1512902422,329,306
1512913822,307,299
1512925224,348,369
1512935423,268,302
1512946221,333,291
1512957620,246,311
1512968421,272,320
1512978619,283,298
1512988825,294,287
1513000823,428,321
1513011024,303,313
1513022429,319,367
1513036223,323,310
1513047021,338,329
1513057820,367,312
1513068023,270,336
1513079425,341,338
1513090224,373,395
1513101024,371,341
1513111822,285,317
1513122623,293,269
1513133421,347,319
1513144821,339,331
1513155025,290,364
1513165823,309,311
1513177222,354,352
1513187421,290,302
1513198221,303,275
1513209021,306,270
1513220423,341,293
1513230622,240,314
1513241427,353,352
1513252222,326,349
1513263623,330,378
1513273822,368,295
1513285221,387,281
1513294821,630,294
1513302620,366,187
1513317023,392,567
1513330822,393,485
1513342226,427,429
1513356622,422,521
1513367421,362,378
1513378821,421,367
1513389621,325,393
1513400420,328,396
1513411222,306,362
1513422022,326,322
1513435222,375,473
1513445422,324,324
1513456221,315,313
1513467021,363,319
1513477220,351,363
1513488619,294,320
1513498822,259,341
1513509023,316,305
1513520423,316,342
1513531222,328,349
1513541421,401,266
1513552822,300,363
1513564221,353,362
1513574420,351,282
1513585222,283,281
1513596023,348,381
1513607422,373,354
1513617621,344,347
1513628422,380,345
1513639821,313,363
1513650021,318,303
1513661420,335,358
1513671623,372,328
1513682423,336,343
1513693224,288,325
1513704024,378,309
1513714823,353,351
1513725621,357,312
1513736421,397,346
1513747221,341,406
1513758023,314,335
1513769422,336,432
1513780822,311,331
1513790422,365,318
1513801222,332,353
1513812022,322,368
1513822821,303,313
1513833620,269,325
1513844422,276,291
1513855223,313,305
1513866022,304,300
1513880422,377,316
1513891224,356,319
1513902020,345,344
1513912820,312,330
1513923619,354,357
1513935021,279,366
1513945222,351,320
1513956021,340,332
1513966822,327,306
1513977622,298,333
1513988421,322,377
1513999220,279,309
1514009419,300,322
1514023822,308,312
1514035223,338,314
1514047221,293,306
1514058621,341,300
1514068821,257,267
1514080224,334,308
1514091020,245,313
1514101819,323,279
1514112622,315,296
1514124022,286,317
1514133621,327,259
1514144421,356,238
1514155820,348,354
1514167220,323,332
1514177420,329,343
1514188823,345,373
1514199623,278,336
1514210422,284,314
1514220022,341,303
1514231422,361,336
1514242221,347,336
1514253621,305,355
1514263221,272,293
1514274019,295,325
1514284822,274,294
1514296222,297,288
1514307021,353,324
1514317821,322,302
1514329222,378,337
1514338819,298,341
1514349621,328,326
1514360419,271,306
1514375421,346,326
1514386221,279,299
1514396422,318,350
1514407221,297,313
1514418020,360,271
1514428819,315,332
1514440219,360,369
1514450423,280,313
1514461823,344,288
1514472622,291,368
1514485221,380,311
1514495422,344,294
1514506820,283,302
1514517620,285,312
1514528419,302,363
1514539258,313,314
1514550021,324,322
1514560821,329,316
1514571621,306,314
1514581820,345,303
1514593820,295,337
1514604019,330,312
1514614218,278,338
1514625022,289,325
1514639422,327,288
1514653819,279,277
1514667021,303,268
1514677221,286,285
1514688020,282,294
1514698819,274,305
1514709621,334,311
