DateTime,Entries,UniqueIPs
1509127828,1612,1612
1509139827,1630,1630
1509150626,1655,1655
1509163827,1455,1455
1509176428,1351,1351
1509186628,1337,1337
1509197428,1267,1267
1509207628,1269,1269
1509219027,1402,1402
1509229827,1455,1455
1509240627,1425,1425
1509254426,1358,1358
1509267028,1206,1206
1509278428,1178,1178
1509291028,1032,1032
1509301227,1103,1103
1509315627,1259,1259
1509327026,1377,1377
1509340226,1207,1207
1509350429,1233,1233
1509361830,1208,1208
1509370829,1202,1202
1509384028,1215,1215
1509394228,1265,1265
1509405028,1400,1400
1509417627,1398,1398
1509431427,1210,1210
1509442229,1166,1166
1509453028,1126,1126
1509462628,1026,1026
1509474027,1085,1085
1509487226,1127,1127
1509497426,1282,1282
1509508826,1309,1309
1509520229,1278,1278
1509530428,1241,1241
1509541228,1116,1116
1509552028,1104,1104
1509562226,1145,1145
1509573027,1241,1241
1509584426,1272,1272
1509595226,1262,1262
1509606029,1176,1176
1509616829,1105,1105
1509627029,1134,1134
1509638428,1101,1101
1509649228,1053,1053
1509658827,1065,1065
1509670227,1202,1202
1509681627,1111,1111
1509691826,1153,1153
1509702628,1087,1087
1509713428,1024,1024
1509723627,1037,1037
1509734427,1105,1105
1509745827,1088,1088
1509756626,1155,1155
1509767426,1117,1117
1509778226,1079,1079
1509789628,1022,1022
1509799828,956,956
1509810027,986,986
1509819025,1137,1137
1509830427,1175,1175
1509841226,1195,1195
1509852626,1213,1213
1509862825,1167,1167
1509873628,1140,1140
1509885028,1113,1113
1509895227,1024,1024
1509906029,1089,1089
1509916227,1121,1121
1509927626,1110,1110
1509938426,1120,1120
1509949226,1064,1064
1509960028,998,998
1509970229,1036,1036
1509981628,979,979
1509992428,1039,1039
1510003227,1059,1059
1510013426,1037,1037
1510024826,1062,1062
1510035626,1067,1067
1510046429,1005,1005
1510057828,1323,1323
1510070429,1312,1312
1510081828,1340,1340
1510093828,1348,1348
1510104627,1407,1407
1510116026,1437,1437
1510130429,1385,1385
1510140630,1382,1382
1510152628,1366,1366
1510165828,1426,1426
1510176028,1508,1508
1510187427,1579,1579
1510198827,1525,1525
1510211426,1499,1499
1510224029,1484,1484
1510238428,1366,1366
1510250428,1466,1466
1510261228,1549,1549
1510272027,1645,1645
1510283427,1629,1629
1510295426,1586,1586
1510308629,1501,1501
1510321228,1435,1435
1510332628,1398,1398
1510344028,1454,1454
1510354227,1473,1473
1510365626,1512,1512
1510376426,1489,1489
1510387229,1567,1567
1510398029,1600,1600
1510410628,1563,1563
1510423228,1612,1612
1510434028,1635,1635
1510444828,1695,1695
1510455626,1777,1777
1510468826,1826,1826
1510481428,1775,1775
1510495828,1657,1657
1510507828,1715,1715
1510518628,1753,1753
1510530027,1813,1813
1510542626,1758,1758
1510553426,1786,1786
1510566629,1775,1775
1510581029,1624,1624
1510594829,1623,1623
1510606227,1593,1593
1510617628,1700,1700
1510629027,1687,1687
1510641626,1659,1659
1510654216,1581,1581
1510668628,1481,1481
1510680028,1497,1497
1510690228,1678,1678
1510701628,1848,1848
1510713027,1938,1938
1510724426,1966,1966
1510735229,1890,1890
1510749028,1638,1638
1510762228,1571,1571
1510774828,1638,1638
1510785028,1687,1687
1510795827,1804,1804
1510809026,1769,1769
1510819828,1690,1690
1510833629,1639,1639
1510846828,1591,1591
1510858227,1537,1537
1510869628,1551,1551
1510880426,1581,1581
1510891826,1556,1556
1510904426,1571,1571
1510918828,1553,1553
1510933229,1490,1490
1510945828,1564,1564
1510957227,1632,1632
1510968627,1704,1704
1510979426,1710,1710
1510990826,1737,1737
1510998629,1713,1713
1511013028,1534,1534
1511024429,1481,1481
1511035228,1568,1568
1511045427,1580,1580
1511057427,1602,1602
1511067627,1594,1594
1511079029,1716,1716
1511093429,1543,1543
1511107828,1447,1447
1511122228,1427,1427
1511132428,1545,1545
1511143226,1556,1556
1511154027,1537,1537
1511165428,1549,1549
1511179828,1429,1429
1511193629,1361,1361
1511206828,1375,1375
1511217028,1355,1355
1511227226,1356,1356
1511238626,1358,1358
1511249427,1316,1316
1511260228,1343,1343
1511271628,1299,1299
1511281828,1228,1228
1511292627,1185,1185
1511302827,1245,1245
1511313626,1275,1275
1511325026,1322,1322
1511335825,1283,1283
1511346628,1306,1306
1511357427,1256,1256
1511368228,1223,1223
1511379028,1237,1237
1511389227,1283,1283
1511400627,1369,1369
1511411426,1282,1282
1511422225,1346,1346
1511433028,1314,1314
1511443828,1289,1289
1511454628,1278,1278
1511464828,1282,1282
1511475627,1324,1324
1511487026,1348,1348
1511498426,1332,1332
1511508632,1340,1340
1511519429,1401,1401
1511530829,1370,1370
1511542829,1319,1319
1511553028,1340,1340
1511563828,1356,1356
1511574626,1388,1388
1511586026,1394,1394
1511596828,1411,1411
1511607029,1387,1387
1511620827,1343,1343
1511630427,1307,1307
1511641227,1376,1376
1511652026,1441,1441
1511663426,1438,1438
1511674225,1478,1478
1511684429,1434,1434
1511695829,1461,1461
1511707229,1386,1386
1511717428,1381,1381
1511728228,1403,1403
1511739028,1357,1357
1511749827,1269,1269
1511760627,1266,1266
1511771430,1251,1251
1511781628,1194,1194
1511793028,1209,1209
1511804428,1199,1199
1511815827,1342,1342
1511826627,1405,1405
1511838627,1393,1393
1511848826,1361,1361
1511859628,1386,1386
1511871028,1410,1410
1511883628,1291,1291
1511893828,1186,1186
1511904030,1243,1243
1511915429,1298,1298
1511926228,1249,1249
1511936428,1158,1158
1511947232,1168,1168
1511958030,1230,1230
1511969430,1185,1185
1511979624,1196,1196
1511991023,1215,1215
1512001823,1238,1238
1512012622,1300,1300
1512023421,1255,1255
1512034224,1294,1294
1512045028,1304,1304
1512055824,1307,1307
1512066624,1232,1232
1512076824,1240,1240
1512087624,1250,1250
1512099022,1217,1217
1512109221,1246,1246
1512120625,1232,1232
1512130825,1190,1190
1512142226,1166,1166
1512152424,1233,1233
1512163224,1285,1285
1512174024,1270,1270
1512185425,1320,1320
1512196223,1326,1326
1512205824,1328,1328
1512217224,1268,1268
1512228628,1216,1216
1512238829,1283,1283
1512249024,1334,1334
1512260423,1344,1344
1512270624,1313,1313
1512282023,1365,1365
1512292824,1310,1310
1512303624,1332,1332
1512315024,1265,1265
1512330622,1301,1301
1512341421,1371,1371
1512352221,1276,1276
1512363620,1266,1266
1512373820,1298,1298
1512385222,1215,1215
1512395421,1224,1224
1512406222,1243,1243
1512416421,1258,1258
1512427821,1313,1313
1512438620,1301,1301
1512450019,1221,1221
1512460219,1227,1227
1512471022,1231,1231
1512481822,1232,1232
1512492622,1230,1230
1512503422,1208,1208
1512513622,1307,1307
1512525021,1279,1279
1512536421,1216,1216
1512546619,1240,1240
1512558024,1223,1223
1512568838,1171,1171
1512584421,1178,1178
1512600621,1076,1076
1512611420,1091,1091
1512621620,1053,1053
1512633020,1091,1091
1512643222,1054,1054
1512654622,1059,1059
1512665423,1104,1104
1512675622,1150,1150
1512687022,1171,1171
1512697822,1151,1151
1512709220,1161,1161
1512720023,1076,1076
1512730222,1092,1092
1512741021,1076,1076
1512751827,1063,1063
1512762027,1066,1066
1512773423,1135,1135
1512784221,1025,1025
1512795020,1047,1047
1512805820,1039,1039
1512816623,1047,1047
1512827423,1065,1065
1512838224,1067,1067
1512848423,1059,1059
1512859226,1048,1048
1512870021,1155,1155
1512880821,1101,1101
1512891621,1106,1106
1512902422,1129,1129
1512913822,1137,1137
1512925224,1116,1116
1512935423,1082,1082
1512946221,1124,1124
1512957620,1059,1059
1512968421,1011,1011
1512978619,996,996
1512988825,1003,1003
1513000823,1110,1110
1513011024,1100,1100
1513022429,1052,1052
1513036223,1065,1065
1513047021,1074,1074
1513057820,1129,1129
1513068023,1063,1063
1513079425,1066,1066
1513090224,1044,1044
1513101024,1074,1074
1513111822,1042,1042
1513122623,1066,1066
1513133421,1094,1094
1513144821,1102,1102
1513155025,1028,1028
1513165823,1026,1026
1513177222,1028,1028
1513187421,1016,1016
1513198221,1044,1044
1513209021,1080,1080
1513220423,1128,1128
1513230622,1054,1054
1513241427,1055,1055
1513252222,1032,1032
1513263623,984,984
1513273822,1057,1057
1513285221,1163,1163
1513294821,1499,1499
1513302620,1678,1678
1513317023,1503,1503
1513330822,1411,1411
1513342226,1409,1409
1513356622,1310,1310
1513367421,1294,1294
1513378821,1348,1348
1513389621,1280,1280
1513400420,1212,1212
1513411222,1156,1156
1513422022,1160,1160
1513435222,1062,1062
1513445422,1062,1062
1513456221,1064,1064
1513467021,1108,1108
1513477220,1096,1096
1513488619,1070,1070
1513498822,988,988
1513509023,999,999
1513520423,973,973
1513531222,952,952
1513541421,1087,1087
1513552822,1024,1024
1513564221,1015,1015
1513574420,1084,1084
1513585222,1086,1086
1513596023,1053,1053
1513607422,1072,1072
1513617621,1069,1069
1513628422,1104,1104
1513639821,1054,1054
1513650021,1069,1069
1513661420,1046,1046
1513671623,1090,1090
1513682423,1083,1083
1513693224,1046,1046
1513704024,1115,1115
1513714823,1117,1117
1513725621,1162,1162
1513736421,1213,1213
1513747221,1148,1148
1513758023,1127,1127
1513769422,1031,1031
1513780822,1011,1011
1513790422,1058,1058
1513801222,1037,1037
1513812022,991,991
1513822821,981,981
1513833620,925,925
1513844422,910,910
1513855223,918,918
1513866022,922,922
1513880422,983,983
1513891224,1020,1020
1513902020,1021,1021
1513912820,1003,1003
1513923619,1000,1000
1513935021,913,913
1513945222,944,944
1513956021,952,952
1513966822,973,973
1513977622,938,938
1513988421,883,883
1513999220,853,853
1514009419,831,831
1514023822,827,827
1514035223,851,851
1514047221,838,838
1514058621,879,879
1514068821,869,869
1514080224,895,895
1514091020,827,827
1514101819,871,871
1514112622,890,890
1514124022,859,859
1514133621,927,927
1514144421,1045,1045
1514155820,1039,1039
1514167220,1030,1030
1514177420,1016,1016
1514188823,988,988
1514199623,930,930
1514210422,900,900
1514220022,938,938
1514231422,963,963
1514242221,974,974
1514253621,924,924
1514263221,903,903
1514274019,873,873
1514284822,853,853
1514296222,862,862
1514307021,891,891
1514317821,911,911
1514329222,952,952
1514338819,909,909
1514349621,911,911
1514360419,876,876
1514375421,896,896
1514386221,876,876
1514396422,844,844
1514407221,828,828
1514418020,917,917
1514428819,900,900
1514440219,891,891
1514450423,858,858
1514461823,914,914
1514472622,837,837
1514485221,906,906
1514495422,956,956
1514506820,937,937
1514517620,910,910
1514528419,849,849
1514539258,848,848
1514550021,850,850
1514560821,863,863
1514571621,855,855
1514581820,897,897
1514593820,855,855
1514604019,873,873
1514614218,813,813
1514625022,777,777
1514639422,816,816
1514653819,818,818
1514667021,853,853
1514677221,854,854
1514688020,842,842
1514698819,811,811
1514709621,834,834
