DateTime,Entries,UniqueIPs
1512012628,2464,2490
1512018029,2459,2485
1512023427,2457,2483
1512028828,2458,2484
1512034228,2461,2487
1512039029,2458,2484
1512045032,2462,2488
1512050429,2460,2486
1512055828,2460,2487
1512060629,2460,2487
1512066628,2460,2487
1512071428,2463,2490
1512076829,2460,2487
1512082829,2462,2489
1512087629,2460,2487
1512093687,2465,2492
1512099028,2460,2487
1512103828,2458,2485
1512109227,2460,2487
1512115230,2458,2486
1512120628,2459,2487
1512126028,2461,2489
1512130829,2461,2490
1512136828,2468,2497
1512142230,2467,2496
1512147028,2465,2494
1512152429,2464,2493
1512157229,2460,2489
1512163229,2458,2487
1512168628,2457,2486
1512174030,2454,2483
1512179428,2454,2483
1512185430,2457,2486
1512190829,2456,2485
1512196229,2453,2482
1512201029,2456,2485
1512205827,2462,2491
1512211829,2466,2495
1512217228,2465,2494
1512222629,2466,2495
1512228632,2464,2493
1512233431,2464,2493
1512238834,2462,2491
1512244231,2461,2490
1512249029,2460,2489
1512255028,2463,2492
1512260428,2464,2493
1512265829,2469,2498
1512270629,2467,2496
1512276628,2466,2494
1512282028,2468,2496
1512287427,2471,2499
1512292828,2476,2504
1512298228,2476,2504
1512303628,2475,2503
1512309650,2475,2503
1512315029,2474,2502
1512319830,2476,2504
1512325831,2483,2511
1512330627,2485,2513
1512336026,2484,2512
1512341426,2487,2514
1512346826,2486,2513
1512352226,2487,2514
1512357626,2488,2515
1512363626,2488,2515
1512368426,2488,2515
1512373826,2487,2514
1512379826,2488,2515
1512385226,2486,2513
1512390026,2484,2511
1512395425,2484,2511
1512400828,2483,2510
1512406226,2485,2512
1512411627,2482,2509
1512416426,2478,2505
1512422426,2484,2511
1512427827,2483,2510
1512433226,2479,2506
1512438626,2482,2509
1512444627,2484,2511
1512450025,2484,2511
1512454825,2488,2515
1512460226,2489,2516
1512465625,2486,2513
1512471025,2485,2512
1512477026,2484,2511
1512481825,2484,2511
1512487226,2482,2509
1512492626,2482,2509
1512498026,2485,2512
1512503426,2487,2514
1512508226,2485,2512
1512513626,2484,2511
1512519626,2481,2507
1512525026,2481,2507
1512531026,2481,2508
1512536426,2485,2512
1512541225,2487,2514
1512546625,2484,2511
1512552625,2488,2515
1512558028,2487,2514
1512563426,2488,2515
1512568842,2490,2517
1512574227,2493,2520
1512579026,2491,2518
1512584425,2496,2523
1512590429,2497,2524
1512600626,2494,2521
1512606026,2490,2517
1512611425,2489,2516
1512616826,2491,2518
1512621625,2492,2519
1512627026,2496,2523
1512633026,2497,2524
1512637826,2499,2527
1512643225,2501,2529
1512648626,2500,2528
1512654626,2501,2529
1512659426,2501,2529
1512665427,2503,2531
1512670227,2504,2532
1512675626,2509,2537
1512681627,2505,2533
1512687028,2502,2530
1512692428,2504,2532
1512697828,2503,2531
1512703226,2500,2528
1512709226,2501,2529
1512714625,2501,2529
1512720026,2504,2532
1512724825,2504,2532
1512730226,2506,2534
1512735628,2506,2534
1512741026,2504,2532
1512747026,2507,2535
1512751835,2509,2537
1512756628,2512,2540
