DateTime,AddedIPs,RemovedIPs
1512018029,5,7
1512023427,9,7
1512028828,5,2
1512034228,3,4
1512039029,6,10
1512045032,7,6
1512050429,7,5
1512055828,7,7
1512060629,4,4
1512066628,3,6
1512071428,5,8
1512076829,7,5
1512082829,9,3
1512087629,4,9
1512093687,8,7
1512099028,3,7
1512103828,2,8
1512109227,3,1
1512115230,5,5
1512120628,6,3
1512126028,5,8
1512130829,5,7
1512136828,8,9
1512142230,7,6
1512147028,5,6
1512152429,6,0
1512157229,9,14
1512163229,2,0
1512168628,9,8
1512174030,4,11
1512179428,6,4
1512185430,5,0
1512190829,4,12
1512196229,5,0
1512201029,10,11
1512205827,10,0
1512211829,8,4
1512217228,7,14
1512222629,8,0
1512228632,5,5
1512233431,7,6
1512238834,4,7
1512244231,6,5
1512249029,5,7
1512255028,8,4
1512260428,4,5
1512265829,7,3
1512270629,5,6
1512276628,6,5
1512282028,8,6
1512287427,4,8
1512292828,9,6
1512298228,7,3
1512303628,6,2
1512309650,4,5
1512315029,4,4
1512319830,2,6
1512325831,9,6
1512330627,7,5
1512336026,1,7
1512341426,7,3
1512346826,3,6
1512352226,4,7
1512357626,9,9
1512363626,9,6
1512368426,5,7
1512373826,4,8
1512379826,6,6
1512385226,3,8
1512390026,4,7
1512395425,3,4
1512400828,5,4
1512406226,8,6
1512411627,9,5
1512416426,3,3
1512422426,11,6
1512427827,6,7
1512433226,5,6
1512438626,5,5
1512444627,3,8
1512450025,7,6
1512454825,5,4
1512460226,7,6
1512465625,4,7
1512471025,8,8
1512477026,5,5
1512481825,5,3
1512487226,8,0
1512492626,7,8
1512498026,7,13
1512503426,5,0
1512508226,5,6
1512513626,5,6
1512519626,4,5
1512525026,5,6
1512531026,7,10
1512536426,7,0
1512541225,4,5
1512546625,12,12
1512552625,7,6
1512558028,8,9
1512563426,7,7
1512568842,8,6
1512574227,9,7
1512579026,6,7
1512584425,7,0
1512590429,4,13
1512600626,7,6
1512606026,4,6
1512611425,6,7
1512616826,8,7
1512621625,5,3
1512627026,6,8
1512633026,9,7
1512637826,10,7
1512643225,9,3
1512648626,3,7
1512654626,5,7
1512659426,9,10
1512665427,8,7
1512670227,6,4
1512675626,8,2
1512681627,2,3
1512687028,3,14
1512692428,4,0
1512697828,6,10
1512703226,7,0
1512709226,4,6
1512714625,7,9
1512720026,5,6
1512724825,5,0
1512730226,11,8
1512735628,8,7
1512741026,2,14
1512747026,6,0
1512751835,5,13
1512756628,9,7
1512762032,4,0
1512767430,3,8
1512773429,5,11
1512778829,8,0
1512784226,3,8
1512789027,5,0
1512795026,5,5
1512800427,5,3
1512805826,7,5
1512810626,6,13
1512816626,4,7
1512822026,5,0
1512827427,6,14
1512832828,4,0
1512838228,6,7
1512843029,4,10
1512848427,5,0
1512853827,7,10
1512859230,8,6
1512864628,7,0
1512870026,7,4
1512876026,7,3
1512880826,5,11
1512886226,5,0
1512891626,7,5
1512897026,9,4
1512902426,1,5
1512908429,7,12
1512913826,11,0
1512919227,9,3
1512925229,9,1
1512930627,7,12
1512935429,6,8
1512940833,10,0
1512946227,4,6
1512952227,3,13
1512957626,4,6
1512963027,4,6
1512968428,6,8
1512973226,8,1
1512978625,3,0
1512984026,8,9
1512988829,7,7
1512994829,12,6
1513000827,6,7
1513006230,7,8
1513011029,3,9
1513016429,7,7
1513022435,7,0
1513026636,4,15
1513032030,4,0
1513036229,2,4
1513041629,7,7
1513047026,8,5
1513052426,8,5
1513057826,6,7
1513063826,4,5
1513068026,7,3
1513074026,6,3
1513079428,8,6
1513085429,6,8
1513090228,6,4
1513095627,6,9
1513101029,6,7
1513107028,5,7
1513111827,4,7
1513117226,4,7
1513122629,7,5
1513128026,5,5
1513133427,5,8
1513139426,4,6
1513144827,5,4
1513149629,6,3
1513155029,3,11
1513160427,4,8
1513165828,3,10
1513171226,4,6
1513177226,6,3
1513182026,6,9
1513187426,4,6
1513192825,5,7
1513198226,4,2
1513203028,8,0
1513209026,5,9
1513213825,7,6
1513220429,5,4
1513225229,5,9
1513230628,8,4
1513235430,2,15
1513241431,4,0
1513246830,6,9
1513252226,5,9
1513257626,8,3
1513263627,5,7
1513267826,6,7
1513273826,5,8
1513279227,9,9
1513285226,3,9
1513290026,9,2
1513294827,19,3
1513302626,5,11
1513309826,13,0
1513317029,12,19
1513323625,4,3
1513330826,5,6
1513335627,6,15
1513342231,10,8
1513349426,2,2
1513356626,8,6
1513362626,4,6
1513367426,8,16
1513373427,5,5
1513378826,4,6
1513384826,9,6
1513389627,3,4
1513395026,4,6
1513400426,5,6
1513406426,4,5
1513411226,10,8
1513416626,11,4
1513422026,7,5
1513428026,2,8
1513435227,6,7
1513439426,5,8
1513445427,6,7
1513450225,6,8
1513456226,7,7
1513461027,4,7
1513467026,6,6
1513471825,7,9
1513477226,6,5
1513482625,7,9
1513488626,4,8
1513493426,3,5
1513498826,6,8
1513504226,9,6
1513509026,8,5
1513515026,8,6
1513520426,4,9
1513525825,9,7
1513531226,7,6
1513536626,5,8
1513541425,6,5
1513548026,7,9
1513552826,1,7
1513558225,5,6
1513564226,6,4
1513569025,6,4
1513574426,6,6
1513579826,6,6
1513585225,7,5
1513591225,3,7
1513596026,4,6
1513601426,7,4
1513607426,5,6
1513612226,9,2
1513617626,4,1
1513623626,6,4
1513628426,5,7
1513634426,8,5
1513639826,6,5
1513644626,8,3
1513650027,8,7
1513656026,6,5
1513661426,8,7
1513666226,5,3
1513671625,6,5
1513677026,8,6
1513682427,5,7
1513687826,3,6
1513693228,8,7
1513698626,4,6
1513704028,6,6
1513709427,4,5
1513714828,3,5
1513720227,8,3
1513725626,5,4
1513731626,8,3
1513736426,6,9
1513742426,7,4
1513747226,5,5
1513752626,4,5
1513758027,6,6
1513764626,6,5
1513769425,8,4
1513774825,7,8
1513780826,3,4
1513785629,5,8
1513790426,6,8
1513795829,9,5
1513801227,5,5
1513806626,6,4
1513812027,8,7
1513817425,7,4
1513822826,6,5
1513828226,3,6
1513833625,7,7
1513839025,6,9
1513844426,5,7
1513850427,9,6
1513855226,5,4
1513860626,5,6
1513866026,4,6
1513871427,8,6
1513876229,8,4
1513880426,8,7
1513885826,5,7
1513891229,2,9
1513897226,7,8
1513902026,6,9
1513906825,2,0
1513912826,7,6
1513917625,8,9
1513923625,3,7
1513929027,7,4
1513935025,3,8
1513939226,6,0
1513945226,5,3
1513950626,4,8
1513956028,6,6
1513961426,5,6
1513966826,2,5
1513972226,6,0
1513977627,7,8
1513983026,1,8
1513988427,5,5
1513993825,6,6
1513999226,2,4
1514004626,7,9
1514009425,5,4
1514014226,5,5
1514019025,7,7
1514023825,3,10
1514029226,3,5
1514035227,7,4
1514040625,3,5
1514047225,6,4
1514053227,6,8
1514058626,7,5
1514063427,4,8
1514068826,7,4
1514074225,4,7
1514080229,4,7
1514085625,4,9
1514091027,6,8
1514095825,5,4
1514101825,2,1
1514107225,5,5
1514112626,9,8
1514118026,3,7
1514124026,3,6
1514128826,7,8
1514133626,4,7
1514139026,5,8
1514144426,7,4
1514150426,7,7
1514155826,7,8
1514161826,8,3
1514167225,7,5
1514172626,3,8
1514177426,7,5
1514182826,8,7
1514188826,4,6
1514194226,9,6
1514199626,7,3
1514205026,6,5
1514210425,6,5
1514215226,5,4
1514220026,6,7
1514226026,7,7
1514231426,3,4
1514236226,9,7
1514242226,7,7
1514247625,5,9
1514253627,7,7
1514258425,6,10
1514263226,6,5
1514268626,6,8
1514274025,3,6
1514280026,6,7
1514284825,7,4
1514290826,7,5
1514296225,6,2
1514302228,9,6
1514307024,1,5
1514311824,6,7
1514317825,8,1
1514322624,3,7
1514329226,3,6
1514334027,7,8
1514338824,3,0
1514344825,4,3
1514349626,7,8
1514355624,7,6
1514360424,6,8
1514364624,3,7
1514369425,4,6
1514375424,7,8
1514380225,3,6
1514386225,8,7
1514391624,6,3
1514396426,6,6
1514401825,9,2
1514407225,3,6
1514412625,2,7
1514418025,4,5
1514424024,3,6
1514428824,8,6
1514434825,6,3
1514440225,3,8
1514445625,6,2
1514450425,6,5
1514456425,2,4
1514461825,11,4
1514467824,7,5
1514472625,6,5
