DateTime,AddedIPs,RemovedIPs
1512018029,21,22
1512023427,25,22
1512028828,23,25
1512034228,21,23
1512039029,22,20
1512045032,21,21
1512050429,25,24
1512055828,22,22
1512060629,25,24
1512066628,20,25
1512071428,24,20
1512076829,25,24
1512082829,26,26
1512087629,21,24
1512093687,22,20
1512099028,21,23
1512103828,21,22
1512109227,24,22
1512115230,24,22
1512120628,24,24
1512126028,22,23
1512130829,24,25
1512136828,25,24
1512142230,20,20
1512147028,23,23
1512152429,23,23
1512157229,25,24
1512163229,22,26
1512168628,26,22
1512174030,21,24
1512179428,24,23
1512185430,23,24
1512190829,22,22
1512196229,23,21
1512201029,24,25
1512205827,26,24
1512211829,24,26
1512217228,26,24
1512222629,21,22
1512228632,26,25
1512233431,24,26
1512238834,24,24
1512244231,24,24
1512249029,24,24
1512255028,24,23
1512260428,20,24
1512265829,24,19
1512270629,22,24
1512276628,22,22
1512282028,25,24
1512287427,22,24
1512292828,23,23
1512298228,25,23
1512303628,24,24
1512309650,23,24
1512315029,22,24
1512319830,23,22
1512325831,26,23
1512330627,25,25
1512336026,21,25
1512341426,25,21
1512346826,24,26
1512352226,22,24
1512357626,26,22
1512363626,26,25
1512368426,21,26
1512373826,26,22
1512379826,25,26
1512385226,24,24
1512390026,24,23
1512395425,18,24
1512400828,24,20
1512406226,27,24
1512411627,26,27
1512416426,23,25
1512422426,23,23
1512427827,25,22
1512433226,21,25
1512438626,21,21
1512444627,24,23
1512450025,23,23
1512454825,25,23
1512460226,24,24
1512465625,24,25
1512471025,26,25
1512477026,24,25
1512481825,23,24
1512487226,26,23
1512492626,23,24
1512498026,23,24
1512503426,22,23
1512508226,23,23
1512513626,25,24
1512519626,24,25
1512525026,26,24
1512531026,24,26
1512536426,22,22
1512541225,22,24
1512546625,27,22
1512552625,26,27
1512558028,23,24
1512563426,22,23
1512568842,23,23
1512574227,27,24
1512579026,25,27
1512584425,24,24
1512590429,22,24
1512600626,23,20
1512606026,25,25
1512611425,24,25
1512616826,26,24
1512621625,24,26
1512627026,27,25
1512633026,22,26
1512637826,23,20
1512643225,23,24
1512648626,22,22
1512654626,22,23
1512659426,26,23
1512665427,23,27
1512670227,26,23
1512675626,24,25
1512681627,20,23
1512687028,23,22
1512692428,22,23
1512697828,22,22
1512703226,25,20
1512709226,22,26
1512714625,23,20
1512720026,22,24
1512724825,26,24
1512730226,25,24
1512735628,25,26
1512741026,22,25
1512747026,24,22
1512751835,24,25
1512756628,25,22
1512762032,20,25
1512767430,22,20
1512773429,23,22
1512778829,27,25
1512784226,19,23
1512789027,24,22
1512795026,26,24
1512800427,22,26
1512805826,26,23
1512810626,20,22
1512816626,22,22
1512822026,25,22
1512827427,25,27
1512832828,23,24
1512838228,25,24
1512843029,24,24
1512848427,24,23
1512853827,24,25
1512859230,25,24
1512864628,24,23
1512870026,23,24
1512876026,24,24
1512880826,25,26
1512886226,24,24
1512891626,25,24
1512897026,23,24
1512902426,22,24
1512908429,23,22
1512913826,25,23
1512919227,26,26
1512925229,26,26
1512930627,26,25
1512935429,23,27
1512940833,27,23
1512946227,21,26
1512952227,23,19
1512957626,23,26
1512963027,21,22
1512968428,24,21
1512973226,24,24
1512978625,22,22
1512984026,24,23
1512988829,25,26
1512994829,27,25
1513000827,23,26
1513006230,24,24
1513011029,22,22
1513016429,22,23
1513022435,24,20
1513026636,22,26
1513032030,24,22
1513036229,20,24
1513041629,24,20
1513047026,24,24
1513052426,24,23
1513057826,23,24
1513063826,22,24
1513068026,24,23
1513074026,23,24
1513079428,25,23
1513085429,24,24
1513090228,24,24
1513095627,23,25
1513101029,24,22
1513107028,25,24
1513111827,25,26
1513117226,24,25
1513122629,21,24
1513128026,26,21
1513133427,24,26
1513139426,24,24
1513144827,23,24
1513149629,23,23
1513155029,24,23
1513160427,24,23
1513165828,24,24
1513171226,25,25
1513177226,24,25
1513182026,23,22
1513187426,24,25
1513192825,22,23
1513198226,22,23
1513203028,25,21
1513209026,22,26
1513213825,23,21
1513220429,24,24
1513225229,26,24
1513230628,27,26
1513235430,22,27
1513241431,25,22
1513246830,24,24
1513252226,25,25
1513257626,26,25
1513263627,25,26
1513267826,24,24
1513273826,23,25
1513279227,23,21
1513285226,25,25
1513290026,25,25
1513294827,25,25
1513302626,24,25
1513309826,24,24
1513317029,25,23
1513323625,22,25
1513330826,23,23
1513335627,22,23
1513342231,25,21
1513349426,22,24
1513356626,22,22
1513362626,21,22
1513367426,24,23
1513373427,25,24
1513378826,22,24
1513384826,22,23
1513389627,20,21
1513395026,24,21
1513400426,24,24
1513406426,22,24
1513411226,26,22
1513416626,27,26
1513422026,24,27
1513428026,22,23
1513435227,22,21
1513439426,19,22
1513445427,24,20
1513450225,24,24
1513456226,25,25
1513461027,23,25
1513467026,22,22
1513471825,25,23
1513477226,24,25
1513482625,24,24
1513488626,20,22
1513493426,24,21
1513498826,23,24
1513504226,24,22
1513509026,25,25
1513515026,22,24
1513520426,25,23
1513525825,24,25
1513531226,25,25
1513536626,24,24
1513541425,26,24
1513548026,23,24
1513552826,19,24
1513558225,22,20
1513564226,26,23
1513569025,23,26
1513574426,25,23
1513579826,24,25
1513585225,21,22
1513591225,25,23
1513596026,25,25
1513601426,21,22
1513607426,24,24
1513612226,25,23
1513617626,25,26
1513623626,25,25
1513628426,27,25
1513634426,25,27
1513639826,25,25
1513644626,23,23
1513650027,25,24
1513656026,24,26
1513661426,27,24
1513666226,22,26
1513671625,21,19
1513677026,24,24
1513682427,20,22
1513687826,19,21
1513693228,25,21
1513698626,21,23
1513704028,23,21
1513709427,20,24
1513714828,26,21
1513720227,24,25
1513725626,24,24
1513731626,23,25
1513736426,23,23
1513742426,24,21
1513747226,24,26
1513752626,25,24
1513758027,26,25
1513764626,24,25
1513769425,24,25
1513774825,23,23
1513780826,20,23
1513785629,20,19
1513790426,25,20
1513795829,22,26
1513801227,22,22
1513806626,24,22
1513812027,24,24
1513817425,25,24
1513822826,24,26
1513828226,21,22
1513833625,25,23
1513839025,23,25
1513844426,23,23
1513850427,25,22
1513855226,23,25
1513860626,22,23
1513866026,23,22
1513871427,23,22
1513876229,25,24
1513880426,24,25
1513885826,25,24
1513891229,20,24
1513897226,24,22
1513902026,25,24
1513906825,24,25
1513912826,24,23
1513917625,25,24
1513923625,21,25
1513929027,25,21
1513935025,25,25
1513939226,22,26
1513945226,24,22
1513950626,20,23
1513956028,23,20
1513961426,24,23
1513966826,21,23
1513972226,23,20
1513977627,23,24
1513983026,19,24
1513988427,24,19
1513993825,22,23
1513999226,20,21
1514004626,24,22
1514009425,23,25
1514014226,24,23
1514019025,26,24
1514023825,20,24
1514029226,21,21
1514035227,24,22
1514040625,22,24
1514047225,25,22
1514053227,24,23
1514058626,25,26
1514063427,21,23
1514068826,22,20
1514074225,22,25
1514080229,26,22
1514085625,24,26
1514091027,22,21
1514095825,22,23
1514101825,22,23
1514107225,22,21
1514112626,24,22
1514118026,22,25
1514124026,25,23
1514128826,24,24
1514133626,23,24
1514139026,21,22
1514144426,23,23
1514150426,24,22
1514155826,24,23
1514161826,25,24
1514167225,23,25
1514172626,20,24
1514177426,24,20
1514182826,26,25
1514188826,20,22
1514194226,24,23
1514199626,23,24
1514205026,23,21
1514210425,22,24
1514215226,21,23
1514220026,24,21
1514226026,26,24
1514231426,21,25
1514236226,23,20
1514242226,23,24
1514247625,22,23
1514253627,23,21
1514258425,21,23
1514263226,24,23
1514268626,24,24
1514274025,22,24
1514280026,24,22
1514284825,25,23
1514290826,23,25
1514296225,24,23
1514302228,24,25
1514307024,24,24
1514311824,24,24
1514317825,24,25
1514322624,24,24
1514329226,21,22
1514334027,25,21
1514338824,20,25
1514344825,20,20
1514349626,24,20
1514355624,25,24
1514360424,22,25
1514364624,23,22
1514369425,22,23
1514375424,23,22
1514380225,26,24
1514386225,26,27
1514391624,23,26
1514396426,25,22
1514401825,22,23
1514407225,22,23
1514412625,20,21
1514418025,24,22
1514424024,21,24
1514428824,24,22
1514434825,24,24
1514440225,19,21
1514445625,23,20
1514450425,22,23
1514456425,23,22
1514461825,23,23
1514467824,23,23
1514472625,22,24
1514477425,25,21
1514481026,23,26
1514485224,25,24
1514490025,25,25
1514495426,22,24
1514500826,23,22
1514506824,24,24
1514512224,25,24
1514517624,23,23
1514522425,25,24
1514528424,24,25
1514533824,22,24
1514539291,22,21
1514544025,22,22
1514550024,18,22
1514555425,24,18
1514560824,20,23
1514566224,22,20
1514571625,22,22
1514577025,22,23
1514581824,21,22
1514587225,22,21
1514593825,19,20
1514598625,23,20
1514604024,24,24
1514610025,24,25
1514614224,21,23
1514620224,24,22
1514625024,24,24
1514629831,24,24
1514634024,23,23
1514639424,23,23
1514645424,23,23
1514650227,21,22
1514653821,22,21
1514657425,22,21
1514661022,22,24
1514667025,21,22
1514671825,22,21
1514677225,24,23
1514682624,20,23
1514688025,18,18
1514694024,22,20
1514698824,24,22
1514704824,22,24
1514709624,25,23
1514715625,24,25
