DateTime,AddedIPs,RemovedIPs
1514454734,0,1
1514455695,1,0
1514456645,1,1
1514457128,0,2
1514457607,3,3
1514458089,2,0
1514458816,0,4
1514459288,4,5
1514459770,5,4
1514460490,12,3
1514460966,2,1
1514461446,2,1
1514461925,0,1
1514462414,2,2
1514462888,1,0
1514463372,1,1
1514463855,0,3
1514464572,2,0
1514465048,2,1
1514465766,1,1
1514466249,0,1
1514466726,1,0
1514467211,1,2
1514467684,1,0
1514468412,1,3
1514468886,2,3
1514469371,4,6
1514469846,4,4
1514470330,4,7
1514470805,7,2
1514471533,3,1
1514472004,1,5
1514472491,5,8
1514472964,9,3
1514473448,2,11
1514473928,10,0
1514474406,0,9
1514474888,9,7
1514476093,9,10
1514476565,9,11
1514477049,11,11
1514477526,11,8
1514478013,9,10
1514478492,10,4
1514478965,3,10
1514479447,10,8
1514479927,8,11
1514480419,12,9
1514480887,8,2
1514481366,3,13
1514481847,13,12
1514482330,12,12
1514482805,10,3
1514483290,4,13
1514483767,11,4
1514490009,5,2
1514490484,1,11
1514490966,11,2
1514491453,2,10
1514491929,10,0
1514492405,0,11
1514492890,11,1
1514493372,0,12
1514493848,12,8
1514494325,8,4
1514494817,5,9
1514495291,10,8
1514495766,6,10
1514496248,11,8
1514496978,9,9
1514497687,8,10
1514498165,10,11
1514498650,2,0
1514499127,9,5
1514499605,5,5
1514500099,6,1
1514500569,1,10
1514501048,9,9
1514501527,9,8
1514502024,8,4
1514502487,4,8
1514503444,8,11
1514504650,7,1
1514505133,4,9
1514505618,10,11
1514506087,11,3
1514506566,3,9
1514507052,9,10
1514507530,10,8
1514508004,8,5
1514508490,5,8
1514508968,8,6
1514509448,6,15
1514509926,13,10
1514510410,18,18
1514510889,14,9
1514511366,9,13
1514511849,14,18
1514512328,22,18
1514512817,14,16
1514513291,16,10
1514513768,9,22
1514514244,21,13
1514514732,12,14
1514515204,14,13
1514515689,14,18
1514516167,17,11
1514516651,13,8
1514517127,9,13
1514517608,11,17
1514518088,17,18
1514518569,15,10
1514519050,13,16
1514519525,14,14
1514520021,16,14
1514520489,12,7
1514520972,7,17
1514521446,18,8
1514521931,7,17
1514522650,17,11
1514523125,12,14
1514523617,14,12
1514524087,10,11
1514524572,10,17
1514525051,18,8
1514525526,8,15
1514526247,16,17
1514526965,19,11
1514527447,9,18
1514527925,17,18
1514528411,16,16
1514528889,18,16
1514529390,12,12
1514529847,14,14
1514530326,15,17
1514530818,15,16
1514531285,16,15
1514531764,16,11
1514532248,8,17
1514532734,21,9
1514533211,8,17
1514533689,19,14
1514534167,11,15
1514534649,19,17
1514535366,17,7
1514535848,9,15
1514536327,14,15
1514536808,13,9
1514537290,9,8
1514537765,8,1
1514538494,1,7
1514539452,8,8
1514540414,7,4
1514540891,5,7
1514541364,6,3
1514542087,3,11
1514542572,11,5
1514543045,6,8
1514543532,7,10
1514544004,10,4
1514544491,5,12
1514544966,11,4
1514545450,5,9
1514545931,7,2
1514546409,3,8
1514546888,8,10
1514547367,10,8
1514547849,8,7
1514548326,6,5
1514548818,6,8
1514549286,9,8
1514550024,5,7
1514550488,10,7
1514550966,5,7
1514551446,7,5
1514551928,5,6
1514552425,7,8
1514552887,9,7
1514553369,6,8
1514554091,8,1
1514554567,1,10
1514555047,11,5
1514555766,4,7
1514556252,7,4
1514556731,4,9
1514557205,9,3
1514557688,3,7
1514558165,8,7
1514558649,6,2
1514559128,2,8
1514559615,9,7
1514560087,6,9
1514560568,9,10
1514561047,7,4
1514561526,7,8
1514562492,9,8
1514562965,6,7
1514563447,8,8
1514563959,0,1
1514564411,8,9
1514564886,9,6
1514565370,8,9
1514565846,8,7
1514566326,7,8
1514566821,8,6
1514567290,6,8
1514567767,8,11
1514568249,11,8
1514568726,8,7
1514569449,7,6
1514569925,6,7
1514570651,8,10
1514571128,9,3
1514571607,3,9
1514572088,8,9
1514572564,10,8
1514573290,8,2
1514573766,3,9
1514574249,8,7
1514574726,7,8
1514575209,8,7
1514575686,7,6
1514576169,5,5
1514576886,5,5
1514577371,6,6
1514577845,5,1
1514578569,3,7
1514579288,7,7
1514579769,7,10
1514580248,9,3
1514580966,3,9
1514581689,9,4
1514582174,4,9
1514582644,9,1
1514583131,0,7
1514583604,8,10
1514584092,9,3
1514584810,4,8
1514585287,9,9
1514585768,8,8
1514586247,9,6
1514586727,6,8
1514587207,6,0
1514587697,1,8
1514588171,8,10
1514588888,9,5
1514589365,6,10
1514589849,10,9
1514590332,10,11
1514591046,11,3
1514591524,1,4
1514592013,6,8
1514592490,7,7
1514592967,8,7
1514593447,7,4
1514593930,3,8
1514594407,8,3
1514594891,3,9
1514595364,9,7
1514595851,7,8
1514596573,9,16
1514597044,20,19
1514597530,10,11
1514598005,11,12
1514598491,18,15
1514598965,16,16
1514599450,16,16
1514599925,17,17
1514600412,15,13
1514600888,15,14
1514601368,16,17
1514601848,13,12
1514602330,11,15
1514602819,16,8
1514603285,8,16
1514603766,17,7
1514604249,8,13
1514604728,17,17
1514605205,14,18
1514605689,19,17
1514606168,14,11
1514606648,13,13
1514607128,12,12
1514607605,11,15
1514608087,16,16
1514608567,17,14
1514609044,14,19
1514609524,17,17
1514610022,18,12
1514610491,12,17
1514610964,16,18
1514611449,18,13
1514611934,13,13
1514612405,16,13
1514612888,10,17
1514613365,17,14
1514613853,19,19
1514614329,18,16
1514614805,13,12
1514615288,14,13
1514615769,15,17
1514616247,15,11
1514616724,14,21
1514617212,20,5
1514617688,3,15
1514618171,17,11
1514618645,8,5
1514619130,10,23
1514619607,20,19
1514620088,18,14
1514620566,11,13
1514621059,13,10
1514621526,13,13
1514622009,13,13
1514622485,15,16
1514622966,12,9
1514623447,8,4
1514623933,8,7
1514624414,6,8
1514624888,8,5
1514625368,6,9
1514625849,7,11
1514626326,10,2
1514626806,3,8
1514627290,8,10
1514627764,10,8
1514628246,8,6
1514628727,7,6
1514629209,5,7
1514629689,7,9
1514630166,9,6
1514630648,6,7
1514631131,7,8
1514631625,8,7
1514632088,5,9
1514632569,9,3
1514633046,5,8
1514633533,6,8
1514634005,8,5
1514634489,7,6
1514634967,5,8
1514635448,8,9
1514636167,9,8
1514636659,8,9
1514637131,9,7
1514637606,6,6
1514638107,8,7
1514638812,6,4
1514639527,4,9
1514640005,9,11
1514640487,11,6
1514640972,5,8
1514641449,9,10
1514641924,9,6
1514642651,7,8
1514643369,8,9
1514643845,9,6
1514644328,6,9
1514644808,8,6
1514645291,7,9
1514645768,9,10
1514646487,10,9
1514647205,10,11
1514647689,10,8
1514648166,8,5
1514648650,5,6
1514649849,5,9
1514650569,9,5
1514651049,5,6
1514651526,5,6
1514652005,6,7
