DateTime,Entries,UniqueIPs
1514454734,5185,5185
1514455695,5186,5186
1514456645,5186,5186
1514457128,5184,5184
1514457607,5184,5184
1514458089,5186,5186
1514458816,5182,5182
1514459288,5181,5181
1514459770,5182,5182
1514460490,5191,5191
1514460966,5192,5192
1514461446,5193,5193
1514461925,5192,5192
1514462414,5192,5192
1514462888,5193,5193
1514463372,5193,5193
1514463855,5190,5190
1514464572,5192,5192
1514465048,5193,5193
1514465766,5193,5193
1514466249,5192,5192
1514466726,5193,5193
1514467211,5192,5192
1514467684,5193,5193
1514468412,5191,5191
1514468886,5190,5190
1514469371,5188,5188
1514469846,5188,5188
1514470330,5185,5185
1514470805,5190,5190
1514471533,5192,5192
1514472004,5188,5188
1514472491,5185,5185
1514472964,5191,5191
1514473448,5182,5182
1514473928,5192,5192
1514474406,5183,5183
1514474888,5185,5185
1514476093,5184,5184
1514476565,5182,5182
1514477049,5182,5182
1514477526,5185,5185
1514478013,5184,5184
1514478492,5190,5190
1514478965,5183,5183
1514479447,5185,5185
1514479927,5182,5182
1514480419,5185,5185
1514480887,5191,5191
1514481366,5181,5181
1514481847,5182,5182
1514482330,5182,5182
1514482805,5189,5189
1514483290,5180,5180
1514483767,5187,5187
1514490009,5190,5190
1514490484,5180,5180
1514490966,5189,5189
1514491453,5181,5181
1514491929,5191,5191
1514492405,5180,5180
1514492890,5190,5190
1514493372,5178,5178
1514493848,5182,5182
1514494325,5186,5186
1514494817,5182,5182
1514495291,5184,5184
1514495766,5180,5180
1514496248,5183,5183
1514496978,5183,5183
1514497687,5181,5181
1514498165,5180,5180
1514498650,5182,5182
1514499127,5186,5186
1514499605,5186,5186
1514500099,5191,5191
1514500569,5182,5182
1514501048,5182,5182
1514501527,5183,5183
1514502024,5187,5187
1514502487,5183,5183
1514503444,5180,5180
1514504650,5186,5186
1514505133,5181,5181
1514505618,5180,5180
1514506087,5188,5188
1514506566,5182,5182
1514507052,5181,5181
1514507530,5183,5183
1514508004,5186,5186
1514508490,5183,5183
1514508968,5185,5185
1514509448,5176,5176
1514509926,5179,5179
1514510410,5179,5179
1514510889,5184,5184
1514511366,5180,5180
1514511849,5176,5176
1514512328,5180,5180
1514512817,5178,5178
1514513291,5184,5184
1514513768,5171,5171
1514514244,5179,5179
1514514732,5177,5177
1514515204,5178,5178
1514515689,5174,5174
1514516167,5180,5180
1514516651,5185,5185
1514517127,5181,5181
1514517608,5175,5175
1514518088,5174,5174
1514518569,5179,5179
1514519050,5176,5176
1514519525,5176,5176
1514520021,5178,5178
1514520489,5183,5183
1514520972,5173,5173
1514521446,5183,5183
1514521931,5173,5173
1514522650,5179,5179
1514523125,5177,5177
1514523617,5179,5179
1514524087,5178,5178
1514524572,5171,5171
1514525051,5181,5181
1514525526,5174,5174
1514526247,5173,5173
1514526965,5181,5181
1514527447,5172,5172
1514527925,5171,5171
1514528411,5171,5171
1514528889,5173,5173
1514529390,5173,5173
1514529847,5173,5173
1514530326,5171,5171
1514530818,5170,5170
1514531285,5171,5171
1514531764,5176,5176
1514532248,5167,5167
1514532734,5179,5179
1514533211,5170,5170
1514533689,5175,5175
1514534167,5171,5171
1514534649,5173,5173
1514535366,5183,5183
1514535848,5177,5177
1514536327,5176,5176
1514536808,5180,5180
1514537290,5181,5181
1514537765,5188,5188
1514538494,5182,5182
1514539452,5182,5182
1514540414,5185,5185
1514540891,5183,5183
1514541364,5186,5186
1514542087,5178,5178
1514542572,5184,5184
1514543045,5182,5182
1514543532,5179,5179
1514544004,5185,5185
1514544491,5178,5178
1514544966,5185,5185
1514545450,5181,5181
1514545931,5186,5186
1514546409,5181,5181
1514546888,5179,5179
1514547367,5181,5181
1514547849,5182,5182
1514548326,5183,5183
1514548818,5181,5181
1514549286,5182,5182
1514550024,5180,5180
1514550488,5183,5183
1514550966,5181,5181
1514551446,5183,5183
1514551928,5182,5182
1514552425,5181,5181
1514552887,5183,5183
1514553369,5181,5181
1514554091,5188,5188
1514554567,5179,5179
1514555047,5185,5185
1514555766,5182,5182
1514556252,5185,5185
1514556731,5180,5180
1514557205,5186,5186
1514557688,5182,5182
1514558165,5183,5183
1514558649,5187,5187
1514559128,5181,5181
1514559615,5183,5183
1514560087,5180,5180
1514560568,5179,5179
1514561047,5182,5182
1514561526,5181,5181
1514562492,5182,5182
1514562965,5181,5181
1514563447,5181,5181
1514563959,5180,5180
1514564411,5179,5179
1514564886,5182,5182
1514565370,5181,5181
1514565846,5182,5182
1514566326,5181,5181
1514566821,5183,5183
1514567290,5181,5181
1514567767,5178,5178
1514568249,5181,5181
1514568726,5182,5182
1514569449,5183,5183
1514569925,5182,5182
1514570651,5180,5180
1514571128,5186,5186
1514571607,5180,5180
1514572088,5179,5179
1514572564,5181,5181
1514573290,5187,5187
1514573766,5181,5181
1514574249,5182,5182
1514574726,5181,5181
1514575209,5182,5182
1514575686,5183,5183
1514576169,5183,5183
1514576886,5183,5183
1514577371,5183,5183
1514577845,5187,5187
1514578569,5183,5183
1514579288,5183,5183
1514579769,5180,5180
1514580248,5186,5186
1514580966,5180,5180
1514581689,5185,5185
1514582174,5180,5180
1514582644,5188,5188
1514583131,5181,5181
1514583604,5179,5179
1514584092,5185,5185
1514584810,5181,5181
1514585287,5181,5181
1514585768,5181,5181
1514586247,5184,5184
1514586727,5182,5182
1514587207,5188,5188
1514587697,5181,5181
1514588171,5179,5179
1514588888,5183,5183
1514589365,5179,5179
1514589849,5180,5180
1514590332,5179,5179
1514591046,5187,5187
1514591524,5184,5184
1514592013,5182,5182
1514592490,5182,5182
1514592967,5183,5183
1514593447,5186,5186
1514593930,5181,5181
1514594407,5186,5186
1514594891,5180,5180
1514595364,5182,5182
1514595851,5181,5181
1514596573,5174,5174
1514597044,5175,5175
1514597530,5174,5174
1514598005,5173,5173
1514598491,5176,5176
1514598965,5176,5176
1514599450,5176,5176
1514599925,5176,5176
1514600412,5178,5178
1514600888,5179,5179
1514601368,5178,5178
1514601848,5179,5179
1514602330,5175,5175
1514602819,5183,5183
1514603285,5175,5175
1514603766,5185,5185
1514604249,5180,5180
1514604728,5180,5180
1514605205,5176,5176
1514605689,5178,5178
1514606168,5181,5181
1514606648,5181,5181
1514607128,5181,5181
1514607605,5177,5177
1514608087,5177,5177
1514608567,5180,5180
1514609044,5175,5175
1514609524,5175,5175
1514610022,5181,5181
1514610491,5176,5176
1514610964,5174,5174
1514611449,5179,5179
1514611934,5179,5179
1514612405,5182,5182
1514612888,5175,5175
1514613365,5178,5178
1514613853,5178,5178
1514614329,5180,5180
1514614805,5181,5181
1514615288,5182,5182
1514615769,5180,5180
1514616247,5184,5184
1514616724,5177,5177
1514617212,5192,5192
1514617688,5180,5180
1514618171,5186,5186
1514618645,5189,5189
1514619130,5176,5176
1514619607,5177,5177
1514620088,5181,5181
1514620566,5179,5179
1514621059,5182,5182
1514621526,5182,5182
1514622009,5182,5182
1514622485,5181,5181
1514622966,5184,5184
1514623447,5188,5188
1514623933,5189,5189
1514624414,5187,5187
1514624888,5190,5190
1514625368,5187,5187
1514625849,5183,5183
1514626326,5191,5191
1514626806,5186,5186
1514627290,5184,5184
1514627764,5186,5186
1514628246,5188,5188
1514628727,5189,5189
1514629209,5187,5187
1514629689,5185,5185
1514630166,5188,5188
1514630648,5187,5187
1514631131,5186,5186
1514631625,5187,5187
1514632088,5183,5183
1514632569,5189,5189
1514633046,5186,5186
1514633533,5184,5184
1514634005,5187,5187
1514634489,5188,5188
1514634967,5185,5185
1514635448,5184,5184
1514636167,5185,5185
1514636659,5184,5184
1514637131,5186,5186
1514637606,5186,5186
1514638107,5187,5187
1514638812,5189,5189
1514639527,5184,5184
1514640005,5182,5182
1514640487,5187,5187
1514640972,5184,5184
1514641449,5183,5183
1514641924,5186,5186
1514642651,5185,5185
1514643369,5184,5184
1514643845,5187,5187
1514644328,5184,5184
1514644808,5186,5186
1514645291,5184,5184
1514645768,5183,5183
1514646487,5184,5184
1514647205,5183,5183
1514647689,5185,5185
1514648166,5188,5188
1514648650,5187,5187
1514649849,5183,5183
1514650569,5187,5187
1514651049,5186,5186
1514651526,5185,5185
1514652005,5184,5184
1514652492,5183,5183
1514652965,5187,5187
1514653448,5184,5184
1514654165,5185,5185
1514654651,5184,5184
1514655125,5186,5186
1514655605,5187,5187
1514656325,5189,5189
1514656818,5187,5187
1514657285,5184,5184
1514658244,5184,5184
1514658732,5185,5185
1514659205,5190,5190
1514659689,5184,5184
1514660165,5184,5184
1514660890,5181,5181
1514661366,5184,5184
1514661850,5186,5186
1514662330,5185,5185
1514662808,5188,5188
1514663285,5189,5189
1514664012,5189,5189
1514664487,5189,5189
1514664972,5185,5185
1514665446,5188,5188
1514665932,5186,5186
1514666405,5184,5184
1514666887,5188,5188
1514667368,5188,5188
1514667848,5185,5185
1514668329,5187,5187
1514668813,5185,5185
1514669289,5189,5189
1514669768,5186,5186
1514670246,5184,5184
1514670726,5187,5187
1514671451,5185,5185
1514671992,5186,5186
1514672405,5184,5184
1514672890,5192,5192
1514673367,5189,5189
1514673850,5193,5193
1514674325,5191,5191
1514674822,5190,5190
1514675292,5190,5190
1514675770,5190,5190
1514676246,5194,5194
1514676731,5193,5193
1514677206,5190,5190
1514677687,5190,5190
1514678165,5192,5192
1514678655,5191,5191
1514679125,5193,5193
1514679608,5194,5194
1514680087,5192,5192
1514680570,5190,5190
1514681045,5194,5194
1514682015,5193,5193
1514682489,5186,5186
1514682969,5190,5190
1514683447,5188,5188
1514683930,5187,5187
1514684406,5182,5182
1514684884,5185,5185
1514685366,5185,5185
1514685846,5187,5187
1514686330,5188,5188
1514686805,5190,5190
1514687532,5189,5189
1514688006,5194,5194
1514688489,5193,5193
1514688968,5192,5192
1514689929,5194,5194
1514690413,5193,5193
1514690886,5194,5194
1514691370,5187,5187
1514691845,5194,5194
1514692333,5190,5190
1514692813,5191,5191
1514693526,5193,5193
1514694010,5190,5190
1514694486,5194,5194
1514695206,5194,5194
1514695925,5194,5194
1514696418,5191,5191
1514696888,5192,5192
1514697371,5192,5192
1514697845,5191,5191
1514698329,5193,5193
1514698805,5193,5193
1514699289,5193,5193
1514699764,5192,5192
1514700250,5193,5193
1514700727,5190,5190
1514701211,5188,5188
1514701690,5194,5194
1514702168,5191,5191
1514702647,5194,5194
1514703368,5190,5190
1514703852,5193,5193
1514704328,5190,5190
1514704808,5193,5193
1514705289,5194,5194
1514705766,5191,5191
1514706248,5194,5194
1514707214,5192,5192
1514707689,5190,5190
1514708168,5194,5194
1514708649,5192,5192
1514709127,5194,5194
1514709606,5194,5194
1514710566,5193,5193
1514711049,5194,5194
1514711525,5194,5194
1514712073,5191,5191
1514712490,5194,5194
1514712966,5191,5191
1514713450,5192,5192
1514713927,5193,5193
1514714417,5191,5191
1514714887,5191,5191
1514715370,5194,5194
1514716392,5189,5189
1514716805,5191,5191
1514717288,5194,5194
1514717771,5193,5193
1514718247,5190,5190
1514718731,5191,5191
1514719211,5186,5186
