DateTime,Entries,UniqueIPs
1513636805,98,98
1513637286,100,100
1513637766,97,97
1513638250,99,99
1513638726,98,98
1513639210,98,98
1513639691,96,96
1513640166,98,98
1513640646,97,97
1513641126,98,98
1513641612,98,98
1513642087,98,98
1513642569,100,100
1513644005,98,98
1513644484,99,99
1513644966,98,98
1513645452,98,98
1513645926,97,97
1513646407,98,98
1513647372,96,96
1513647850,96,96
1513648324,93,93
1513648818,92,92
1513649771,92,92
1513650245,91,91
1513650730,90,90
1513651209,90,90
1513651691,91,91
1513652650,90,90
1513653131,86,86
1513653606,86,86
1513654088,82,82
1513654565,80,80
1513655048,81,81
1513655529,78,78
1513656017,77,77
1513656488,75,75
1513656969,76,76
1513657446,72,72
1513657925,72,72
1513658406,70,70
1513658891,70,70
1513659366,67,67
1513659847,65,65
1513660324,73,73
1513660810,71,71
1513661291,72,72
1513665126,71,71
1513665846,72,72
1513666326,67,67
1513666814,68,68
1513667291,67,67
1513667773,67,67
1513668245,67,67
1513668968,67,67
1513669690,68,68
1513670165,67,67
1513670650,67,67
1513671130,68,68
1513672088,68,68
1513672569,68,68
1513673050,67,67
1513674019,69,69
1513674966,67,67
1513675446,67,67
1513675927,69,69
1513676406,68,68
1513676894,67,67
1513677365,67,67
1513677854,69,69
1513678812,67,67
1513679287,68,68
1513679770,69,69
1513680247,67,67
1513680730,67,67
1513681217,68,68
1513681686,67,67
1513682164,67,67
1513682648,67,67
1513683129,67,67
1513683606,67,67
1513684091,68,68
1513685287,66,66
1513685766,68,68
1513686729,69,69
1513687210,68,68
1513687686,68,68
1513688412,69,69
1513689130,69,69
1513689605,70,70
1513690084,69,69
1513690569,70,70
1513691047,71,71
1513691526,70,70
1513692251,70,70
1513692970,70,70
1513693927,69,69
1513694407,69,69
1513694890,69,69
1513695365,69,69
1513695849,70,70
1513696332,70,70
1513696806,69,69
1513697289,70,70
1513697766,69,69
1513698251,69,69
1513698725,70,70
1513699219,69,69
1513699689,68,68
1513700171,69,69
1513700647,71,71
1513701130,74,74
1513704485,73,73
1513704969,70,70
1513705933,73,73
1513710019,72,72
1513710486,73,73
1513711933,72,72
1513712409,78,78
1513712886,75,75
1513713369,78,78
1513714807,74,74
1513715292,76,76
1513716007,76,76
1513716490,75,75
1513716966,71,71
1513717687,75,75
1513718172,76,76
1513718646,74,74
1513719133,73,73
1513719849,75,75
1513720326,72,72
1513721291,73,73
1513721766,74,74
1513722247,73,73
1513722730,75,75
1513723444,74,74
1513723930,72,72
1513724412,71,71
1513725127,72,72
1513725849,72,72
1513726329,75,75
1513727530,72,72
1513728021,72,72
1513728486,74,74
1513728970,75,75
1513729445,75,75
1513729930,74,74
1513730407,75,75
1513730888,76,76
1513731364,73,73
1513731849,70,70
1513732331,73,73
1513732806,73,73
1513733289,69,69
1513733767,76,76
1513734250,75,75
1513734729,72,72
1513735220,74,74
1513735687,75,75
1513736172,76,76
1513736644,73,73
1513737127,72,72
1513737605,74,74
1513738091,72,72
1513738568,70,70
1513739051,72,72
1513740007,72,72
1513740486,73,73
1513740971,75,75
1513741930,72,72
1513742419,68,68
1513742887,73,73
1513743370,72,72
1513743853,70,70
1513744329,70,70
1513744805,70,70
1513745289,70,70
1513745771,72,72
1513746249,72,72
1513746729,71,71
1513747206,78,78
1513748166,78,78
1513749126,79,79
1513752005,75,75
1513752486,73,73
1513752966,76,76
1513753448,74,74
1513753931,74,74
1513754406,75,75
1513754886,75,75
1513755609,72,72
1513756091,74,74
1513756566,76,76
1513757048,75,75
1513757527,73,73
1513758009,71,71
1513758489,75,75
1513758967,75,75
1513759448,75,75
1513761066,73,73
1513761849,75,75
1513762571,73,73
1513763045,71,71
1513763525,76,76
1513764026,75,75
1513764490,72,72
1513764994,75,75
1513765444,73,73
1513765932,74,74
1513766645,75,75
1513767129,75,75
1513767617,76,76
1513768087,74,74
1513768565,76,76
1513769047,77,77
1513769531,76,76
1513770007,76,76
1513770487,75,75
1513770967,76,76
