DateTime,AddedIPs,RemovedIPs
1503921329,54,93
1503936476,17,0
1503960592,55,89
1503983380,13,0
1504006837,48,100
1504023535,11,38
1504044762,56,68
1504069437,22,0
1504094779,51,89
1504109638,25,0
1504131125,44,38
1504156802,16,64
1504178623,63,32
1504196588,25,48
1504218327,53,89
1504242364,16,0
1504267661,53,24
1504282016,18,40
1504308087,67,30
1504329451,28,90
1504350918,50,0
1504368926,17,42
1504391189,65,37
1504415158,16,63
1504439283,57,0
1504455290,59,78
1504476547,90,43
1504501656,47,0
1504525655,50,72
1504541154,54,26
1504566379,78,0
1504588467,66,75
1504609163,47,0
1504627809,16,46
1504649912,41,21
1504674783,13,81
1504696029,48,0
1504714544,52,61
1504736926,87,0
1504760501,60,70
1504784738,60,44
1504800569,28,27
1504822940,65,0
1504847755,66,47
1504869490,56,27
1504887164,41,87
1504909429,65,0
1504933694,60,80
1504957588,52,48
1504973326,22,0
1504973948,5,34
1505020136,54,69
1505044749,42,83
1505060685,19,54
1505106407,62,78
1505131950,61,42
1505146357,25,75
1505168893,46,50
1505192722,51,103
1505216798,51,47
1505232819,20,9
1505254861,49,46
1505279446,17,30
1505304168,55,79
1505319335,13,0
1505341667,59,149
1505365421,13,29
1505388853,58,0
1505405666,35,82
1505427232,77,92
1505452094,61,28
1505476645,63,73
1505491664,21,0
1505515857,49,125
1505538896,67,0
1505559878,48,20
1505577944,12,54
1505602593,53,57
1505624880,67,0
1505649212,48,27
1505664531,17,49
1505689805,49,66
1505711867,55,30
1505733024,65,0
1505750561,20,46
1505775966,51,111
1505797884,56,0
1505818051,64,25
1505837058,14,47
1505860367,45,71
1505884015,54,16
1505908328,48,0
1505923865,19,68
1505945511,52,48
1505970345,22,0
1505994453,59,77
1506010411,16,48
1506032116,48,79
1506056403,37,0
1506079665,57,35
1506096091,18,72
1506121021,60,0
1506143219,55,84
1506166921,51,68
1506182729,17,18
1506206841,56,0
1506229673,43,80
1506252615,45,20
1506268988,14,45
1506292295,62,23
1506316332,24,127
1506336569,54,0
1506355596,20,47
1506379669,59,29
1506402585,21,80
1506425642,54,78
1506442416,22,21
1506464652,49,0
1506489081,22,89
1506509894,59,25
1506528593,19,43
1506552243,53,79
1506575231,50,0
1506598812,45,78
1506615102,19,0
1506636786,55,29
1506661811,19,82
1506685006,54,43
1506701334,17,29
1506725239,54,81
1506748486,18,0
1506769136,46,28
1506788173,22,47
1506810485,69,21
1506834073,24,94
1506857946,54,50
1506874198,36,28
1506898868,47,43
1506921380,10,0
1506942226,44,86
1506961008,17,30
1506982687,61,0
1507007480,16,71
1507028728,52,0
1507047855,26,82
1507070475,59,42
1507093295,18,0
1507117371,43,78
1507133317,20,27
1507157752,57,0
1507180201,30,87
1507205124,48,30
1507219457,42,0
1507244228,79,76
1507266524,25,0
1507290867,43,73
1507306328,35,32
1507329450,77,0
1507352552,27,69
1507377596,58,54
1507392753,40,0
1507416071,64,86
1507439582,41,23
1507462250,51,0
1507478925,20,43
1507505645,59,67
1507526062,51,16
1507548418,45,0
1507565471,27,90
1507588955,70,44
1507612430,43,24
1507634490,53,49
1507651569,21,0
1507677137,45,86
1507698488,39,15
1507723351,46,51
1507738528,30,0
1507761210,57,97
1507784769,61,18
1507809242,54,0
1507824332,26,60
1507850053,46,40
1507871008,51,76
1507895200,52,0
1507910600,15,68
1507935404,52,100
1507957957,57,0
1507978809,56,24
1507996976,15,110
1508021336,54,0
1508044283,45,67
1508064816,49,25
1508083228,13,53
1508108194,50,29
1508130603,52,74
1508148621,52,24
1508170315,16,61
1508188238,54,35
1508217185,52,61
1508234805,67,21
1508256691,19,50
1508275141,64,24
1508303348,31,101
1508324452,63,0
1508343266,33,83
1508361442,54,0
