DateTime,Entries,UniqueIPs
1503921329,1569,1577
1503936476,1586,1594
1503960592,1552,1560
1503983380,1565,1573
1504006837,1512,1521
1504023535,1486,1494
1504044762,1473,1482
1504069437,1495,1504
1504094779,1457,1466
1504109638,1482,1491
1504131125,1488,1497
1504156802,1440,1449
1504178623,1470,1480
1504196588,1448,1457
1504218327,1412,1421
1504242364,1428,1437
1504267661,1456,1466
1504282016,1434,1444
1504308087,1471,1481
1504329451,1411,1419
1504350918,1461,1469
1504368926,1437,1444
1504391189,1465,1472
1504415158,1418,1425
1504439283,1475,1482
1504455290,1457,1463
1504476547,1504,1510
1504501656,1551,1557
1504525655,1529,1535
1504541154,1558,1563
1504566379,1635,1641
1504588467,1627,1632
1504609163,1673,1679
1504627809,1643,1649
1504649912,1662,1669
1504674783,1595,1601
1504696029,1643,1649
1504714544,1634,1640
1504736926,1721,1727
1504760501,1710,1717
1504784738,1727,1733
1504800569,1727,1734
1504822940,1791,1799
1504847755,1812,1818
1504869490,1840,1847
1504887164,1794,1801
1504909429,1859,1866
1504933694,1839,1846
1504957588,1844,1850
1504973326,1866,1872
1504973948,1838,1843
1505020136,1824,1828
1505044749,1783,1787
1505060685,1748,1752
1505106407,1731,1736
1505131950,1748,1755
1505146357,1697,1705
1505168893,1694,1701
1505192722,1642,1649
1505216798,1646,1653
1505232819,1657,1664
1505254861,1659,1667
1505279446,1646,1654
1505304168,1622,1630
1505319335,1635,1643
1505341667,1546,1553
1505365421,1530,1537
1505388853,1588,1595
1505405666,1541,1548
1505427232,1526,1533
1505452094,1558,1566
1505476645,1550,1556
1505491664,1571,1577
1505515857,1495,1501
1505538896,1562,1568
1505559878,1590,1596
1505577944,1548,1554
1505602593,1544,1550
1505624880,1611,1617
1505649212,1633,1638
1505664531,1601,1606
1505689805,1584,1589
1505711867,1609,1614
1505733024,1674,1679
1505750561,1648,1653
1505775966,1588,1593
1505797884,1644,1649
1505818051,1682,1688
1505837058,1649,1655
1505860367,1623,1629
1505884015,1661,1667
1505908328,1709,1715
1505923865,1660,1666
1505945511,1664,1670
1505970345,1686,1692
1505994453,1667,1674
1506010411,1636,1642
1506032116,1603,1611
1506056403,1640,1648
1506079665,1661,1670
1506096091,1607,1616
1506121021,1667,1676
1506143219,1637,1647
1506166921,1620,1630
1506182729,1619,1629
1506206841,1674,1685
1506229673,1637,1648
1506252615,1662,1673
1506268988,1631,1642
1506292295,1669,1681
1506316332,1570,1578
1506336569,1624,1632
1506355596,1598,1605
1506379669,1626,1635
1506402585,1566,1576
1506425642,1541,1552
1506442416,1542,1553
1506464652,1591,1602
1506489081,1524,1535
1506509894,1558,1569
1506528593,1534,1545
1506552243,1507,1519
1506575231,1556,1569
1506598812,1523,1536
1506615102,1542,1555
1506636786,1568,1581
1506661811,1506,1518
1506685006,1517,1529
