DateTime,Entries,UniqueIPs
1514358122,1856,1946
1514358722,1856,1946
1514359322,1860,1952
1514359922,1862,1954
1514360521,1852,1944
1514361122,1857,1949
1514361721,1828,1920
1514362321,1832,1924
1514362922,1843,1937
1514363521,1846,1940
1514364122,1845,1939
1514364722,1854,1948
1514365322,1856,1950
1514365922,1858,1952
1514366521,1853,1947
1514367122,1854,1946
1514368321,1855,1947
1514368921,1856,1948
1514370122,1849,1941
1514370722,1850,1942
1514371921,1864,1960
1514372521,1859,1956
1514373121,1858,1955
1514373721,1871,1970
1514374322,1873,1974
1514374922,1874,1975
1514375522,1862,1964
1514376121,1867,1969
1514376721,1879,1982
1514377322,1887,1992
1514377922,1888,1993
1514378521,1889,1996
1514379721,1901,2010
1514380322,1901,2010
1514380922,1909,2021
1514382121,1916,2036
1514382722,1914,2034
1514383321,1905,2025
1514383921,1911,2039
1514384522,1914,2043
1514385122,1906,2034
1514385722,1913,2052
1514386321,1915,2056
1514386921,1920,2064
1514387521,1924,2074
1514388121,1926,2075
1514388722,1929,2079
1514389322,1932,2080
1514389921,1937,2085
1514390522,1934,2082
1514391121,1939,2088
1514391722,1941,2090
1514392322,1942,2092
1514392922,1951,2101
1514394121,1932,2082
1514394722,1937,2087
1514395322,1938,2087
1514395922,1941,2090
1514396522,1944,2097
1514397721,1926,2079
1514398322,1928,2081
1514398921,1925,2079
1514399522,1929,2083
1514400122,1930,2084
1514400722,1933,2088
1514401322,1930,2085
1514401922,1928,2083
1514402521,1929,2084
1514403721,1917,2072
1514404322,1902,2057
1514404921,1910,2065
1514406122,1911,2068
1514406721,1921,2078
1514407321,1926,2083
1514407922,1930,2088
1514408521,1923,2081
1514409121,1908,2074
1514409722,1909,2075
1514410321,1906,2072
1514410922,1911,2077
1514411522,1910,2076
1514412121,1912,2077
1514413321,1912,2077
1514414522,1907,2069
1514415121,1909,2071
1514415721,1910,2072
1514416322,1875,2037
1514416921,1876,2038
1514418122,1864,2022
1514418721,1855,2013
1514419322,1858,2016
1514419922,1865,2023
1514420524,1872,2030
1514421122,1872,2030
1514422922,1865,2023
1514423521,1868,2027
1514424122,1863,2022
1514424721,1868,2027
1514425322,1842,1999
1514425921,1851,2010
1514426521,1850,2009
1514427121,1854,2013
1514427722,1854,2013
1514428921,1855,2014
1514430121,1849,2008
1514431321,1847,2006
1514431922,1836,1995
1514432522,1839,1998
1514433122,1822,1980
1514433721,1825,1983
1514434322,1820,1978
1514434921,1815,1973
1514436122,1818,1976
1514436721,1814,1972
1514437322,1818,1976
1514438522,1820,1978
1514439121,1821,1979
1514439721,1822,1980
1514440922,1816,1974
1514442122,1823,1980
1514442722,1813,1967
1514443322,1815,1969
1514444522,1813,1967
1514445122,1821,1975
1514445721,1820,1979
1514446322,1811,1976
1514446922,1814,1982
1514447522,1818,1993
1514448121,1818,1995
1514448722,1817,1998
1514449322,1817,1998
1514449921,1815,1997
1514450521,1813,1995
1514451122,1816,2002
1514451722,1806,1996
1514452921,1808,1998
1514454122,1803,1995
1514454722,1804,1998
1514455322,1794,2031
1514455922,1794,2036
1514456521,1801,2063
1514457721,1801,2066
1514458322,1803,2068
1514458922,1794,2074
1514459521,1792,2088
1514460122,1791,2077
1514460721,1791,2077
1514461322,1796,2096
1514461922,1794,2098
1514462522,1779,2082
1514463121,1785,2085
1514463721,1784,2093
1514464321,1782,2091
1514464921,1789,2108
1514465522,1782,2111
1514466122,1783,2112
1514466722,1787,2112
