DateTime,AddedIPs,RemovedIPs
1514305322,5,0
1514306522,1,0
1514307721,2,0
1514308322,2,0
1514308922,2,0
1514310121,5,1
1514310721,3,0
1514311321,1,2
1514311922,1,0
1514312522,1,0
1514313722,1,3
1514314322,2,2
1514314922,1,1
1514315522,1,0
1514316121,1,0
1514316722,7,0
1514317922,2,0
1514319122,2,0
1514319721,1,0
1514320322,2,0
1514320922,2,5
1514321522,1,0
1514322121,2,1
1514322721,4,0
1514323321,14,1
1514324522,10,0
1514325122,2,0
1514325722,7,20
1514326922,2,0
1514327521,4,0
1514328122,2,0
1514329322,26,1
1514330522,2,0
1514331122,3,1
1514332322,6,0
1514333522,12,2
1514334721,7,3
1514336522,3,1
1514337122,3,0
1514337722,2,0
1514338323,4,2
1514339521,5,0
1514340721,4,2
1514341322,0,4
1514342521,1,0
1514343122,3,0
1514343721,5,0
1514344321,5,0
1514344921,0,3
1514345521,5,2
1514346122,3,1
1514347921,0,8
1514348521,2,7
1514349121,1,0
1514350322,0,10
1514350922,0,1
1514353922,0,1
1514354522,2,4
1514355122,6,0
1514355722,5,0
1514356321,1,5
1514356921,3,3
1514357521,1,7
1514358122,4,1
1514358722,3,0
1514359322,2,1
1514359922,2,0
1514360521,5,1
1514361122,3,0
1514361721,0,6
1514362321,0,1
1514362922,13,0
1514364122,1,2
1514364722,8,1
1514365322,1,6
1514367122,2,6
1514368321,0,4
1514368921,0,1
1514370122,1,2
1514370722,1,1
1514371921,19,12
1514372521,1,2
1514373721,14,4
1514374322,4,0
1514374922,0,5
1514375522,8,0
1514376121,2,0
1514376721,11,1
1514377322,12,2
1514377922,1,1
1514378521,8,0
1514379721,13,2
1514380322,4,11
1514380922,9,0
1514382121,15,0
1514382722,5,0
1514383321,2,0
1514383921,14,0
1514384522,4,0
1514385122,0,2
1514385722,21,0
1514386321,4,0
1514386921,12,0
1514387521,8,6
1514388121,3,2
1514388722,2,0
1514389322,3,0
1514389921,2,0
1514391121,2,0
1514391722,2,0
1514392322,5,1
1514392922,3,0
1514394121,3,0
1514394722,5,0
1514395322,4,0
1514395922,1,0
1514396522,4,0
1514397721,0,1
1514398322,1,1
1514398921,2,0
1514399522,1,0
1514400122,2,0
1514400722,2,4
1514401322,4,27
1514401922,0,1
1514402521,1,0
1514403721,0,3
1514404921,2,0
1514406122,2,1
1514406721,9,0
1514407321,5,14
1514407922,5,0
1514408521,1,1
1514409121,8,0
1514409722,3,2
1514410922,2,0
1514411522,1,5
1514412121,3,0
1514414522,2,2
1514415121,2,0
1514415721,0,1
1514418122,0,1
1514418721,1,2
1514419322,1,8
1514419922,1,0
1514420524,1,1
1514421122,1,1
1514421722,0,1
1514422922,0,3
1514423521,1,0
1514424721,5,0
1514425921,9,1
1514427121,2,0
1514427722,1,2
1514430121,1,2
1514431321,2,1
1514431922,4,6
1514432522,1,0
1514433122,1,2
1514433721,1,0
1514436122,2,4
1514436721,2,1
1514437322,2,1
1514437922,0,1
1514438522,1,0
1514439121,5,0
1514439721,2,1
1514440922,1,4
1514442122,6,1
1514442722,0,4
1514443322,2,0
1514445122,4,0
1514445721,3,0
1514446322,14,0
1514446922,4,0
1514447522,12,0
1514448121,2,0
1514448722,7,0
1514449322,2,6
1514450521,3,5
1514451122,4,0
1514451722,3,4
1514452921,4,3
1514454122,3,0
1514454722,3,0
1514455322,45,7
1514455922,5,0
1514456521,27,0
1514457721,3,1
1514458322,3,0
1514458922,12,0
1514459521,11,0
1514460122,3,7
1514460721,1,5
1514461322,16,0
1514461922,1,1
1514462522,3,1
1514463121,5,0
1514463721,6,0
1514464321,8,1
1514464921,8,0
1514465522,7,3
1514467321,1,0
1514467922,1,8
1514468522,0,1
1514469721,2,4
1514470921,3,0
1514472121,4,3
1514473322,3,0
1514474521,3,2
1514475722,3,10
1514476322,4,0
1514476922,1,0
1514478122,0,2
