DateTime,AddedIPs,RemovedIPs
1506057306,0,1
1506065407,0,1
1506069906,0,1
1506084307,1,0
1506087007,0,1
1506093307,1,0
1506101406,0,1
1506105907,0,1
1506111307,0,1
1506153608,1,0
1506156308,2,0
1506183307,1,0
1506188707,3,1
1506193206,0,1
1506198607,2,0
1506202207,0,1
1506212108,0,1
1506222006,0,1
1506237308,1,0
1506242708,1,0
1506267009,0,1
1506318305,1,0
1506352508,1,0
1506354308,1,0
1506356108,1,0
1506357908,1,0
1506364207,0,1
1506423609,3,0
1506438007,0,1
1506511807,1,0
1506515407,1,0
1506531608,1,0
1506537908,1,0
1506539706,1,0
1506554106,1,0
1506566708,1,0
1506578409,0,1
1506594608,1,0
1506600908,2,0
1506607208,1,0
1506617107,1,0
1506663907,0,1
1506672008,2,0
1506675607,0,1
1506677410,1,2
1506679208,0,1
1506681012,0,1
1506683709,1,0
1506686407,2,0
1506690908,0,3
1506701707,0,1
1506703506,0,1
1506706206,0,1
1506716107,0,1
1506735908,0,1
1506781808,1,0
1506802510,0,1
1506804307,1,0
1506840307,1,0
1506843907,1,0
1506850211,1,0
1506862808,0,1
1506929408,1,0
1506933909,2,0
1506975307,1,0
1506977107,1,0
1507074304,0,1
1507086903,0,1
1507109407,2,0
1507126508,1,0
1507157107,0,1
1507178708,1,0
1507198507,1,0
1507200307,3,0
1507216513,4,0
1507224609,1,0
1507233608,0,2
1507267808,1,0
1507271408,0,1
1507275908,1,0
1507297508,4,0
1507302907,1,0
1507303809,0,1
1507315506,1,0
1507329909,1,0
1507339808,1,0
1507345208,0,1
1507346109,1,0
1507356909,0,1
1507363208,1,0
1507373108,0,1
1507375809,1,0
1507376706,1,0
1507378509,2,0
1507380308,1,0
1507381209,2,0
1507383007,2,0
1507387508,4,1
1507395608,0,2
1507402808,1,0
1507415406,1,0
1507449607,0,1
1507491910,0,1
1507520709,1,0
1507534208,2,0
1507536008,2,0
1507551308,1,0
1507556709,1,0
1507797009,0,2
1507875308,0,2
1507887009,2,0
1507896005,0,1
1508054407,2,0
1508091307,0,4
1508147108,0,1
1508155208,1,0
1508210106,0,1
1508248807,2,1
1508253306,0,1
1508255106,1,0
1508260506,0,1
1508304613,0,1
1508308205,0,2
1508326206,0,1
1508332507,1,0
1508343305,0,1
1508357705,0,1
1508359507,2,0
1508364007,0,1
1508388306,0,1
1508396405,0,1
1508425206,2,0
1508442309,0,1
1508473807,1,0
1508485505,0,1
1508497207,2,0
1508500807,1,0
1508507105,0,1
1508508906,1,0
1508515206,0,1
1508528707,0,2
1508538609,0,1
1508554806,0,2
1508556606,0,1
1508574609,3,0
1508578207,1,0
1508580008,0,1
1508587207,1,0
1508598906,0,1
1508600706,0,1
1508620504,0,1
1508622305,0,1
1508675407,0,1
1508719505,0,1
1508724006,1,0
1508737506,0,1
1508747405,0,1
1508748307,1,0
1508776205,0,1
1508777105,0,1
1508790605,0,2
1508806806,0,1
1508830206,1,0
1508852706,1,0
1508854506,1,0
1508856308,1,0
1508858106,1,2
1508861706,0,3
1508883305,0,1
1508908507,1,0
1508910305,0,1
1508943606,1,0
1508947206,0,1
1508949005,0,1
1509000306,0,3
1509073205,0,1
1509100206,2,0
1509101107,1,0
1509104706,1,1
1509107406,0,1
1509109206,0,1
1509112807,2,0
1509114606,1,0
1509123606,0,1
1509131705,0,1
1509145206,0,1
1509151506,0,1
1509154206,0,1
1509158705,0,1
1509186606,0,1
1509189307,1,0
1509193805,0,3
1509199204,0,1
1509209107,0,1
1509215406,1,0
1509218105,2,0
1509219906,1,0
1509247805,0,1
1509263104,0,1
1509269406,1,0
1509271205,4,0
1509278406,1,0
1509322509,1,0
1509330605,1,0
1509335105,1,0
1509350406,3,0
1509354006,0,1
1509365706,1,0
1509379205,1,0
1509381906,0,1
1509395406,0,1
1509428707,0,1
1509432306,0,1
1509442205,0,1
1509445807,2,0
1509448505,1,0
1509458405,1,0
1509502505,0,1
1509503405,0,1
1509512405,1,0
1509540307,1,0
1509543006,1,1
1509548406,1,0
1509549308,1,0
1509565506,0,1
1509569106,0,1
1509570006,1,0
1509582606,1,0
1509583506,0,5
1509600607,1,0
1509624905,1,0
1509690606,2,0
1509701411,0,2
1509709508,3,0
1509712206,1,0
1509737406,0,1
1509749106,0,1
1509770706,0,3
1509794105,0,1
1509795906,2,0
1509796806,3,0
1509802206,0,2
1509806705,0,1
1509808506,0,1
1509815706,0,3
1509834606,1,0
1509847206,0,1
1509860707,0,1
1509873305,0,1
1509877807,2,0
1509879606,2,0
1509889505,0,1
1509901206,1,0
