DateTime,AddedIPs,RemovedIPs
1514218922,0,7
1514220121,5,5
1514221321,3,3
1514223722,12,1
1514224321,0,3
1514225521,0,3
1514226122,0,2
1514228521,0,2
1514229122,1,0
1514230322,2,3
1514230922,1,5
1514233321,2,5
1514233922,0,2
1514234522,3,6
1514235722,0,4
1514236922,32,12
1514238121,4,0
1514239321,0,10
1514239921,3,4
1514240521,1,4
1514241721,0,1
1514242921,1,6
1514244122,0,5
1514245322,2,1
1514246522,0,6
1514247722,2,7
1514248921,1,0
1514249522,1,9
1514250122,3,0
1514251321,27,4
1514252521,2,7
1514253122,1,0
1514253722,0,7
1514254322,1,0
1514254921,0,8
1514256122,1,9
1514256722,1,0
1514257322,5,0
1514258523,13,16
1514259722,2,12
1514260922,3,0
1514262122,2,8
1514263322,4,0
1514263921,0,8
1514264522,0,3
1514265721,0,4
1514266922,1,9
1514268122,19,0
1514268721,1,2
1514269921,0,3
1514270522,1,0
1514271721,4,3
1514272322,0,3
1514272921,7,3
1514274722,0,2
1514275321,0,2
1514275922,4,1
1514276521,1,0
1514277722,23,3
1514278321,1,0
1514278921,0,2
1514280721,1,5
1514281321,3,10
1514282522,1,1
1514283122,1,0
1514284321,3,11
1514284921,0,5
1514285521,1,0
1514286121,1,2
1514286722,0,4
1514287321,0,2
1514288522,0,5
1514289722,9,0
1514290921,5,7
1514292121,0,14
1514293322,1,6
1514294521,2,7
1514295722,12,11
1514296922,0,5
1514298122,1,9
1514299322,0,3
1514299922,4,0
1514300521,0,12
1514301721,15,0
1514302921,2,2
1514303522,0,4
1514304121,1,4
1514305322,0,1
1514306522,2,12
1514308322,2,0
1514308922,7,0
1514310121,1,3
1514310721,0,3
1514311321,0,2
1514313722,0,2
1514314322,0,3
1514314922,23,1
1514315522,8,0
1514316121,1,3
1514316722,0,1
1514317322,0,1
1514318522,2,3
1514319721,0,2
1514322121,1,2
1514323321,0,7
1514324522,2,3
1514325122,1,0
1514326321,5,0
1514327521,1,4
1514329322,1,7
1514332322,0,3
1514333522,4,7
1514334122,0,2
1514336522,1,7
1514337722,17,3
1514338323,3,0
1514338922,0,6
1514340721,1,1
1514341322,1,1
1514342521,2,3
1514343122,1,2
1514344921,0,2
1514345521,1,3
1514347322,16,1
1514347921,1,0
1514348521,1,6
1514349721,2,0
1514350322,0,2
1514352121,13,1
1514352722,0,2
1514353922,0,3
1514354522,0,4
1514356921,1,6
1514357521,0,1
1514358122,0,1
1514359322,2,0
1514360521,1,4
1514361721,4,1
1514362321,1,0
1514364121,0,12
1514364722,1,0
1514365322,0,6
1514365922,3,0
1514367122,0,6
1514367721,1,0
1514368321,1,3
1514368921,0,6
1514370122,1,8
1514370722,0,1
1514371322,0,7
1514372521,5,4
1514375522,2,7
1514376121,30,0
1514376721,0,4
1514377322,1,2
