DateTime,AddedIPs,RemovedIPs
1514342521,16,16
1514343122,6,6
1514343721,3,3
1514344921,6,6
1514345521,3,3
1514346122,4,4
1514347322,23,23
1514347921,3,3
1514348521,8,8
1514349721,3,3
1514350322,2,2
1514350922,5,5
1514352121,27,27
1514352722,4,4
1514353322,5,5
1514353922,4,4
1514354522,2,2
1514355722,5,5
1514356921,8,8
1514357521,8,8
1514358122,3,3
1514358722,3,3
1514359322,11,11
1514359922,4,4
1514360521,6,6
1514361721,8,8
1514362321,8,8
1514364121,5,5
1514364722,5,5
1514365322,2,2
1514365922,8,8
1514366521,3,3
1514367122,3,3
1514367721,4,4
1514368321,2,2
1514368921,2,2
1514370122,10,10
1514370722,2,2
1514371322,8,8
1514371921,4,4
1514372521,14,14
1514373721,4,4
1514374322,1,1
1514375522,6,6
1514376121,44,44
1514376721,8,8
1514377322,3,3
1514377922,6,6
1514378521,1,1
1514379121,5,5
1514379721,3,3
1514380322,2,2
1514380922,3,3
1514382121,4,4
1514382722,5,5
1514383321,2,2
1514383921,4,4
1514384522,4,4
1514385122,7,7
1514385722,5,5
1514386921,3,3
1514387521,3,3
1514388121,3,3
1514389322,5,5
1514389921,1,1
1514390522,9,9
1514391721,6,6
1514392322,1,1
1514392922,4,4
1514394121,16,16
1514394722,8,8
1514395321,3,3
1514395922,21,21
1514396521,6,6
1514397721,12,12
1514398322,5,5
1514398921,2,2
1514399522,3,3
1514401322,3,3
1514401922,12,12
1514402521,2,2
1514403721,7,7
1514404322,4,4
1514404921,6,6
1514406122,7,7
1514406721,5,5
1514407321,6,6
1514408521,15,15
1514409121,3,3
1514409722,4,4
1514410321,13,13
1514410922,10,10
1514411522,9,9
1514412121,4,4
1514413321,8,8
1514414522,7,7
1514415121,1,1
1514415721,6,6
1514416921,8,8
1514418122,5,5
1514419322,2,2
1514420524,4,4
1514421122,11,11
1514421722,2,2
1514422922,3,3
1514423521,6,6
1514424122,6,6
1514425322,26,26
1514425921,3,3
1514426521,4,4
1514427121,4,4
1514427722,5,5
1514428921,5,5
1514430121,1,1
1514431321,7,7
1514431921,3,3
1514432522,6,6
1514433121,13,13
1514433721,6,6
1514434921,11,11
1514436122,7,7
1514436721,3,3
1514437322,4,4
1514438522,25,25
1514439721,13,13
1514440921,4,4
1514441522,2,2
1514442122,6,6
1514442722,3,3
1514443322,3,3
1514444522,6,6
1514445721,12,12
1514446322,7,7
1514446922,4,4
1514447522,10,10
1514448121,3,3
1514448722,37,37
1514449322,5,5
1514450521,4,4
1514451722,9,9
1514452321,2,2
1514452921,10,10
1514454122,8,8
1514454722,3,3
1514455322,2,2
1514455922,9,9
1514456521,3,3
1514457721,36,36
1514458322,8,8
1514458922,3,3
1514459521,6,6
1514460121,12,12
1514460721,8,8
1514461322,3,3
1514462522,29,29
1514463121,2,2
1514463721,9,9
1514464321,5,5
1514464921,4,4
1514465521,7,7
1514466122,12,12
1514467321,5,5
1514467922,9,9
1514468522,3,3
1514469122,3,3
1514469721,1,1
1514470921,9,9
1514472121,7,7
1514473321,4,4
1514474521,14,14
1514475722,38,38
1514476322,9,9
1514476921,2,2
1514477522,5,5
1514478122,2,2
1514478721,3,3
1514479321,6,6
1514480521,15,15
1514481121,8,8
1514481721,8,8
1514482321,5,5
1514482922,2,2
1514483522,35,35
1514484121,13,13
1514484721,9,9
