DateTime,AddedIPs,RemovedIPs
1512915409,93,0
1512919010,93,0
1512922609,106,0
1512926209,72,0
1512929809,77,0
1512933409,186,0
1512937009,110,0
1512940609,85,0
1512944209,75,0
1512947809,49,0
1512951409,78,2941
1512955009,63,0
1512958609,68,0
1512962209,71,0
1512965809,72,0
1512969410,82,0
1512973009,89,0
1512976609,86,0
1512980209,150,0
1512983809,133,0
1512987409,137,0
1512991009,113,0
1512994610,118,0
1512998209,88,0
1513001810,103,0
1513005409,125,0
1513009009,100,0
1513012610,140,0
1513017109,121,0
1513020709,92,0
1513024309,121,0
1513027909,114,0
1513031509,73,0
1513036010,103,0
1513039609,181,2370
1513043209,64,0
1513046810,99,0
1513050409,212,0
1513054009,173,0
1513057610,131,0
1513061209,89,0
1513064810,89,0
1513068410,126,0
1513072009,87,0
1513075610,141,0
1513079210,107,0
1513082810,107,0
1513086409,76,0
1513090009,96,0
1513093610,101,0
1513097210,93,0
1513100810,84,0
1513104410,81,0
1513108010,77,0
1513111610,67,0
1513115209,93,0
1513118810,56,0
1513122410,58,0
1513126010,67,2407
1513129610,71,0
1513133210,71,0
1513136810,125,0
1513140410,290,0
1513144010,239,0
1513147610,108,0
1513151210,112,0
1513154810,196,0
1513158410,107,0
1513162010,217,0
1513165610,113,0
1513169210,108,0
1513172810,402,0
1513176410,301,0
1513180010,111,0
1513183610,116,0
1513187210,92,0
1513190810,75,0
1513194410,90,0
1513198011,71,0
1513201610,59,0
1513205210,74,0
1513208810,50,0
1513212410,56,2467
1513216010,61,0
1513219610,91,0
1513223210,55,0
1513226810,176,0
1513230410,159,0
1513234010,262,0
1513237611,110,0
1513241210,106,0
1513244810,97,0
1513248410,110,0
1513252010,108,0
1513255610,90,0
1513259211,116,0
1513262811,85,1
1513266411,77,0
1513270010,88,0
1513273610,91,0
1513277211,85,0
1513280811,63,0
1513284410,71,0
1513288010,70,0
1513291610,114,0
1513295211,86,0
1513298810,57,3239
1513302410,76,0
1513306010,76,0
1513309611,77,0
1513313211,79,0
1513316810,94,0
1513320410,89,0
1513324011,92,0
1513327611,122,0
1513331210,253,0
1513334810,385,0
1513338410,169,0
1513342010,137,0
1513345611,128,0
1513349211,156,0
1513352811,79,0
1513356411,95,1
1513360011,116,0
1513363610,96,0
1513367211,105,0
1513370810,87,0
1513374411,69,0
1513378010,65,0
1513381610,57,0
1513385211,112,2491
1513388811,227,0
1513392411,195,0
1513396011,106,0
1513399610,153,0
1513403211,215,0
1513406811,218,0
1513410411,96,0
1513414011,163,0
1513417611,257,0
1513421211,267,0
1513424811,140,0
1513428411,106,0
1513432011,119,0
1513435611,122,0
1513439211,180,0
1513442811,199,0
1513446411,126,0
1513450010,150,0
1513453611,79,0
1513457211,91,0
1513460811,70,1
1513464411,68,0
1513468011,65,0
1513471611,68,2509
1513475211,120,0
1513478811,73,0
1513482411,121,0
1513486011,105,0
1513489611,75,0
1513493211,84,0
1513496811,114,0
1513500411,78,0
1513505811,122,1
1513509411,110,0
1513513011,73,0
1513516611,61,0
1513520211,163,0
1513523812,91,0
1513527412,67,0
1513531011,98,0
1513534612,223,0
1513538212,95,0
1513541811,66,0
1513545411,58,0
1513549011,65,0
1513552611,44,0
1513556212,75,3741
1513559811,50,0
1513563411,87,0
1513567012,46,0
1513570611,79,0
1513574212,93,0
1513577812,101,0
1513581411,114,0
1513585011,118,4
1513588612,286,0
1513592211,212,0
1513595811,368,0
1513599411,378,0
1513603012,140,0
1513606612,258,1
1513610212,126,0
1513613811,128,0
1513617411,60,0
1513621012,87,0
1513624612,76,0
1513628212,82,0
1513631811,98,0
1513635412,85,0
1513639012,48,0
1513642612,67,2298
1513646212,60,0
1513649812,73,0
1513653412,84,0
1513657012,80,0
1513660612,106,0
1513664212,217,0
1513667812,79,0
1513671412,98,0
1513675012,143,0
1513678612,206,0
1513682211,144,0
1513685812,182,0
1513689412,187,0
1513693012,119,0
1513696612,89,0
1513700212,78,0
1513703811,109,0
1513707412,74,0
1513711011,81,0
1513714612,109,0
1513718212,58,0
1513721812,50,0
1513725412,58,0
1513729012,59,3025
1513732612,75,0
1513736212,131,0
1513739812,61,0
1513743412,71,0
1513747012,87,0
1513750612,124,0
1513754212,109,1
1513757812,101,0
1513761412,117,0
1513765013,126,0
1513768613,106,0
1513772212,115,0
1513775813,99,0
1513779412,183,0
1513783012,83,0
1513786613,91,0
1513790212,85,0
1513793813,89,0
1513797413,110,0
1513801012,77,0
1513804612,73,0
1513808213,65,0
1513811812,84,0
1513815412,74,2654
1513819013,69,0
1513822613,75,0
1513826212,206,0
1513829812,123,0
1513833413,65,0
1513837013,96,0
1513840612,103,0
1513844213,95,0
1513847813,304,0
1513851412,294,0
1513855012,298,0
1513858612,453,0
1513862213,187,0
1513865813,242,0
1513869412,143,0
1513873012,106,0
1513876612,329,0
1513880212,72,0
1513883812,74,0
1513887413,78,0
1513891013,90,0
1513894612,67,0
1513898213,67,0
1513901812,105,2381
1513905413,61,0
1513909013,53,0
1513912612,46,0
1513916212,136,0
1513919812,107,0
1513923412,97,0
1513927012,90,0
1513930613,100,0
1513934212,83,0
1513937812,134,0
1513941413,121,0
1513945013,140,0
1513948613,117,0
1513952213,100,0
1513955812,93,0
1513959413,136,0
1513963012,136,0
1513966613,142,0
1513970213,91,0
1513973813,63,0
1513977413,66,0
1513981013,60,0
1513984613,58,0
1513988213,53,3741
1513991813,58,0
1513995412,76,0
1513999013,80,0
1514002613,105,0
1514006213,205,0
1514009813,100,0
1514013413,85,0
1514017013,88,2
1514020613,119,0
1514024212,283,0
1514027813,257,0
1514031413,153,0
1514035013,333,0
1514038613,363,0
1514042214,269,0
1514045813,190,0
1514049413,216,0
1514053013,71,0
1514056613,159,0
1514060213,95,0
1514063813,83,0
1514067413,59,0
1514071013,97,0
1514074613,58,2252
1514078213,73,0
1514081813,60,0
1514085414,53,2
1514089014,84,0
1514092613,81,0
1514096214,131,0
1514099813,122,0
1514103413,62,0
1514107013,100,0
1514110613,75,0
1514114213,72,0
1514117814,72,3
1514121414,74,0
1514125014,79,0
1514128613,85,0
1514132213,85,0
1514135813,91,0
1514139414,44,0
1514143013,46,0
1514146613,57,0
1514150214,75,0
1514153814,54,0
1514157414,62,0
1514161014,74,3564
1514164613,171,0
1514168214,257,0
1514171814,70,0
1514175413,51,0
1514179014,76,0
1514182614,95,0
1514186214,75,1
1514189813,91,0
1514193414,68,0
1514197014,116,0
1514200614,91,0
1514204214,83,0
1514207814,62,0
1514211413,84,0
1514215014,60,0
1514218614,75,0
1514222214,115,0
1514225814,81,0
1514229414,61,0
1514233014,60,0
1514236614,52,0
1514240214,49,0
1514243813,58,0
1514247414,53,1926
1514251014,65,0
1514254614,95,0
1514258214,59,0
1514261814,64,0
1514265414,72,0
1514269014,79,0
1514272614,281,0
1514276213,100,0
1514279814,128,0
1514284315,194,0
1514287914,121,0
1514291514,167,0
1514295114,158,0
1514298714,84,0
1514302314,89,0
1514305914,92,0
1514309515,93,0
1514313115,127,0
1514316714,148,0
1514320314,69,0
1514323914,100,0
1514327514,94,0
1514331114,60,0
1514334714,65,2021
1514338314,67,0
1514341914,81,0
1514345514,150,0
1514349114,56,0
1514352714,98,0
1514356314,129,0
1514359915,87,0
1514363514,135,0
1514367114,190,0
1514370714,111,0
1514374314,268,0
1514377915,229,4
1514381514,417,0
1514385114,108,0
1514388714,109,0
1514392314,75,0
1514395914,138,0
1514399515,71,0
1514403115,70,0
1514406715,57,0
1514410315,82,0
1514413914,55,0
1514417514,86,0
1514421114,84,2543
1514424714,69,0
1514428314,110,0
1514431915,62,0
1514435514,164,0
1514439115,207,0
1514442715,85,0
1514446315,122,2
1514449915,88,0
1514453514,122,0
1514457115,131,0
1514460715,96,0
1514464315,95,0
1514467914,90,0
1514471515,82,0
1514476015,101,0
1514479615,83,0
1514483215,59,0
1514486815,78,0
1514490415,73,0
1514494014,51,0
1514497614,77,0
1514501215,68,0
1514504815,81,0
1514508415,156,2947
1514512015,89,0
1514515615,65,0
1514519214,78,0
1514522815,59,0
1514526415,90,0
1514530015,106,0
1514533615,83,0
1514537215,90,0
1514540815,88,0
1514544414,129,0
1514548015,91,0
1514551615,78,1
1514555215,90,0
1514558815,87,0
1514562415,77,0
1514566015,70,0
1514569615,84,0
1514573215,61,0
1514576815,52,0
1514580415,78,0
1514584015,57,0
1514587615,65,0
1514591215,85,0
1514594815,64,2366
