DateTime,AddedIPs,RemovedIPs
1512530307,4,2
1512531201,1,0
1512533899,1,0
1512537516,2,5
1512542898,0,3
1512543850,3,0
1512544697,43,3
1512551900,8,7
1512559101,1,8
1512566300,1,0
1512573500,9,4
1512580707,7,5
1512587907,13,4
1512591511,1,0
1512602307,6,8
1512609518,2,3
1512616713,3,5
1512623918,5,4
1512629305,0,1
1512631076,3,8
1512631964,1,0
1512638218,5,4
1512639116,1,0
1512645423,4,5
1512650826,0,1
1512652618,2,4
1512655349,0,1
1512656225,0,1
1512659823,5,7
1512660715,1,1
1512663425,1,0
1512668824,9,6
1512673366,0,1
1512674223,13,0
1512680552,1,0
1512681427,6,2
1512689520,5,3
1512695825,6,6
1512700320,1,0
1512703029,3,4
1512710235,4,6
1512715622,0,2
1512717424,6,6
1512718319,0,2
1512719223,2,0
1512721026,1,0
1512722820,1,0
1512724632,5,3
1512727350,1,0
1512729128,1,0
1512731821,3,6
1512732717,1,0
1512739020,7,6
1512746223,4,4
1512749819,0,1
1512753419,4,3
1512754324,0,1
1512755219,2,0
1512760622,5,0
1512764224,0,3
1512766028,1,0
1512767818,6,6
1512775919,11,7
1512782219,2,3
1512787613,1,0
1512788544,1,0
1512789426,4,6
1512796639,6,6
1512803825,9,3
1512804717,1,0
1512810147,1,0
1512811024,3,6
1512818219,4,9
1512820021,1,0
1512825421,4,4
1512829020,0,2
1512832617,5,10
1512839830,6,7
1512842550,1,0
1512846159,247,0
1512847026,16,8
1512856026,2,1
1512861423,6,3
1512868631,5,6
1512875827,7,5
1512883040,3,7
1512888444,1,0
1512890242,5,7
1512897450,4,9
1512901053,1,0
1512904645,2,2
1512911850,4,2
1512918190,0,9
1512919057,4,5
1512922660,2,0
1512926250,21,1
1512928058,1,0
1512933464,4,7
1512934364,1,0
1512940677,6,8
1512947883,6,2
1512949699,1,0
1512953303,1,0
1512955110,5,3
1512962305,2,3
1512965909,0,1
1512969520,3,6
1512976701,2,10
1512980306,0,1
1512983907,4,4
1512991100,3,12
1512997453,0,1
1512998314,4,7
1513000102,0,1
1513001908,3,0
1513005506,3,4
1513009111,0,5
1513012707,7,8
1513018102,1,0
1513019906,14,2
1513027112,6,6
1513034317,7,2
1513037910,1,0
1513041521,2,3
1513048705,3,5
1513055914,5,5
1513063111,3,8
1513070309,5,5
1513077506,3,4
1513081109,1,0
1513084715,6,2
1513091915,2,6
1513092808,4,0
1513095512,1,2
1513097313,1,0
1513099123,8,5
1513106309,6,3
1513111714,1,0
1513113529,7,3
1513118011,1,0
1513120710,3,2
1513127910,4,4
1513135117,3,2
1513142318,4,5
1513149512,9,7
1513150407,1,0
1513156700,4,4
1513160311,1,0
1513161202,1,0
1513163903,4,6
1513171098,5,3
1513172000,1,0
1513172900,1,0
1513177443,2,0
1513178306,5,3
1513185514,10,8
1513189129,1,0
1513192708,2,14
1513194522,0,1
1513199936,5,6
1513207107,2,6
1513209859,1,0
1513214297,2,3
1513217909,0,1
1513221495,2,6
1513226001,1,0
1513228704,4,7
1513235895,5,6
1513243097,5,3
1513243998,0,1
1513250292,1,4
1513257501,10,4
1513264712,5,7
1513265632,6,0
1513268308,2,7
1513271929,2,4
1513279107,4,7
1513280909,0,2
1513286303,5,5
1513294406,3,2
1513300708,3,6
1513307909,2,5
1513315123,3,7
1513318710,0,1
1513322304,2,5
1513323207,1,0
1513329504,10,5
1513336712,5,2
1513343916,6,6
1513351112,4,6
1513353851,0,6
1513354719,0,1
1513358302,9,3
1513365508,6,6
1513370059,1,0
1513372736,10,4
1513379903,2,5
1513387100,3,5
1513395211,6,2
1513397913,0,2
1513401514,4,5
1513408704,4,3
1513415891,5,5
1513423102,7,4
1513430307,2,5
1513433906,0,1
1513437502,6,1
1513441106,0,45
1513444702,6,2
1513448300,0,3
1513451906,2,10
1513452802,0,1
1513454642,0,1
1513459106,5,2
1513460004,0,1
1513460909,0,1
1513462700,0,1
1513466310,3,5
1513473501,2,0
1513480705,2,2
1513487921,2,6
1513491506,0,1
1513495103,4,9
1513502299,6,5
1513509500,3,6
1513516702,10,5
1513520300,0,1
1513523900,3,8
1513527503,1,0
1513528407,0,2
1513531101,4,2
1513538309,7,5
1513545502,2,5
1513552708,6,2
1513556301,0,1
1513559895,1,5
1513562634,1,0
1513567108,2,3
1513572504,1,0
1513574311,7,7
1513580639,1,0
1513581505,3,6
1513588705,4,5
1513595898,7,13
1513599498,1,0
1513603107,18,4
1513606705,0,1
1513610303,9,4
1513613044,0,3
1513613897,1,0
1513617504,4,4
1513624697,6,4
1513631905,8,4
1513639103,3,4
1513642699,2,0
1513646303,1,3
1513649899,1,0
1513653500,3,3
1513657104,0,1
1513660707,8,3
1513667051,1,0
1513667907,2,6
1513668809,0,1
1513675108,5,4
1513682309,7,8
1513689504,5,3
1513696717,6,2
1513699444,0,1
1513703905,6,5
1513711103,5,3
1513718299,3,7
1513725504,5,2
1513732703,7,2
1513736304,1,0
1513739906,4,5
1513743495,1,0
1513747106,7,4
1513754300,0,5
1513757894,0,1
1513761500,8,4
1513763299,0,1
1513768699,8,4
1513775899,2,4
1513783098,6,5
1513786703,0,5
1513790298,5,0
1513793911,75,0
1513797502,4,8
1513802013,1,1
1513804714,4,2
1513811046,1,0
1513811902,2,5
1513815494,0,1
1513816406,1,0
1513817304,0,1
1513818248,2,0
1513819102,1,1
1513821836,2,0
1513826304,1,10
1513833513,6,3
1513840715,2,3
1513847911,5,10
1513855108,1,13
1513862311,5,4
1513865893,0,1
1513869499,3,4
1513872256,4,0
1513873112,1,6
1513874005,1,0
1513876706,8,3
1513882107,1,0
1513883909,5,4
1513891099,9,7
1513898304,22,6
1513905495,1,4
1513912710,4,5
1513916299,2,0
1513919897,3,4
1513923501,1,0
1513924403,1,0
1513927103,3,5
1513934299,1,2
1513937891,1,0
1513941492,3,7
1513948697,5,3
1513949593,1,0
1513955036,1,0
1513955897,10,3
1513957699,82,0
1513959492,0,8
1513963096,9,6
1513967602,0,1
1513970310,6,4
1513973899,0,1
1513977491,5,6
1513984700,5,5
1513986491,1,0
1513991895,2,3
1513999100,3,8
1514000000,1,0
1514006302,6,1
1514013502,1,8
1514015294,1,0
1514018896,0,1
1514020694,8,3
1514027907,6,3
1514035093,3,5
1514042303,8,6
1514046792,5,5
1514049493,2,6
1514056699,3,9
1514057593,1,0
1514063891,3,9
1514064790,0,1
1514069291,1,0
1514078299,4,6
1514085498,4,5
1514092704,5,4
1514096297,1,0
1514099904,3,9
1514104404,1,0
1514107089,1,2
1514112495,1,0
1514114296,4,2
1514121506,10,3
1514128699,3,8
1514131447,3,0
1514132295,2,0
1514135904,6,3
1514142235,1,0
1514143100,3,5
1514145828,0,2
1514150301,5,8
1514155694,0,1
1514157486,3,4
1514164698,7,7
1514168288,1,0
1514171900,5,7
1514179101,5,3
1514186297,3,1
1514193497,6,6
1514200692,2,2
1514207900,2,5
1514208792,0,1
1514215095,7,4
1514218692,0,1
1514219600,0,12
1514222288,1,4
1514229492,3,4
1514236692,4,1
1514243032,0,1
1514243903,4,2
1514251089,6,7
1514256488,0,1
1514258288,3,8
1514265497,8,6
1514269091,0,1
1514272694,2,5
1514279890,6,4
1514287087,7,4
1514294301,3,6
1514301494,4,1
1514305101,0,2
1514308679,5,0
1514310492,1,1
1514312301,1,0
1514315894,6,3
1514316791,1,0
1514317688,1,0
1514319490,1,0
1514323094,7,3
1514330294,6,4
1514337490,3,6
1514342893,1,0
1514344709,6,6
1514351891,4,2
1514355490,1,0
1514359086,1,8
1514366291,2,0
1514368087,1,0
1514373492,0,4
1514380690,6,5
1514387888,3,3
1514395084,5,4
1514398695,1,0
1514400487,0,4
1514402282,4,3
1514408638,0,1
1514409492,6,2
1514416691,8,5
1514423888,3,2
1514431089,5,4
1514438281,8,1
1514443674,0,1
1514445485,2,6
1514452689,1,5
1514459895,3,2
1514466224,0,1
1514467090,6,4
1514470685,0,1
1514472487,1,1
1514474285,3,5
1514477018,1,0
1514477888,2,2
1514479683,1,0
1514481475,4,7
1514485094,1,0
1514488691,7,4
1514495890,3,2
1514503989,4,5
1514510281,3,1
1514514793,0,1
1514517484,1,3
1514521094,1,0
1514522892,1,0
1514524688,7,2
1514531880,2,5
1514533687,0,1
1514538223,1,0
1514539088,5,3
1514546286,6,4
1514549021,0,1
1514553489,3,4
1514557081,0,1
1514560689,6,1
1514564293,0,1
1514566091,0,95
1514567888,11,4
1514571478,2,0
1514575081,3,6
1514582285,3,4
1514589487,6,3
1514596675,3,9
1514603887,5,6
1514604778,1,0
1514608376,1,0
1514611097,6,0
1514618281,3,3
1514619187,0,1
1514625484,4,7
1514628220,1,0
1514632687,1,0
1514639892,4,2
1514647083,4,4
1514654282,1,5
1514655175,7,0
1514661485,7,9
1514668685,1,2
1514675882,2,4
1514680376,0,1
1514683078,1,0
1514686682,1,1
1514690287,6,7
1514692084,1,0
1514697492,5,3
1514701973,1,0
1514704680,2,1
1514711882,2,4
1514715490,1,0
1514719087,2,7
