DateTime,Entries,UniqueIPs
1512530307,1600,1600
1512531201,1601,1601
1512533899,1602,1602
1512537516,1599,1599
1512542898,1596,1596
1512543850,1599,1599
1512544697,1639,1639
1512551900,1640,1640
1512559101,1633,1633
1512566300,1634,1634
1512573500,1639,1639
1512580707,1641,1641
1512587907,1650,1650
1512591511,1651,1651
1512602307,1649,1649
1512609518,1648,1648
1512616713,1646,1646
1512623918,1647,1647
1512629305,1646,1646
1512631076,1641,1641
1512631964,1642,1642
1512638218,1643,1643
1512639116,1644,1644
1512645423,1643,1643
1512650826,1642,1642
1512652618,1640,1640
1512655349,1639,1639
1512656225,1638,1638
1512659823,1636,1636
1512660715,1636,1636
1512663425,1637,1637
1512668824,1640,1640
1512673366,1639,1639
1512674223,1652,1652
1512680552,1653,1653
1512681427,1657,1657
1512689520,1659,1659
1512695825,1659,1659
1512700320,1660,1660
1512703029,1659,1659
1512710235,1657,1657
1512715622,1655,1655
1512717424,1655,1655
1512718319,1653,1653
1512719223,1655,1655
1512721026,1656,1656
1512722820,1657,1657
1512724632,1659,1659
1512727350,1660,1660
1512729128,1661,1661
1512731821,1658,1658
1512732717,1659,1659
1512739020,1660,1660
1512746223,1660,1660
1512749819,1659,1659
1512753419,1660,1660
1512754324,1659,1659
1512755219,1661,1661
1512760622,1666,1666
1512764224,1663,1663
1512766028,1664,1664
1512767818,1664,1664
1512775919,1668,1668
1512782219,1667,1667
1512787613,1668,1668
1512788544,1669,1669
1512789426,1667,1667
1512796639,1667,1667
1512803825,1673,1673
1512804717,1674,1674
1512810147,1675,1675
1512811024,1672,1672
1512818219,1667,1667
1512820021,1668,1668
1512825421,1668,1668
1512829020,1666,1666
1512832617,1661,1661
1512839830,1660,1660
1512842550,1661,1661
1512846159,1908,1908
1512847026,1916,1916
1512856026,1917,1917
1512861423,1920,1920
1512868631,1919,1919
1512875827,1921,1921
1512883040,1917,1917
1512888444,1918,1918
1512890242,1916,1916
1512897450,1911,1911
1512901053,1912,1912
1512904645,1912,1912
1512911850,1914,1914
1512918190,1905,1905
1512919057,1904,1904
1512922660,1906,1906
1512926250,1926,1926
1512928058,1927,1927
1512933464,1924,1924
1512934364,1925,1925
1512940677,1923,1923
1512947883,1927,1927
1512949699,1928,1928
1512953303,1929,1929
1512955110,1931,1931
1512962305,1930,1930
1512965909,1929,1929
1512969520,1926,1926
1512976701,1918,1918
1512980306,1917,1917
1512983907,1917,1917
1512991100,1908,1908
1512997453,1907,1907
1512998314,1904,1904
1513000102,1903,1903
1513001908,1906,1906
1513005506,1905,1905
1513009111,1900,1900
1513012707,1899,1899
1513018102,1900,1900
1513019906,1912,1912
1513027112,1912,1912
1513034317,1917,1917
1513037910,1918,1918
1513041521,1917,1917
1513048705,1915,1915
1513055914,1915,1915
1513063111,1910,1910
1513070309,1910,1910
1513077506,1909,1909
1513081109,1910,1910
1513084715,1914,1914
1513091915,1910,1910
1513092808,1914,1914
1513095512,1913,1913
1513097313,1914,1914
1513099123,1917,1917
1513106309,1920,1920
1513111714,1921,1921
1513113529,1925,1925
1513118011,1926,1926
1513120710,1927,1927
1513127910,1927,1927
1513135117,1928,1928
1513142318,1927,1927
1513149512,1929,1929
1513150407,1930,1930
1513156700,1930,1930
1513160311,1931,1931
1513161202,1932,1932
1513163903,1930,1930
1513171098,1932,1932
1513172000,1933,1933
1513172900,1934,1934
1513177443,1936,1936
1513178306,1938,1938
1513185514,1940,1940
1513189129,1941,1941
1513192708,1929,1929
1513194522,1928,1928
1513199936,1927,1927
1513207107,1923,1923
1513209859,1924,1924
1513214297,1923,1923
1513217909,1922,1922
1513221495,1918,1918
1513226001,1919,1919
1513228704,1916,1916
1513235895,1915,1915
1513243097,1917,1917
1513243998,1916,1916
1513250292,1913,1913
1513257501,1919,1919
1513264712,1917,1917
1513265632,1923,1923
1513268308,1918,1918
