DateTime,AddedIPs,RemovedIPs
1512835472,2,2
1512838961,3,0
1512842618,1,0
1512846158,2,2
1512849790,0,4
1512853358,2,0
1512856958,3,7
1512860558,2,2
1512864218,1,1
1512867758,1,0
1512871380,3,2
1512875066,2,2
1512878620,1,0
1512882159,3,1
1512885833,1,2
1512889336,3,4
1512892996,4,5
1512896596,1,0
1512900196,2,4
1512907336,1,16
1512910996,2,0
1512914536,1,10
1512918196,2,0
1512921796,3,6
1512925397,16,0
1512928996,3,3
1512932597,1,3
1512936389,3,0
1512939746,5,6
1512943406,4,1
1512946947,1,0
1512950605,0,2
1512957805,1,0
1512961345,0,4
1512965006,1,1
1512968545,1,6
1512972146,1,0
1512975760,1,6
1512979405,1,0
1512982946,4,2
1512986606,2,4
1512990146,1,0
1512993753,0,3
1512997355,2,2
1513001005,3,0
1513004606,0,3
1513011805,7,4
1513015406,6,0
1513019005,7,2
1513022546,3,1
1513026146,3,0
1513029745,3,3
1513033346,2,0
1513037007,1,0
1513040607,1,2
1513044206,1,0
1513047806,1,1
1513051346,1,2
1513055006,3,0
1513058547,1,0
1513062147,2,3
1513065806,3,6
1513069346,1,3
1513073006,1,0
1513076547,1,4
1513080146,2,0
1513083806,2,3
1513087406,1,2
1513090948,2,1
1513094547,4,2
1513098148,2,0
1513101807,2,1
1513105348,4,6
1513109008,2,15
1513112607,4,0
1513116147,0,3
1513119748,3,5
1513123347,1,2
1513126954,1,0
1513130548,1,2
1513134208,1,2
1513137750,1,5
1513141349,2,0
1513144949,6,5
1513148548,1,0
1513152149,2,6
1513155808,2,0
1513159348,2,3
1513162948,2,0
1513166609,2,3
1513170209,2,0
1513173809,3,4
1513177349,3,0
1513180948,7,7
1513184549,1,3
1513191809,0,4
1513195409,1,3
1513198949,4,0
1513202549,0,5
1513206149,1,0
1513209809,1,0
1513213410,0,4
1513220608,1,4
1513224148,1,3
1513227809,2,6
1513235009,5,3
1513238609,2,0
1513242209,2,4
1513245749,1,0
1513249349,0,2
1513252949,10,2
1513256610,1,0
1513260209,1,4
1513263811,2,2
1513267350,1,3
1513271009,2,5
1513274609,1,3
1513278209,3,5
1513281810,3,0
1513285410,2,2
1513289010,1,1
1513292549,1,0
1513296149,1,5
1513299752,1,0
1513303410,1,5
1513307010,0,1
1513310550,0,2
1513314151,2,0
1513317752,2,1
1513321350,1,3
1513325011,4,3
1513328551,6,1
1513332211,2,2
1513335811,1,1
1513339411,1,0
1513342951,5,6
1513350210,3,0
1513353750,4,1
1513357350,2,1
1513361011,3,1
1513364550,3,0
1513368211,3,4
1513371750,6,4
1513375350,1,1
1513378952,2,0
1513382612,2,3
1513386157,1,0
1513389811,3,0
1513393411,2,1
1513400551,3,6
1513404151,2,2
1513407752,2,0
1513411411,3,7
1513415011,2,0
1513418611,2,5
1513422211,3,0
1513425753,2,4
1513429351,1,4
1513432951,2,0
1513436611,2,2
1513440151,2,4
1513443811,3,3
1513447351,2,1
1513451011,0,5
1513458212,2,3
1513461812,2,0
1513465352,1,3
1513468953,2,1
1513472552,0,4
1513476152,0,2
1513479813,1,0
1513483413,1,4
1513486952,2,0
1513490552,6,2
1513494153,0,7
1513497753,3,2
1513501352,2,0
1513504953,2,1
1513508552,1,4
1513512152,3,13
1513515812,5,0
1513519352,1,3
1513522952,2,3
1513526612,2,2
1513530153,1,0
1513533812,4,3
1513537412,1,0
1513540953,1,3
1513544614,1,4
1513548212,2,0
1513551753,3,0
1513555353,0,2
1513559013,1,0
1513562553,0,4
1513566213,0,1
1513569813,2,0
1513573354,4,2
1513576953,3,3
1513580553,0,1
1513584214,2,4
1513587813,2,3
1513591353,1,0
1513594954,8,5
1513598553,11,0
1513601829,1,5
1513602188,6,0
1513605789,8,1
1513609329,1,1
1513612989,2,0
1513616590,3,5
1513620190,1,0
1513623790,4,0
1513627391,2,3
1513630991,5,0
1513634592,2,5
1513638192,1,1
1513641792,0,1
1513645392,1,0
1513648950,0,1
1513652592,3,0
1513656192,5,5
1513659732,2,0
1513663392,1,2
1513666992,0,4
1513670592,3,0
1513674192,1,2
1513677792,4,5
1513681407,2,0
1513684932,5,2
1513688533,0,3
1513692193,3,0
1513695793,4,0
1513699393,4,5
1513706533,4,0
