DateTime,Entries,UniqueIPs
1512705765,1882,1970
1512709365,1884,1972
1512713026,1879,1967
1512716625,1881,1969
1512720225,1879,1967
1512723765,1880,1968
1512727425,1881,1969
1512731026,1880,1968
1512734198,1882,1970
1512734556,1883,1971
1512738216,1880,1967
1512745416,1881,1968
1512746076,1881,1968
1512752616,1878,1965
1512756156,1879,1966
1512759756,1876,1963
1512763357,1873,1960
1512767031,1874,1963
1512770617,1881,1973
1512777816,1883,1975
1512784956,1882,1974
1512788634,1883,1975
1512792216,1883,1976
1512795764,1884,1977
1512799417,1887,1980
1512803017,1887,1980
1512810157,1886,1979
1512813757,1889,1982
1512817357,1884,1977
1512820957,1885,1978
1512824557,1887,1980
1512828217,1887,1981
1512831868,1881,1975
1512835472,1883,1977
1512838961,1884,1978
1512842618,1884,1978
1512846158,1886,1980
1512849790,1882,1976
1512853358,1883,1977
1512856958,1881,1975
1512860558,1882,1976
1512864218,1881,1975
1512867758,1880,1974
1512871380,1883,1977
1512875066,1881,1975
1512878620,1882,1976
1512882159,1879,1973
1512885833,1880,1974
1512889336,1882,1976
1512892996,1885,1979
1512896596,1883,1977
1512900196,1885,1979
1512903736,1882,1976
1512907336,1883,1977
1512910996,1885,1979
1512914536,1886,1980
1512918196,1888,1982
1512921796,1890,1984
1512925397,1891,1986
1512928996,1888,1983
1512932597,1889,1984
1512936389,1888,1981
1512939746,1890,1983
1512943406,1889,1982
1512946947,1890,1983
1512950605,1889,1982
1512954145,1888,1981
1512957805,1889,1982
1512961345,1887,1980
1512965006,1888,1981
1512968545,1887,1980
1512972146,1888,1981
1512975760,1882,1975
1512979405,1883,1976
1512982946,1884,1977
1512986606,1886,1979
1512990146,1885,1978
1512993753,1883,1976
1512997355,1881,1974
1513001005,1883,1976
1513004606,1877,1970
1513011805,1880,1973
1513015406,1884,1977
1513019005,1888,1981
1513022546,1889,1982
1513026146,1888,1980
1513029745,1891,1983
1513033346,1892,1984
1513037007,1893,1985
1513040607,1892,1984
1513044206,1893,1985
1513047806,1891,1983
1513051346,1892,1984
1513055006,1892,1984
1513058547,1893,1985
1513062147,1890,1982
1513065806,1893,1985
1513069346,1893,1985
1513076547,1890,1982
1513080146,1892,1984
1513083806,1891,1983
1513087406,1892,1984
1513090948,1893,1985
1513094547,1895,1987
1513098148,1897,1989
1513101807,1893,1985
1513105348,1895,1987
1513109008,1890,1982
1513112607,1892,1984
1513119748,1894,1985
1513123347,1895,1986
1513126954,1895,1987
1513130548,1895,1987
1513134208,1894,1986
1513137750,1890,1981
1513141349,1892,1983
1513144949,1894,1985
1513148548,1895,1986
1513152149,1893,1984
1513155808,1895,1986
1513159348,1893,1984
1513162948,1894,1985
1513166609,1892,1983
1513170209,1893,1983
1513173809,1891,1981
1513177349,1894,1984
1513180948,1894,1986
1513184549,1895,1987
1513191809,1891,1983
1513195409,1891,1983
1513198949,1894,1986
1513202549,1891,1982
1513206149,1891,1982
1513209809,1889,1980
1513213410,1888,1979
1513220608,1887,1978
1513224148,1888,1979
1513227809,1885,1976
1513235009,1889,1980
1513238609,1886,1976
1513242209,1888,1978
1513245749,1887,1977
1513249349,1885,1975
1513252949,1883,1973
1513256610,1884,1974
1513260209,1883,1973
1513263811,1882,1972
1513267350,1883,1973
1513271009,1880,1970
1513274609,1880,1970
1513278209,1881,1971
1513281810,1884,1974
1513285410,1880,1970
1513289010,1880,1970
1513292549,1880,1970
1513296149,1881,1971
1513299752,1882,1972
1513303410,1881,1971
1513310550,1878,1968
1513314151,1879,1969
1513317752,1880,1970
1513321350,1878,1968
1513325011,1881,1971
1513328551,1883,1973
1513332211,1881,1971
1513335811,1880,1970
1513339411,1881,1971
1513342951,1883,1973
1513346551,1882,1972
1513350210,1880,1970
1513353750,1883,1973
1513357350,1883,1973
1513361011,1886,1976
1513364550,1882,1972
1513368211,1885,1975
1513371750,1886,1976
1513375350,1883,1973
1513378952,1885,1975
1513382612,1887,1977
1513386157,1887,1977
1513389811,1888,1979
1513393411,1889,1980
1513400551,1889,1980
1513404151,1891,1982
1513407752,1890,1981
1513411411,1892,1983
1513415011,1894,1985
1513418611,1895,1986
1513422211,1897,1988
1513425753,1898,1989
1513429351,1896,1987
1513432951,1897,1988
1513436611,1895,1986
1513440151,1897,1988
1513443811,1895,1985
1513447351,1897,1987
1513451011,1894,1983
1513458212,1894,1983
1513461812,1891,1980
1513465352,1890,1979
1513468953,1890,1979
1513476152,1888,1976
1513479813,1889,1977
1513483413,1885,1973
1513486952,1886,1974
1513490552,1888,1976
1513497753,1886,1974
1513501352,1888,1976
1513504953,1887,1975
1513508552,1884,1972
1513512152,1886,1974
1513515812,1887,1975
1513519352,1887,1975
1513522952,1888,1976
1513526612,1883,1971
1513530153,1884,1972
1513533812,1883,1970
1513540953,1884,1971
1513544614,1882,1969
1513548212,1882,1969
1513551753,1884,1971
1513555353,1883,1970
1513559013,1883,1970
1513562553,1879,1966
1513569813,1880,1967
1513573354,1883,1971
1513576953,1885,1973
1513584214,1880,1968
1513587813,1882,1970
1513591353,1883,1971
1513594954,1890,1978
1513598553,1900,1988
1513601829,1899,1987
1513602188,1900,1989
1513605789,1901,1990
1513609329,1895,1984
1513612989,1897,1986
1513616590,1896,1984
1513620190,1897,1985
1513623790,1899,1987
1513627391,1899,1987
1513630991,1903,1991
1513634592,1904,1992
1513638192,1905,1993
1513641792,1904,1992
1513645392,1904,1992
1513656192,1908,1996
1513659732,1908,1996
1513663392,1908,1996
1513666992,1904,1992
1513670592,1906,1994
1513674192,1907,1995
1513677792,1909,1997
1513681407,1910,1998
1513684932,1914,2002
1513692193,1917,2005
1513695793,1915,2003
1513699393,1918,2006
1513706533,1906,1994
1513710193,1907,1995
1513713793,1910,1998
1513720993,1912,2000
1513724593,1913,2001
1513728133,1914,2002
1513731793,1918,2006
1513735393,1920,2008
1513740553,1921,2009
1513746133,1924,2012
1513756993,1926,2014
1513760594,1926,2015
1513764195,1927,2016
1513767795,1930,2019
1513771394,1930,2019
1513774995,1929,2018
1513778606,1926,2015
1513782134,1929,2018
1513785887,1928,2017
1513789454,1930,2019
1513792995,1931,2020
1513796622,1932,2021
1513800135,1931,2020
1513803816,1932,2021
1513807395,1933,2022
1513811027,1931,2020
1513818209,1928,2017
1513828995,1928,2017
1513832613,1931,2020
1513843335,1928,2017
1513846996,1930,2019
1513850595,1929,2018
1513854198,1928,2017
1513861400,1926,2015
1513864995,1926,2015
1513872209,1927,2016
1513875797,1929,2019
1513879395,1931,2021
1513882996,1932,2022
1513886536,1935,2025
1513890196,1937,2027
1513893796,1942,2033
1513897396,1940,2031
1513900996,1941,2032
1513904603,1939,2030
1513908136,1937,2028
1513911797,1938,2029
1513915336,1936,2027
1513918996,1937,2028
1513922598,1937,2028
1513929796,1935,2026
1513936996,1932,2023
1513940596,1932,2023
1513947796,1927,2018
1513951396,1932,2023
1513954936,1932,2023
1513958596,1936,2027
1513962196,1934,2025
1513965737,1935,2026
1513969413,1937,2028
1513973012,1937,2028
1513976598,1937,2028
1513980154,1937,2028
1513983857,1938,2029
1513987397,1939,2030
1513990998,1937,2028
1513994552,1939,2030
1513998204,1940,2031
1514001797,1944,2035
1514005397,1941,2032
1514008937,1941,2032
1514012538,1939,2030
1514016145,1943,2034
1514019738,1940,2031
1514023397,1941,2032
1514026938,1942,2033
1514030598,1944,2035
1514034246,1938,2029
1514037738,1937,2028
1514041542,1937,2028
1514048606,1938,2029
1514052198,1935,2026
1514055738,1933,2023
1514059400,1934,2024
1514062938,1935,2025
1514066599,1933,2023
1514073799,1933,2023
1514077403,1935,2025
1514080999,1932,2022
1514084599,1935,2025
1514088209,1934,2024
1514091744,1936,2026
1514095338,1932,2022
1514099005,1933,2023
1514102546,1931,2021
1514106199,1932,2022
1514109758,1931,2021
1514113399,1929,2019
1514117618,1929,2019
1514120559,1931,2021
1514124158,1929,2019
1514127758,1931,2021
1514131418,1931,2021
1514134958,1933,2023
1514138558,1932,2022
1514142218,1933,2023
1514142638,1934,2024
1514145818,1935,2025
1514149419,1933,2025
1514153034,1932,2024
1514160219,1931,2023
1514163758,1931,2023
1514167359,1933,2025
1514174560,1935,2027
1514178159,1932,2024
1514181819,1934,2027
1514188960,1935,2028
1514192560,1934,2027
1514196220,1932,2025
1514203362,1933,2026
1514210561,1931,2025
1514214164,1934,2028
1514217760,1933,2027
1514221385,1933,2027
1514224960,1935,2029
1514228559,1934,2028
1514232161,1934,2028
1514239359,1932,2026
1514243020,1933,2027
1514246560,1930,2024
1514250166,1934,2028
1514257368,1935,2029
1514261020,1934,2028
1514268160,1931,2025
1514271765,1932,2026
1514275364,1934,2028
1514278965,1934,2028
1514282564,1933,2027
1514286166,1938,2032
1514289765,1938,2032
1514293365,1936,2030
1514296964,1935,2029
1514300625,1934,2028
1514307825,1935,2029
1514311365,1937,2031
1514315040,1936,2030
1514318627,1939,2033
1514322166,1941,2035
1514325765,1942,2036
1514329365,1944,2037
1514332966,1945,2038
1514340165,1945,2038
1514347425,1946,2039
1514350966,1944,2037
1514354565,1942,2035
1514358237,1941,2034
1514361765,1940,2033
1514365425,1939,2032
1514372570,1937,2030
1514376170,1939,2032
1514379769,1940,2033
1514383373,1940,2033
1514387029,1941,2034
1514394169,1942,2035
1514397769,1941,2034
1514401430,1942,2035
1514405030,1943,2036
1514408570,1945,2038
1514412170,1953,2046
1514419371,1952,2045
1514422970,1952,2045
1514426629,1954,2047
1514433774,1956,2049
1514437429,1958,2051
1514440970,1953,2046
1514444569,1955,2048
1514448170,1953,2046
1514455371,1952,2045
1514458970,1951,2045
1514462576,1951,2045
1514466170,1953,2047
1514469771,1956,2050
1514473371,1954,2048
1514476970,1955,2049
1514480570,1953,2047
1514484171,1955,2049
1514487770,1955,2048
1514491371,1957,2050
1514494971,1957,2050
1514498570,1958,2051
1514502170,1959,2052
1514505770,1960,2053
1514509371,1959,2052
1514512971,1958,2051
1514520171,1958,2051
1514523770,1960,2053
1514527371,1961,2054
1514530971,1958,2051
1514534570,1958,2051
1514538171,1958,2051
1514545371,1960,2053
1514548971,1958,2051
1514552631,1959,2052
1514556171,1962,2055
1514559771,1957,2050
1514563371,1960,2053
1514566972,1958,2051
1514570571,1961,2054
1514574231,1958,2051
1514577772,1961,2054
1514581372,1960,2053
1514588572,1957,2050
1514592231,1958,2051
1514595775,1958,2051
1514599373,1962,2055
1514602971,1960,2053
1514606571,1963,2056
1514610171,1958,2051
1514613831,1959,2052
1514617371,1956,2049
1514624572,1956,2049
1514631832,1955,2048
1514635372,1956,2049
1514638972,1952,2045
1514642572,1954,2047
1514646172,1955,2048
1514649952,1952,2045
1514653373,1953,2046
1514656972,1953,2046
1514660574,1951,2044
1514671373,1950,2043
1514675032,1948,2041
1514685774,1951,2044
1514689373,1950,2043
1514692974,1950,2043
1514696573,1950,2043
1514700172,1951,2044
1514703774,1949,2042
1514707374,1944,2037
1514710974,1946,2039
1514714574,1945,2038
1514718173,1945,2038
