DateTime,AddedIPs,RemovedIPs
1512853358,2,4
1512856958,3,3
1512860558,2,1
1512864218,1,2
1512867758,1,0
1512871380,4,1
1512875066,2,2
1512878620,2,2
1512882159,3,1
1512885833,1,7
1512889336,3,1
1512892996,4,7
1512896596,3,2
1512900196,2,4
1512907336,1,4
1512910996,2,5
1512914536,3,1
1512918196,3,1
1512921796,3,2
1512925397,19,4
1512928996,3,1
1512932597,1,4
1512936389,4,4
1512939746,9,0
1512943406,5,3
1512946947,1,0
1512957805,1,2
1512961345,0,1
1512965006,1,2
1512968545,1,0
1512972146,1,1
1512975760,1,3
1512979405,2,6
1512982946,4,1
1512986606,2,3
1512990146,1,2
1512993753,1,2
1512997355,2,4
1513001005,3,3
1513004606,1,0
1513008146,0,1
1513011805,7,3
1513015406,6,1
1513019005,9,6
1513022546,3,5
1513026146,3,10
1513029745,3,3
1513033346,2,2
1513037007,1,5
1513040607,1,2
1513044206,1,0
1513047806,1,3
1513051346,2,2
1513055006,3,5
1513058547,1,3
1513062147,2,4
1513065806,3,5
1513069346,2,2
1513073006,3,2
1513076547,3,2
1513080146,3,0
1513083806,2,3
1513087406,1,3
1513090948,2,2
1513094547,4,5
1513098148,3,2
1513101807,2,3
1513105348,4,0
1513109008,2,4
1513112607,5,4
1513116147,0,2
1513119748,3,3
1513123347,1,0
1513126954,1,3
1513130548,1,3
1513134208,1,4
1513137750,2,3
1513141349,2,3
1513144949,7,4
1513148548,1,1
1513152149,2,2
1513155808,2,5
1513159348,2,1
1513162948,2,3
1513166609,2,2
1513170209,2,1
1513173809,3,5
1513177349,4,2
1513180948,8,3
1513184549,2,5
1513188148,0,1
1513191809,1,3
1513195409,1,5
1513198949,4,1
1513202549,0,1
1513206149,1,2
1513209809,3,5
1513217008,1,1
1513220608,1,4
1513224148,1,1
1513227809,2,2
1513231348,0,1
1513235009,6,3
1513238609,2,4
1513242209,3,0
1513245749,1,1
1513249349,0,3
1513252949,12,2
1513256610,1,4
1513260209,3,5
1513263811,2,0
1513267350,1,0
1513271009,2,1
1513274609,2,1
1513278209,3,1
1513281810,3,4
1513285410,3,4
1513289010,1,1
1513292549,1,3
1513296149,1,0
1513299752,3,3
1513303410,1,0
1513310550,0,1
1513314151,2,2
1513317752,2,4
1513321350,1,3
1513325011,5,5
1513328551,6,5
1513332211,2,5
1513335811,3,1
1513339411,2,2
1513342951,5,2
1513346551,0,5
1513350210,3,2
1513353750,5,4
1513357350,2,3
1513361011,3,2
1513364550,3,1
1513368211,4,6
1513371750,7,0
1513375350,1,3
1513378952,4,4
1513382612,2,1
1513386157,2,2
1513389811,3,2
1513393411,2,2
1513396951,0,3
1513400551,3,2
1513404151,2,3
1513407752,2,3
1513411411,3,4
1513415011,2,4
1513418611,2,1
1513422211,4,6
1513425753,3,1
1513429351,2,12
1513432951,2,2
1513436611,3,1
1513440151,3,3
1513443811,3,2
1513447351,2,1
1513451011,1,2
1513458212,2,3
1513461812,2,5
1513465352,2,0
1513468953,2,2
1513476152,0,3
1513479813,2,1
1513483413,1,1
1513486952,2,2
1513490552,6,3
