DateTime,AddedIPs,RemovedIPs
1508095461,5,0
1508110811,1,0
1508114658,1,0
1508118513,3,0
1508122332,1,0
1508133867,1,0
1508137706,2,0
1508141549,2,0
1508153059,1,0
1508176102,2,0
1508179961,1,0
1508191474,1,0
1508199165,2,0
1508203265,1,0
1508210921,1,0
1508233983,1,3
1508253177,3,2
1508260856,1,1
1508280286,0,1
1508288224,0,1
1508295928,1,1
1508299737,1,0
1508307400,0,1
1508319180,0,1
1508323025,3,2
1508354197,1,0
1508358016,0,2
1508361874,1,1
1508369545,1,0
1508373418,1,0
1508377236,0,1
1508431008,2,0
1508438668,1,2
1508442510,1,0
1508446353,1,0
1508454049,0,2
1508457902,0,1
1508469657,0,1
1508473462,0,1
1508481647,1,1
1508497278,1,3
1508516453,2,0
1508520280,0,1
1508528670,2,0
1508540184,1,0
1508547871,0,1
1508551716,0,3
1508555562,0,1
1508570787,3,1
1508574636,1,0
1508609312,0,1
1508613319,0,1
1508617008,1,0
1508620842,1,0
1508636427,1,1
1508644386,0,2
1508648195,0,1
1508671222,1,0
1508678911,2,1
1508682774,3,0
1508686615,1,1
1508698128,2,1
1508706288,1,1
1508710092,1,1
1508713991,1,0
1508718044,1,1
1508721880,0,2
1508729557,2,3
1508733400,3,2
1508737464,3,0
1508741329,1,0
1508748982,1,0
1508752842,1,0
1508772042,1,0
1508775882,0,1
1508791251,0,1
1508802757,1,2
1508810445,1,3
1508814269,2,1
1508830143,2,1
1508833969,1,0
1508841645,0,1
1508849323,0,1
1508853166,1,1
1508874050,3,0
1508877880,1,1
1508881736,1,1
1508885572,1,1
1508889430,0,2
1508893245,1,3
1508897090,0,1
1508900793,1,1
1508904531,0,1
1508935230,1,0
1508939070,2,1
1508942921,0,1
1508958993,1,0
1508962847,1,0
1508966670,1,0
1508970510,1,1
1508986351,0,2
1508997891,1,0
1509005558,1,0
1509009407,2,1
1509020899,3,2
1509024752,3,3
1509032366,1,3
1509039879,1,0
1509047560,0,1
1509060593,1,1
1509068448,0,1
1509087405,1,0
1509091251,5,4
1509098914,1,3
1509102762,1,1
1509110689,0,2
1509114756,0,1
1509122457,1,0
1509130101,0,1
1509133961,2,1
1509137820,0,1
1509145480,1,0
1509149806,0,2
1509153639,0,2
1509161301,1,1
1509169003,1,0
1509172839,0,1
1509184421,1,0
1509188178,1,1
1509199712,0,2
1509222999,2,2
1509227519,1,0
1509240273,0,189
1509244118,1,0
1509247972,2,0
1509251811,1,0
1509255644,2,0
1509263271,1,0
1509267168,1,0
1509278672,1,0
1509286345,3,0
1509305558,2,0
1509309388,1,0
1509313250,1,0
1509325011,3,0
1509332675,2,0
1509336504,2,0
1509340368,1,0
1509348043,2,0
1509359564,2,0
1509363398,1,0
1509367225,1,0
1509374906,1,0
1509378762,1,0
1509386436,3,0
1509394117,2,0
1509409462,1,0
1509417148,1,0
1509420972,1,0
1509424823,1,0
1509474509,2,0
1509498518,1,0
1509502363,1,0
1509517701,1,0
1509536908,1,0
1509544845,1,0
1509772602,2,0
1509784101,1,0
1509814810,1,0
1509826338,1,0
1509868585,1,0
1509872445,1,0
1509899783,1,0
1509903621,1,0
1509911348,1,0
1509915170,2,0
1509930750,2,0
1509961460,1,0
1509969157,1,0
1510020276,1,0
1510094206,1,0
1510098030,2,0
1510109557,1,0
1510113379,1,0
1510117246,1,0
1510121071,2,0
1510124913,2,0
1510128735,1,0
1510151785,2,0
1510171259,1,0
1510178932,1,0
1510190669,1,0
1510229328,1,0
1510240848,1,0
1510268154,1,0
1510306587,1,0
1510314259,2,0
1510333475,1,0
1510371877,1,0
1510453243,1,0
1510464740,1,0
1510491882,1,0
1510519231,1,0
1510554047,1,0
1510557870,1,0
1510615472,1,0
1510630830,1,0
1510634672,1,0
1510642359,1,0
1510661597,1,0
1510670190,1,0
1510693380,1,0
1510709088,1,0
1510716778,2,0
1510720617,1,0
1510724447,2,0
1510735953,1,0
1510785972,1,0
1510789737,1,0
1510793544,0,1
1510828828,2,1
1510836538,1,1
1510848055,0,1
1510859570,1,0
1510863393,0,1
1510874715,0,1
1510882384,0,1
1510893873,1,0
1510897711,1,0
