DateTime,AddedIPs,RemovedIPs
1512589017,23,7
1512602845,36,13
1512606766,16,5
1512610850,42,38
1512614679,15,20
1512618517,12,13
1512622380,25,35
1512626206,5,7
1512630057,4,9
1512633862,4,4
1512637710,10,19
1512641550,2,4
1512645409,2,3
1512649493,11,12
1512653300,7,22
1512657284,18,2
1512661508,10,17
1512665302,5,13
1512669198,6,10
1512673026,2,5
1512680680,10,19
1512684530,15,23
1512688888,15,22
1512696511,32,51
1512704280,31,37
1512708032,14,16
1512711884,19,28
1512715716,7,9
1512719564,20,16
1512723416,26,44
1512727254,19,29
1512731345,13,18
1512735350,12,18
1512739255,14,19
1512743096,18,24
1512747178,9,15
1512750996,11,12
1512754857,1,0
1512758668,12,11
1512762506,8,11
1512766371,12,3
1512770464,7,1
1512774600,9,2
1512778397,5,3
1512782231,12,9
1512786072,7,6
1512789869,6,6
1512793734,20,18
1512797593,9,7
1512805225,16,10
1512809103,4,4
1512813004,10,6
1512816767,2,0
1512820589,4,5
1512824452,5,1
1512828287,3,3
1512832248,4,2
1512836230,9,2
1512840055,11,12
1512843879,20,16
1512847733,9,21
1512851564,13,29
1512855753,13,22
1512859476,6,7
1512863318,17,22
1512867197,22,29
1512870991,8,12
1512874882,22,26
1512878674,10,25
1512882530,8,12
1512886375,10,6
1512890228,11,5
1512894075,18,4
1512897911,7,1
1512901734,18,15
1512905578,10,10
1512909663,6,10
1512913483,6,13
1512917324,10,16
1512921154,5,12
1512925006,9,13
1512928863,6,15
1512933251,13,13
1512937010,8,10
1512940839,11,14
1512944676,13,12
1512948525,11,15
1512952370,13,5
1512956187,18,19
1512960288,3,4
1512964114,6,4
1512967953,10,7
1512971806,15,3
1512975683,11,3
1512979497,12,8
1512983340,8,0
1512987255,26,11
1512991007,16,11
1512994861,26,25
1512998691,17,24
1513002581,28,25
1513006488,25,25
1513010224,15,32
1513014054,21,15
1513018118,30,21
1513022218,16,18
1513026083,8,9
1513029900,13,11
1513033722,13,13
1513037591,4,7
1513041398,12,25
1513045248,9,11
1513049119,13,10
1513052928,94,43
1513056790,45,26
1513060621,59,33
1513064453,40,28
1513068291,59,20
1513072119,72,32
1513075999,44,50
1513079812,63,64
1513083652,80,72
1513087485,61,62
1513091336,77,78
1513095177,27,29
1513099005,14,40
1513103075,10,25
1513106926,10,22
1513110800,13,36
1513114643,16,39
1513118508,11,29
1513122557,6,16
1513126627,6,7
1513130482,4,14
1513134287,5,11
1513138158,13,40
1513141982,12,19
1513145835,17,45
1513149688,13,30
1513153511,20,8
1513157379,13,11
1513161206,15,14
1513165034,20,12
1513168863,11,5
1513172681,14,23
1513176523,21,20
1513180373,18,16
1513184478,5,6
1513188313,11,6
1513192142,12,3
1513196246,18,21
1513200068,21,17
1513203959,16,21
1513207987,15,14
1513215656,26,23
1513219481,9,12
1513223314,11,7
1513227163,8,10
1513231017,6,6
1513234908,12,20
1513242553,20,30
1513246387,6,5
1513250200,21,7
1513254316,20,8
1513258149,17,10
1513262010,5,4
1513265825,9,4
1513269876,26,17
1513273755,11,2
1513277604,21,14
1513281423,8,3
1513285265,7,4
1513288993,2,0
1513293005,7,5
1513297067,7,7
1513301095,4,5
1513304952,12,11
1513308794,6,2
1513312624,6,4
1513316476,8,7
1513320301,14,14
1513324129,19,28
1513327978,11,14
1513331824,10,20
1513335691,11,17
1513339507,8,15
1513343592,5,11
1513347671,8,16
1513351499,8,10
1513355440,14,17
1513359182,17,30
1513363029,18,28
1513366857,17,19
1513370718,17,23
1513375101,12,5
1513378905,11,11
1513382691,12,18
1513386804,7,5
1513390620,9,6
1513394708,16,14
1513398552,8,5
1513402416,20,18
1513406239,8,8
1513410302,5,12
1513414145,9,8
1513417978,17,22
1513421808,10,10
1513425705,6,7
1513429516,11,8
1513433597,10,6
1513437402,8,5
1513441312,8,6
1513448943,12,8
1513452814,10,4
1513456661,3,2
1513460459,5,1
1513464320,2,1
1513468143,8,5
1513471971,11,7
1513476068,9,6
1513479897,13,7
1513483732,5,4
1513487569,10,9
1513491409,3,4
1513495236,1,1
1513499092,3,4
1513502969,5,4
1513506772,4,6
1513514439,9,8
1513518274,7,5
1513522365,8,5
1513526182,3,3
1513529894,7,12
1513533895,7,12
1513537750,4,9
1513541585,11,14
1513545425,7,8
1513549140,11,10
1513552828,6,7
1513556681,7,8
1513560553,4,11
1513564389,5,3
1513568228,4,4
1513572064,12,14
1513575882,2,7
1513579728,4,9
1513583569,9,12
1513587417,9,7
1513591274,17,7
1513595102,4,11
1513599066,6,5
1513602783,8,5
1513606866,10,2
1513614537,9,12
1513618625,3,2
1513622452,7,4
1513626288,9,10
1513630138,3,0
1513633969,9,11
1513641661,11,13
1513645512,8,3
1513653194,17,11
1513660870,18,14
1513664698,7,7
1513668552,4,6
1513676475,12,11
1513680279,3,2
1513684134,8,14
1513687980,5,7
1513691818,2,6
1513695909,7,16
1513699745,10,4
1513703583,7,4
1513707427,6,4
1513711499,5,4
1513715341,4,12
1513719188,3,3
1513723022,5,8
1513727097,10,8
1513730947,6,10
1513734784,6,6
1513738628,18,17
1513742485,10,8
1513746292,7,5
1513750138,10,4
1513753990,12,6
1513758056,17,14
1513761933,14,18
1513766001,5,16
1513770071,8,9
1513773877,11,12
1513777743,16,12
1513781581,15,14
1513785395,28,26
1513789328,16,11
1513793129,16,21
1513796934,12,9
1513800762,21,17
1513804593,16,10
1513808467,23,16
1513812996,18,9
1513816867,19,14
1513820663,5,9
1513824531,13,9
1513828388,14,10
1513832257,21,18
1513836108,13,19
1513839914,11,22
1513843783,3,12
1513847631,10,17
1513851464,9,13
1513855530,3,6
1513859698,9,8
1513863691,7,7
1513867770,8,7
1513871606,13,5
1513875602,6,13
1513883370,7,13
1513887449,5,9
1513891276,6,2
1513895361,7,5
1513899230,9,6
1513906863,20,13
1513910722,11,9
1513914553,16,15
1513918396,20,12
1513922250,9,10
1513930179,25,13
1513934255,6,1
1513938114,10,12
1513941953,11,38
1513945751,14,23
1513949634,22,7
1513957299,22,20
1513961134,15,16
1513964967,15,13
1513968803,26,27
1513972654,18,19
1513976502,12,11
1513980305,14,13
1513984227,16,6
1513988028,14,10
1513991834,20,16
1513995682,13,19
1513999528,12,19
1514003380,9,15
1514007265,14,15
1514011025,15,11
1514014864,14,16
1514018712,18,19
1514022536,11,15
1514030256,21,27
1514034114,8,7
1514038205,5,6
1514041992,4,3
1514045846,9,8
1514049679,3,2
1514053551,7,8
1514057603,2,2
1514061436,5,7
1514065494,4,6
1514069364,5,6
1514077015,17,28
1514080893,4,8
1514084708,4,10
1514088561,15,6
1514092419,13,4
1514096228,9,3
1514100318,10,6
1514104396,14,3
1514112067,25,15
1514115898,11,20
1514119742,5,12
1514123600,12,8
1514127466,17,16
1514131281,13,8
1514135137,11,5
1514142811,18,14
1514146639,12,17
1514154584,27,15
1514159105,4,5
1514166970,14,15
1514174692,15,13
1514178593,11,21
1514182421,11,18
1514186270,13,17
1514190067,13,17
1514193910,19,10
1514197750,6,16
1514202511,17,15
1514210543,27,22
1514214298,7,6
1514218193,11,11
1514222243,14,12
1514226069,11,13
1514233744,50,39
1514237613,12,11
1514241671,19,21
1514245538,25,23
1514249340,24,20
1514253192,19,29
1514257040,16,20
1514260911,14,13
1514264727,13,11
1514268572,11,11
1514272429,13,11
1514276261,12,14
1514280086,10,8
1514283981,18,21
1514288041,19,23
1514291840,15,20
1514295758,10,16
1514299512,13,12
1514303339,11,17
1514311027,22,26
1514314764,22,24
1514318521,21,21
1514330256,36,35
1514334330,9,11
1514338160,10,8
1514341990,5,5
1514345856,6,6
1514349685,7,3
1514353533,11,8
1514357355,7,7
1514361216,6,8
1514365049,12,6
1514369099,17,18
1514372973,9,12
1514377068,9,12
1514381163,11,13
1514385228,6,4
1514389299,4,4
1514393111,5,7
1514405613,18,16
1514409472,3,8
1514413274,9,9
1514417142,8,10
1514420970,8,17
1514424835,5,16
1514436532,14,14
1514444269,16,10
1514451900,16,5
1514455829,2,2
1514459872,3,2
1514463964,5,4
1514467782,6,8
1514471613,5,2
1514475370,6,7
1514479491,4,1
1514483365,3,2
1514491016,24,15
1514494885,11,11
1514502581,21,12
1514506630,6,7
1514510482,10,11
1514514283,4,1
1514518183,10,4
1514522025,6,3
1514525841,5,6
1514529928,6,13
1514533785,8,5
1514537878,9,11
1514541682,7,9
1514545507,8,6
1514549497,7,13
1514553449,10,7
1514568837,26,32
1514572638,4,3
1514576341,6,1
1514580345,8,0
1514584185,8,6
1514588263,11,8
1514595931,18,11
1514600037,5,3
1514603815,15,15
1514607643,6,4
1514611500,7,6
1514615376,5,3
1514626881,27,21
1514630774,10,7
1514634556,7,5
1514638431,4,10
1514642225,4,5
1514646127,4,10
1514649939,2,7
1514653778,5,14
1514666009,80,53
1514673965,45,26
1514677797,22,19
1514681637,26,25
1514685443,26,25
1514689322,12,18
1514693139,12,22
1514696979,9,8
1514700816,11,9
1514704902,17,21
1514708719,16,20
1514712566,13,20
1514716531,19,8
