DateTime,Entries,UniqueIPs
1512589017,320,320
1512602845,343,343
1512606766,354,354
1512610850,358,358
1512614679,353,353
1512618517,352,352
1512622380,342,342
1512626206,340,340
1512630057,335,335
1512633862,335,335
1512637710,326,326
1512641550,324,324
1512645409,323,323
1512649493,322,322
1512653300,307,307
1512657284,323,323
1512661508,316,316
1512665302,308,308
1512669198,304,304
1512673026,301,301
1512680680,292,292
1512684530,284,284
1512688888,277,277
1512696511,258,258
1512704280,252,252
1512708032,250,250
1512711884,241,241
1512715716,239,239
1512719564,243,243
1512723416,225,225
1512727254,215,215
1512731345,210,210
1512735350,204,204
1512739255,199,199
1512743096,193,193
1512747178,187,187
1512750996,186,186
1512754857,187,187
1512758668,188,188
1512762506,185,185
1512766371,194,194
1512770464,200,200
1512774600,207,207
1512778397,209,209
1512782231,212,212
1512786072,213,213
1512789869,213,213
1512793734,215,215
1512797593,217,217
1512805225,223,223
1512809103,223,223
1512813004,227,227
1512816767,229,229
1512820589,228,228
1512824452,232,232
1512828287,232,232
1512832248,234,234
1512836230,241,241
1512840055,240,240
1512843879,244,244
1512847733,232,232
1512851564,216,216
1512855753,207,207
1512859476,206,206
1512863318,201,201
1512867197,194,194
1512870991,190,190
1512874882,186,186
1512878674,171,171
1512882530,167,167
1512886375,171,171
1512890228,177,177
1512894075,191,191
1512897911,197,197
1512901734,200,200
1512905578,200,200
1512909663,196,196
1512913483,189,189
1512917324,183,183
1512921154,176,176
1512925006,172,172
1512928863,163,163
1512933251,163,163
1512937010,161,161
1512940839,158,158
1512944676,159,159
1512948525,155,155
1512952370,163,163
1512956187,162,162
1512960288,161,161
1512964114,163,163
1512967953,166,166
1512971806,178,178
1512975683,186,186
1512979497,190,190
1512983340,198,198
1512987255,213,213
1512991007,218,218
1512994861,219,219
1512998691,212,212
1513002581,215,215
1513006488,215,215
1513010224,198,198
1513014054,204,204
1513018118,213,213
1513022218,211,211
1513026083,210,210
1513029900,212,212
1513033722,212,212
1513037591,209,209
1513041398,196,196
1513045248,194,194
1513049119,197,197
1513052928,248,248
1513056790,267,267
1513060621,293,293
1513064453,305,305
1513068291,344,344
1513072119,384,384
1513075999,378,378
1513079812,377,377
1513083652,385,385
1513087485,384,384
1513091336,383,383
1513095177,381,381
1513099005,355,355
1513103075,340,340
1513106926,328,328
1513110800,305,305
1513114643,282,282
