DateTime,AddedIPs,RemovedIPs
1512457475,4,3
1512461309,7,35
1512465149,22,17
1512469210,19,27
1512472918,43,36
1512476683,34,19
1512480511,12,4
1512484377,15,44
1512488181,17,10
1512492035,20,1
1512495870,36,13
1512499730,60,20
1512503808,53,47
1512507651,35,9
1512511487,16,30
1512515560,23,40
1512519401,15,24
1512523232,27,75
1512527071,38,42
1512530908,39,28
1512534780,35,19
1512538615,12,26
1512542440,16,24
1512546273,20,20
1512550137,13,5
1512553961,54,60
1512557809,43,15
1512561650,37,68
1512565484,27,31
1512569333,144,130
1512573422,184,242
1512577238,209,221
1512581064,194,204
1512584970,177,185
1512589021,152,130
1512602858,258,257
1512606774,53,34
1512610853,59,36
1512614685,154,97
1512618522,167,114
1512622384,116,114
1512626212,191,309
1512630071,302,278
1512633865,303,323
1512637717,291,301
1512641556,317,293
1512645413,304,315
1512649514,323,307
1512653309,197,231
1512657295,179,284
1512661525,208,184
1512665309,228,207
1512669205,213,229
1512673034,218,213
1512680687,186,181
1512684538,232,223
1512688896,281,228
1512696524,169,271
1512704287,132,121
1512708044,195,181
1512711893,194,192
1512715729,137,53
1512719575,60,24
1512723428,80,81
1512727263,74,65
1512731365,149,184
1512735364,144,156
1512739267,166,168
1512743106,54,64
1512747190,169,239
1512751014,163,205
1512754874,193,156
1512758681,237,204
1512762517,232,237
1512766378,200,231
1512770480,232,201
1512774613,232,231
1512778412,229,232
1512782243,214,230
1512786089,247,214
1512789881,221,247
1512793750,217,219
1512797610,229,219
1512805234,211,209
1512809110,212,230
1512813012,223,213
1512816776,230,222
1512820608,259,231
1512824468,252,258
1512828297,242,252
1512832263,256,243
1512836238,272,256
1512840063,183,146
1512843892,229,241
1512847741,156,182
1512851575,131,152
1512855762,143,131
1512859491,142,145
1512863328,83,71
1512871004,175,161
1512874907,52,52
1512878687,57,65
1512882541,35,21
1512886389,19,42
1512890243,35,33
1512894091,57,54
1512897922,130,93
1512901748,130,170
1512905594,209,232
1512909673,247,247
1512913501,249,239
1512917332,226,257
1512921163,246,224
1512925016,233,235
1512928877,211,216
1512933267,259,222
1512937025,185,183
1512940852,133,164
1512944688,125,124
1512948539,117,111
1512952389,129,130
1512956198,124,130
1512960295,171,247
1512964125,190,172
1512967963,203,190
