DateTime,AddedIPs,RemovedIPs
1512334618,320,306
1512338524,335,320
1512342753,330,335
1512346469,324,330
1512350250,316,324
1512354048,96,316
1512357900,344,96
1512361732,321,343
1512369405,293,322
1512373247,299,293
1512377095,304,299
1512380921,451,304
1512384743,450,450
1512388599,449,450
1512392439,450,449
1512396123,449,449
1512399883,449,449
1512403731,343,343
1512407569,2,2
1512411410,17,17
1512415259,179,179
1512419091,195,196
1512422926,213,215
1512426756,96,96
1512430589,2,2
1512434415,1,2
1512438260,3,5
1512442097,102,102
1512445952,180,183
1512449779,200,195
1512453618,78,79
1512461312,7,9
1512465151,4,7
1512469213,114,116
1512472925,137,139
1512476685,89,91
1512480515,2,7
1512484379,3,3
1512488184,2,2
1512492038,1,7
1512495873,153,137
1512499733,205,204
1512503812,214,209
1512507653,147,149
1512511489,3,4
1512515562,5,7
1512519404,5,7
1512523235,68,69
1512527076,204,198
1512530910,231,224
1512534783,185,192
1512538621,4,6
1512542444,5,7
1512546277,3,4
1512550139,70,69
1512553965,176,170
1512557812,229,230
1512561655,134,134
1512565487,63,84
1512569342,312,422
1512573427,320,314
1512577244,317,320
1512581067,322,317
1512584977,306,322
1512589024,308,306
1512602871,331,307
1512606782,339,330
1512610858,326,341
1512614688,357,325
1512618528,324,357
1512622388,335,325
1512626216,348,335
1512630088,341,348
1512633868,306,341
1512637722,310,306
1512641558,297,303
1512645420,306,302
1512649534,324,307
1512653318,236,324
1512657308,230,237
1512661540,238,230
1512665315,216,238
1512669210,218,216
1512673043,223,218
1512680696,236,208
1512684547,261,251
1512688904,247,260
1512696538,223,222
1512704294,190,223
1512708056,221,216
1512711900,226,221
1512715743,209,226
1512719583,282,209
1512723441,254,281
1512727274,233,254
1512731383,288,234
1512735382,262,288
1512739283,250,262
1512743116,257,250
1512747202,245,257
1512751032,245,245
1512754891,220,245
1512758688,224,220
1512762525,222,224
1512766385,218,222
1512770496,265,218
1512774628,258,265
1512778429,274,258
1512782259,277,274
1512786105,263,276
1512789894,278,264
1512793763,266,278
1512797629,277,265
1512805244,243,277
1512809120,221,244
1512813021,230,221
1512816788,226,230
1512820623,244,226
1512824480,248,242
1512828309,251,250
1512832279,263,251
1512836248,241,263
1512840071,228,241
1512843900,226,228
1512847750,239,226
1512851585,224,239
1512855771,257,223
1512859508,276,256
1512863340,250,277
1512871018,240,251
1512874936,232,240
1512878700,235,232
1512882550,232,235
1512886400,227,232
1512890253,226,227
1512894112,249,226
1512897932,270,249
1512901764,252,270
1512905612,265,251
1512909684,215,266
1512913512,219,215
1512917340,221,219
1512921173,202,221
1512925027,262,202
1512928896,241,262
1512933283,268,241
1512937040,261,267
1512940865,276,261
1512944699,266,277
1512948554,267,266
1512952407,279,267
1512956208,217,279
1512960304,217,217
1512964138,216,217
1512967973,219,216
1512971830,212,217
1512975737,215,214
1512979531,238,215
1512983371,227,238
1512987281,220,227
1512991037,236,220
1512994887,206,236
1512998742,219,206
1513002625,221,217
1513006526,240,222
1513010267,240,241
1513014075,218,240
1513018141,230,218
1513022234,196,230
1513026128,192,196
1513029924,184,192
1513033751,246,184
1513037613,200,246
1513041416,208,200
1513045265,210,208
1513052966,242,210
1513064479,208,217
1513068318,225,233
1513072142,241,219
1513079835,228,247
1513083704,241,228
1513087510,209,241
1513095210,205,209
1513099034,224,205
1513103108,190,224
1513106948,191,190
1513110845,218,191
1513114691,250,218
1513118545,265,250
1513122584,242,265
1513126659,239,242
1513130529,231,239
1513134314,251,231
1513138190,206,251
1513145860,207,206
1513149736,200,207
1513161244,213,165
1513165083,234,248
1513168910,245,234
1513172707,213,245
1513176545,208,213
1513180392,221,208
1513184507,222,221
1513188336,214,222
1513192184,247,214
1513196280,260,247
1513200096,257,260
1513204002,250,257
1513208032,255,250
1513215701,240,255
1513219508,227,240
1513223335,206,227
1513227188,216,206
1513231047,214,216
1513234973,247,214
1513242591,236,247
1513246430,247,235
1513250233,236,248
1513254347,231,236
1513258177,212,231
1513262059,214,212
1513265848,216,214
1513269902,210,216
1513273783,239,210
1513281470,252,239
1513285334,261,252
1513289033,255,261
1513297109,214,255
1513301126,218,214
1513305003,220,218
1513312645,224,220
1513316507,225,224
1513320332,222,225
1513324163,234,222
1513328005,204,234
1513331846,222,204
1513339531,215,222
1513343632,219,215
1513347713,211,219
1513351533,212,211
1513355463,219,212
1513359224,233,219
1513363083,238,233
1513366902,229,238
1513370748,233,229
1513375143,222,233
1513382723,221,222
1513386842,210,221
1513390651,215,210
1513394755,228,215
1513398580,222,228
1513406281,233,222
1513410334,226,233
1513414176,212,225
1513418013,250,213
1513421846,246,247
1513425733,242,249
1513429556,244,238
1513433657,240,242
1513437432,235,242
1513441362,260,239
1513448991,265,260
1513460491,257,265
1513464382,240,257
1513468180,260,240
1513472007,274,260
1513479934,271,274
1513483781,269,271
1513487619,266,269
1513491451,270,266
1513495280,259,257
1513499122,257,272
1513506814,253,257
1513514472,239,253
1513518299,258,239
1513522398,262,258
1513526211,272,262
1513529918,261,272
1513533955,268,261
1513537807,318,268
1513541652,308,318
1513545469,292,308
1513549170,297,292
1513552862,296,296
1513556742,283,282
1513564441,289,298
1513568273,277,275
1513572119,242,264
1513575917,236,238
1513579770,225,237
1513583640,230,242
