DateTime,AddedIPs,RemovedIPs
1511184846,0,5
1511188645,0,4
1511196350,1,1
1511204048,2,0
1511215575,1,1
1511219663,1,0
1511227589,0,1
1511235302,1,0
1511242888,1,1
1511246748,0,2
1511250582,2,3
1511258199,2,2
1511282013,1,0
1511285910,0,1
1511289722,2,0
1511293545,0,3
1511305061,1,1
1511320682,0,2
1511324492,1,2
1511332165,1,0
1511335993,0,1
1511343664,1,1
1511347517,1,1
1511351344,5,0
1511359042,0,1
1511362863,0,1
1511370561,0,1
1511382079,1,3
1511385921,1,1
1511403274,1,4
1511418617,2,1
1511430146,1,1
1511434005,1,0
1511453429,1,1
1511457263,1,0
1511461561,5,1
1511465366,4,1
1511469214,0,1
1511484879,0,2
1511488696,1,0
1511496390,1,1
1511504026,2,2
1511507855,0,1
1511511730,1,0
1511515517,0,2
1511646151,7,1
1511661495,2,0
1511676893,1,3
1511684477,1,0
1511688323,1,0
1511695977,1,2
1511716780,1,1
1511720535,2,4
1511732006,1,0
1511735865,3,0
1511739683,1,0
1511743535,0,1
1511747315,1,0
1511751198,1,0
1511759181,1,0
1511762955,1,0
1511770618,1,1
1511778345,1,2
1511790598,1,0
1511798245,5,0
1511802132,2,4
1511805902,6,2
1511813620,18,0
1511817427,5,0
1511821267,3,1
1511825136,3,1
1511832893,5,1
1511836740,2,3
1511840472,3,2
1511844297,0,3
1511848179,1,1
1511852017,1,0
1511855892,2,0
1511867404,2,2
1511871459,2,0
1511879112,0,1
1511886846,4,4
1511890652,2,0
1511894475,8,2
1511898340,1,2
1511902163,1,0
1511905990,4,0
1511913844,4,0
1511917622,1,1
1511921441,3,2
1511925207,4,0
1511932938,0,1
1511936722,2,2
1511940673,0,3
1511944468,2,2
1511948336,1,1
1511952124,1,3
1511955960,3,0
1511959736,2,0
1511963666,3,1
1511967511,1,0
1511971323,2,0
1511975097,1,1
1511979000,2,0
1511982862,5,0
1511990529,11,4
1512014054,20,4
1512033241,6,5
1512037077,1,2
1512052460,7,1
1512060113,5,3
1512067767,5,0
1512071858,9,1
1512075783,4,1
1512083399,9,1
1512087266,2,1
1512098804,3,0
1512102566,2,5
1512106378,2,2
1512114368,1,2
1512118250,3,4
1512122033,1,1
1512125886,2,5
1512137512,6,9
1512141292,3,4
1512145133,0,1
1512152808,8,6
1512168174,14,14
1512176095,6,2
1512179875,4,2
1512183775,1,0
1512187578,1,1
1512195268,8,3
1512199141,2,0
1512202971,1,0
1512218526,10,3
1512222357,0,1
1512226220,4,6
1512230108,7,9
1512233887,5,6
1512241576,5,4
1512249269,7,2
1512253153,8,4
1512257008,9,4
1512260823,2,0
1512264854,7,2
1512268743,3,2
1512272573,4,3
1512284027,14,14
1512287891,3,2
1512295648,4,10
1512311199,22,15
1512315001,9,5
1512318885,6,4
1512322873,2,0
1512326787,4,5
1512330877,4,6
1512334657,5,6
1512338562,6,5
1512342788,4,6
1512350287,8,6
1512354053,2,276
1512357909,10,0
1512361742,3,0
1512369413,14,0
1512373254,4,0
1512377099,1,0
1512380925,2,0
1512384748,4,0
1512388605,1,0
1512392449,2,0
1512396130,2,0
1512399886,2,0
1512403733,2,0
1512407571,1,0
1512411414,3,0
1512419095,3,0
1512422929,13,0
1512426759,7,0
1512430593,7,0
1512434417,6,0
1512438263,12,0
1512442100,2,0
1512445956,4,0
1512449782,8,0
1512453622,4,0
1512457481,1,0
1512461318,7,0
1512465154,2,0
1512469216,1,0
1512488187,1,0
1512492041,1,0
1512495876,1,0
1512499737,1,0
1512503815,2,0
1512507657,1,0
1512511492,3,0
1512515565,4,0
1512519407,6,0
1512523238,6,0
1512527083,2,0
1512530914,15,0
1512538624,3,0
1512542448,2,0
1512546283,3,0
1512553971,4,0
1512557817,2,0
1512561664,1,0
1512565492,2,0
1512569351,3,0
1512573438,2,0
1512577248,3,0
1512589030,1,0
1512602887,1,0
1512606788,2,1
1512610864,1,2
1512614695,2,2
1512622395,4,5
1512630111,1,2
1512633873,0,1
1512637728,0,1
1512641563,1,2
1512645427,0,2
1512653330,1,6
1512657327,1,0
1512665325,1,3
1512669221,2,3
1512673054,1,7
1512680715,3,4
1512684558,2,3
1512688921,4,6
1512696554,8,9
1512704304,9,5
1512708073,8,6
1512711910,5,4
1512715762,0,3
1512719594,3,3
1512723457,2,3
1512727286,1,2
1512735405,2,1
1512739302,3,4
1512747219,0,2
1512754911,3,0
1512758703,4,4
1512762535,11,7
1512766402,10,6
1512770519,2,10
1512774649,3,4
1512778451,5,5
1512782279,1,5
1512786130,5,5
1512789907,2,2
1512793785,3,2
1512797654,6,3
1512805256,4,3
1512809132,5,2
1512813033,3,2
1512816802,4,4
1512820642,3,4
1512824503,9,4
1512828324,1,0
1512832302,11,0
1512836264,0,2
1512843918,1,1
1512855793,0,1
1512859526,0,1
1512863358,1,0
1512871040,1,1
1512878718,1,0
1512882566,1,0
1512886418,2,0
1512890272,1,0
1512905637,1,0
1512913525,2,0
1512917351,0,1
1512921188,1,0
1512928924,1,0
1512933311,2,0
1512937062,5,3
1512940886,7,4
1512944713,7,2
1512948576,7,5
1512952433,4,6
1512956223,4,3
1512960316,4,10
1512964152,8,7
1512967988,3,4
1512971842,5,2
1512979557,12,5
1512983389,3,0
