DateTime,AddedIPs,RemovedIPs
1512266211,4,5
1512270053,3,2
1512273895,2,4
1512277744,1,0
1512281590,4,14
1512285394,3,5
1512289255,2,3
1512293081,3,3
1512296921,2,5
1512300767,5,1
1512304590,3,3
1512312301,5,7
1512316386,1,1
1512320202,6,4
1512324079,6,3
1512327877,2,0
1512331699,8,2
1512335575,3,4
1512339401,0,4
1512343511,0,2
1512347329,2,4
1512355010,1,204
1512358838,8,0
1512362661,9,0
1512366526,12,0
1512370360,5,0
1512374182,6,0
1512378042,8,0
1512381887,3,0
1512385726,3,0
1512389726,6,0
1512393638,7,0
1512397356,2,0
1512401071,4,0
1512405171,7,0
1512409015,2,0
1512413454,5,0
1512417136,3,0
1512420976,6,0
1512424843,1,0
1512428919,1,0
1512432779,2,0
1512440454,2,0
1512444282,1,0
1512448103,2,0
1512451959,4,0
1512455783,4,0
1512459639,3,0
1512463479,3,0
1512467313,3,0
1512471136,1,0
1512474978,5,0
1512478833,2,0
1512482673,4,0
1512486536,3,0
1512490357,2,0
1512494187,4,0
1512498035,7,0
1512501886,10,0
1512505734,7,0
1512509575,1,0
1512513412,2,0
1512517429,3,0
1512521321,5,0
1512528990,3,0
1512532930,1,0
1512536682,1,0
1512540529,1,0
1512544362,6,3
1512548199,2,2
1512552028,2,7
1512555907,4,1
1512559705,3,3
1512563569,2,10
1512567403,5,2
1512571487,5,3
1512575312,10,10
1512579149,3,4
1512582992,7,7
1512586852,4,5
1512590673,2,2
1512602903,7,2
1512606803,0,1
1512610884,6,3
1512614706,2,1
1512618546,2,2
1512622406,4,1
1512626237,4,2
1512630153,1,1
1512633883,6,5
1512637742,3,4
1512641573,8,5
1512645446,2,0
1512653352,14,13
1512657369,4,4
1512665345,6,12
1512669239,6,4
1512673078,5,5
1512680751,10,8
1512684582,3,1
1512688962,2,0
1512696589,9,2
1512704328,9,2
1512708107,8,8
1512711934,2,1
1512715817,2,6
1512719621,2,3
1512723491,4,1
1512727319,2,12
1512739341,10,22
1512743171,4,4
1512747259,1,8
1512751089,1,5
1512754951,6,2
1512758741,7,2
1512762568,7,5
1512766426,2,4
1512770578,3,4
1512774690,1,0
1512778494,1,0
1512782312,1,1
1512786182,2,2
1512789944,2,3
1512793828,4,0
1512797696,2,4
1512805281,8,9
1512809158,4,5
1512813077,1,3
1512820678,4,4
1512824546,6,5
1512828357,2,5
1512832352,3,9
1512836292,7,7
1512840117,3,4
1512843947,2,3
1512847802,12,2
