DateTime,Entries,UniqueIPs
1512266211,214,214
1512270053,215,215
1512273895,213,213
1512277744,214,214
1512281590,204,204
1512285394,202,202
1512289255,201,201
1512293081,201,201
1512296921,198,198
1512300767,202,202
1512304590,202,202
1512312301,200,200
1512316386,200,200
1512320202,202,202
1512324079,205,205
1512327877,207,207
1512331699,213,213
1512335575,212,212
1512339401,208,208
1512343511,206,206
1512347329,204,204
1512355010,1,1
1512358838,9,9
1512362661,18,18
1512366526,30,30
1512370360,35,35
1512374182,41,41
1512378042,49,49
1512381887,52,52
1512385726,55,55
1512389726,61,61
1512393638,68,68
1512397356,70,70
1512401071,74,74
1512405171,81,81
1512409015,83,83
1512413454,88,88
1512417136,91,91
1512420976,97,97
1512424843,98,98
1512428919,99,99
1512432779,101,101
1512440454,103,103
1512444282,104,104
1512448103,106,106
1512451959,110,110
1512455783,114,114
1512459639,117,117
1512463479,120,120
1512467313,123,123
1512471136,124,124
1512474978,129,129
1512478833,131,131
1512482673,135,135
1512486536,138,138
1512490357,140,140
1512494187,144,144
1512498035,151,151
1512501886,161,161
1512505734,168,168
1512509575,169,169
1512513412,171,171
1512517429,174,174
1512521321,179,179
1512528990,182,182
1512532930,183,183
1512536682,184,184
1512540529,185,185
1512544362,188,188
1512548199,188,188
1512552028,183,183
1512555907,186,186
1512559705,186,186
1512563569,178,178
1512567403,181,181
1512571487,183,183
1512575312,183,183
1512579149,182,182
1512582992,182,182
1512586852,181,181
1512590673,181,181
1512602903,186,186
1512606803,185,185
1512610884,188,188
1512614706,189,189
1512618546,189,189
1512622406,192,192
1512626237,194,194
1512630153,194,194
1512633883,195,195
1512637742,194,194
1512641573,197,197
1512645446,199,199
1512653352,200,200
1512657369,200,200
1512665345,194,194
1512669239,196,196
1512673078,196,196
1512680751,198,198
1512684582,200,200
1512688962,202,202
1512696589,209,209
1512704328,216,216
1512708107,216,216
1512711934,217,217
1512715817,213,213
1512719621,212,212
1512723491,215,215
1512727319,205,205
1512739341,193,193
1512743171,193,193
1512747259,186,186
1512751089,182,182
1512754951,186,186
1512758741,191,191
1512762568,193,193
1512766426,191,191
1512770578,190,190
1512774690,191,191
1512778494,192,192
1512782312,192,192
1512786182,192,192
1512789944,191,191
1512793828,195,195
1512797696,193,193
1512805281,192,192
1512809158,191,191
1512813077,189,189
1512820678,189,189
1512824546,190,190
1512828357,187,187
1512832352,181,181
1512836292,181,181
1512840117,180,180
1512843947,179,179
1512847802,189,189
1512851629,189,189
1512855825,192,192
1512859573,191,191
1512863390,193,193
1512871094,190,190
1512878753,193,193
1512882603,199,199
1512886455,198,198
1512890305,200,200
1512894174,204,204
1512897978,205,205
1512901838,204,204
1512905692,204,204
1512909728,206,206
1512913554,209,209
1512917379,207,207
1512921218,207,207
1512925072,206,206
1512928989,207,207
1512933365,203,203
1512937109,202,202
1512940952,200,200
1512944742,201,201
1512948609,196,196
1512952498,194,194
1512956249,192,192
1512960342,193,193
1512964186,191,191
1512968013,190,190
1512971872,193,193
1512983432,195,195
1512987355,196,196
1512991092,197,197
1512994950,197,197
1513014129,195,195
1513018205,197,197
1513022269,201,201
1513026216,198,198
1513029961,197,197
1513033805,189,189
1513037665,188,188
1513041456,182,182
1513045310,176,176
1513053042,176,176
1513064543,174,174
1513068384,174,174
1513072188,175,175
1513079888,172,172
1513087565,168,168
1513091399,170,170
1513095302,170,170
1513099073,173,173
1513103166,176,176
1513106994,182,182
1513110875,184,184
1513114779,185,185
1513118636,185,185
1513122654,184,184
1513126720,182,182
1513130603,183,183
1513134382,185,185
1513138266,183,183
1513145918,180,180
1513153561,178,178
1513161351,174,174
1513165154,172,172
1513172765,173,173
1513176588,176,176
1513180442,178,178
1513184591,185,185
1513188391,190,190
1513196367,199,199
1513200161,201,201
1513204098,199,199
1513208137,200,200
1513215803,204,204
1513219562,202,202
1513223378,201,201
1513227245,201,201
1513231097,199,199
1513242678,194,194
1513246525,193,193
1513250304,194,194
1513254403,192,192
1513258243,195,195
1513265910,197,197
1513269949,201,201
1513273861,202,202
1513277631,203,203
1513281569,206,206
1513289120,206,206
1513297223,209,209
1513301199,210,210
1513305096,208,208
1513312697,207,207
1513316586,204,204
1513320421,203,203
1513324255,203,203
1513328060,203,203
1513331893,205,205
1513339583,202,202
1513343723,204,204
1513347797,203,203
1513355514,207,207
1513363192,202,202
1513367027,201,201
1513370822,199,199
1513375210,198,198
1513382791,193,193
1513386930,191,191
1513390721,190,190
1513394845,194,194
1513398643,192,192
1513406384,195,195
1513410407,197,197
1513414250,202,202
1513418098,204,204
1513421940,204,204
1513425800,204,204
1513429667,204,204
1513437501,202,202
1513441468,199,199
1513445309,197,197
1513452908,199,199
1513460567,196,196
1513464437,198,198
1513468248,198,198
1513472089,198,198
1513480000,204,204
1513483895,207,207
1513487722,204,204
1513491531,208,208
1513495390,209,209
1513499192,214,214
1513506889,223,223
1513510664,224,224
1513514548,219,219
1513518352,221,221
1513522468,222,222
1513526280,214,214
1513529979,220,220
1513534023,223,223
1513545565,220,220
1513549241,218,218
1513552985,219,219
1513568403,220,220
1513572228,223,223
1513576044,224,224
1513579901,224,224
1513595290,220,220
1513680465,203,203
1513688177,203,203
1513691993,204,204
1513699957,199,199
1513703718,201,201
1513707603,198,198
1513711656,200,200
1513715583,198,198
1513719329,197,197
1513734922,191,191
1513738832,187,187
1513750332,178,178
1513754150,179,179
1513762062,182,182
1513766179,184,184
1513770263,188,188
1513774050,191,191
1513781711,196,196
1513785548,196,196
1513800854,198,198
1513804686,197,197
1513808617,196,196
1513817065,191,191
1513820807,188,188
1513824671,187,187
1513828514,184,184
1513832351,184,184
1513836294,183,183
1513840058,185,185
1513843938,185,185
1513851646,187,187
1513863887,188,188
1513871778,186,186
1513887630,192,192
1513895509,193,193
1513907049,186,186
1513910892,182,182
1513918585,175,175
1513922447,173,173
1513930372,173,173
1513934379,173,173
1513945912,174,174
1513957464,178,178
1513961300,176,176
1513965153,175,175
1513968954,176,176
1513972790,180,180
1513980418,177,177
1513984418,179,179
1513988181,179,179
1513991969,181,181
1513995807,179,179
1513999699,176,176
1514003601,180,180
1514011207,187,187
1514014992,187,187
1514018845,192,192
1514022702,192,192
1514026623,191,191
1514030425,195,195
1514042134,200,200
1514049854,204,204
1514053643,207,207
1514057832,206,206
1514061641,203,203
1514065642,204,204
1514069554,201,201
1514073706,197,197
1514077536,195,195
1514081387,196,196
1514089057,195,195
1514096961,204,204
1514101078,206,206
1514104879,208,208
1514108967,213,213
1514113031,215,215
1514116934,214,214
1514120730,215,215
1514124580,214,214
1514128648,215,215
1514132732,216,216
1514136582,216,216
1514144501,217,217
1514148550,216,216
1514160298,215,215
1514167978,212,212
1514171844,211,211
1514175713,212,212
1514183370,216,216
1514187471,211,211
1514191515,213,213
1514195365,215,215
1514203092,220,220
1514206912,223,223
1514210960,225,225
1514214815,224,224
1514218899,219,219
1514222705,221,221
1514226567,221,221
1514230415,227,227
1514234256,228,228
1514238333,228,228
1514242156,228,228
1514246001,228,228
1514249837,226,226
1514253728,216,216
1514257516,217,217
1514261361,211,211
1514265213,209,209
1514269051,208,208
1514273157,206,206
1514277185,203,203
1514281031,201,201
1514285097,199,199
1514288955,200,200
1514292823,202,202
1514296630,203,203
1514300485,200,200
1514304302,200,200
1514308150,202,202
1514312225,203,203
1514316071,204,204
1514320155,206,206
1514324013,205,205
1514327844,204,204
1514331895,200,200
1514336148,200,200
1514340060,201,201
1514343881,201,201
1514347744,196,196
1514351596,197,197
1514359245,186,186
1514363086,184,184
1514367105,185,185
1514371218,187,187
1514375072,186,186
1514379185,187,187
1514383281,191,191
1514387352,191,191
1514395025,186,186
1514398861,189,189
1514402733,188,188
1514406554,187,187
1514410632,187,187
1514414470,185,185
1514418548,183,183
1514422395,180,180
1514426501,178,178
1514430284,180,180
1514434384,175,175
1514438473,178,178
1514442299,178,178
1514446132,178,178
1514449987,179,179
1514453822,179,179
1514457720,179,179
1514461489,179,179
1514465342,180,180
1514469450,188,188
1514473245,187,187
1514477095,187,187
1514480920,188,188
1514484836,192,192
1514488655,193,193
1514492433,194,194
1514496291,193,193
1514500158,197,197
1514504105,197,197
1514508042,197,197
1514511913,197,197
1514515734,193,193
1514519576,196,196
1514523434,197,197
1514527289,196,196
1514534923,195,195
1514538880,195,195
1514542633,196,196
1514546485,198,198
1514550559,203,203
1514558708,204,204
1514562593,205,205
1514566381,207,207
1514570247,203,203
1514574330,208,208
1514578130,212,212
1514582243,211,211
1514586053,210,210
1514589926,210,210
1514594046,207,207
1514598084,207,207
1514601928,208,208
1514605765,207,207
1514609637,206,206
1514613434,203,203
1514617314,204,204
1514625013,203,203
1514628818,203,203
1514632678,206,206
1514636749,205,205
1514640568,206,206
1514644424,207,207
1514648352,208,208
1514652088,209,209
1514655903,209,209
1514667489,212,212
1514671540,210,210
1514679268,208,208
1514686899,206,206
1514690975,200,200
1514694819,198,198
1514698909,196,196
1514702768,196,196
1514710667,203,203
1514718331,203,203
