DateTime,AddedIPs,RemovedIPs
1512195321,345,246
1512199209,353,350
1512203040,342,353
1512218569,232,343
1512222407,187,185
1512226275,187,179
1512230162,152,152
1512233939,267,236
1512241630,444,271
1512245416,314,315
1512249315,414,433
1512253246,348,411
1512257089,336,362
1512260873,341,329
1512264916,336,348
1512272660,348,335
1512280217,362,349
1512284061,304,363
1512287941,297,304
1512311277,381,289
1512315039,376,315
1512318968,220,219
1512322938,184,185
1512326863,160,161
1512330915,35,35
1512334726,77,79
1512338612,248,265
1512342838,387,417
1512346907,344,395
1512350745,359,324
1512354530,105,382
1512358379,312,107
1512362226,337,305
1512366022,312,337
1512369899,312,318
1512373721,328,311
1512377581,278,329
1512381414,448,278
1512385244,450,449
1512389107,339,344
1512393169,376,374
1512397352,216,215
1512401067,40,43
1512405169,36,37
1512409013,14,15
1512413452,245,250
1512417133,375,371
1512420974,369,363
1512424840,381,381
1512428917,29,31
1512432777,18,26
1512436601,21,25
1512440450,85,108
1512444279,397,360
1512448101,401,401
1512451958,413,411
1512455780,28,33
1512459636,19,22
1512463478,31,42
1512467310,216,231
1512471134,417,388
1512474975,428,423
1512478831,142,145
1512482671,31,33
1512486534,34,37
1512490355,16,20
1512494185,143,146
1512498030,357,343
1512501884,380,381
1512505732,359,356
1512509573,117,121
1512513410,16,19
1512517426,28,35
1512521317,23,35
1512525146,327,324
1512528987,367,348
1512532928,388,387
1512536679,185,187
1512540526,12,14
1512544359,36,38
1512548197,8,10
1512552024,308,344
1512555902,388,345
1512559701,369,365
1512563567,121,126
1512567401,171,239
1512571479,120,125
1512575309,95,81
1512579142,95,68
1512582989,121,94
1512586844,222,242
1512590671,152,200
1512602899,405,362
1512606798,360,409
1512610878,385,365
1512614704,357,385
1512618541,383,359
1512622404,402,381
1512626232,449,402
1512630140,404,408
1512633880,178,177
1512637737,79,80
1512641570,39,43
1512645438,61,61
1512653345,284,431
1512657356,387,296
1512661590,376,351
1512665339,126,180
1512669233,68,112
1512673071,74,98
1512680740,271,230
1512684573,326,302
1512688949,262,347
1512696577,308,211
1512704320,284,366
1512708096,194,215
1512711925,212,257
1512715799,210,217
1512719613,193,206
1512723480,288,197
1512727309,309,283
1512739328,297,315
1512743160,306,296
1512747244,309,245
1512751079,143,170
1512754938,109,151
1512758727,129,148
1512762556,171,164
1512766417,172,195
1512770558,279,216
1512774678,268,227
1512778481,276,279
1512782304,256,271
1512786165,267,263
1512789931,178,158
1512793815,292,327
1512797689,288,311
1512805273,355,317
1512809149,136,192
1512813062,118,163
1512816822,25,24
1512820669,155,80
1512824531,258,151
1512828346,271,268
1512832336,239,240
1512836284,283,325
1512840110,271,397
1512843939,190,271
1512847788,209,193
1512851618,203,184
1512855814,287,227
1512859558,266,281
1512863380,304,270
1512871076,307,306
1512878741,213,304
1512882592,212,217
1512886445,210,147
1512890297,311,274
1512894159,329,303
1512897966,270,332
1512901823,299,274
1512905673,221,301
1512909717,203,213
1512913543,195,210
