DateTime,AddedIPs,RemovedIPs
1512420979,123,121
1512424846,128,137
1512428922,119,110
1512432781,107,108
1512436606,120,119
1512440461,201,203
1512444289,199,197
1512448106,195,195
1512451962,180,181
1512455787,230,229
1512459643,138,136
1512463483,350,354
1512467315,143,145
1512471139,162,161
1512474982,318,313
1512478835,84,84
1512482675,194,195
1512486538,367,367
1512490359,101,103
1512494191,97,99
1512498039,103,103
1512501890,246,245
1512505739,154,153
1512509578,126,127
1512513415,50,50
1512517431,194,194
1512521327,144,146
1512525150,147,151
1512528993,252,248
1512532933,120,121
1512536687,130,130
1512540532,86,90
1512544364,298,291
1512548202,70,70
1512552032,182,181
1512555917,206,206
1512559707,84,86
1512563572,276,275
1512567407,59,64
1512571493,67,65
1512575315,280,274
1512579156,75,79
1512582995,94,97
1512586864,131,134
1512590677,201,205
1512602911,274,270
1512606807,165,161
1512610887,102,104
1512614711,189,189
1512618550,80,81
1512622412,267,263
1512626240,91,92
1512630165,240,237
1512633887,101,101
1512637746,90,89
1512641577,245,243
1512645451,68,72
1512653361,298,298
1512657384,89,90
1512665350,287,283
1512669246,91,93
1512673087,119,120
1512680765,182,201
1512684591,116,130
1512688976,61,40
1512696602,221,213
1512704335,187,190
1512708120,148,147
1512711944,80,78
1512715837,90,130
1512719630,106,64
1512723503,115,162
1512727327,203,156
1512739354,322,323
1512743183,62,60
1512747275,128,126
1512751101,154,152
1512754965,67,67
1512758756,105,108
1512762580,348,346
1512766434,72,73
1512774699,311,313
1512778507,120,119
1512782327,92,94
1512786197,180,180
1512789957,67,67
1512793843,93,93
1512797705,60,72
1512805289,341,328
1512809165,71,67
1512813092,111,114
1512816845,59,60
1512820691,180,183
1512824565,215,209
1512828365,76,76
1512832372,97,97
1512836302,222,224
1512840125,69,67
1512843959,131,133
1512847816,149,149
1512851637,90,95
1512855839,73,83
1512859587,68,87
1512863404,84,49
1512871115,226,226
1512878765,173,175
1512882614,85,85
1512886464,83,98
1512890316,92,76
1512894187,143,140
1512897990,108,111
1512901853,163,163
1512905707,110,114
1512909741,65,113
1512913562,166,114
1512917392,66,67
1512921228,92,127
1512925084,166,127
1512929009,60,61
1512933383,165,168
1512937123,219,218
1512940974,55,57
1512944751,129,131
1512948620,85,94
1512952518,115,115
1512956257,60,61
1512960350,88,79
1512964197,147,150
1512968021,63,68
1512971879,74,78
1512983445,255,252
1512991105,282,273
1512994962,98,123
1513014141,236,207
1513018216,58,59
1513022276,207,207
1513026232,49,52
1513029968,32,46
1513033812,91,112
1513037674,54,67
1513041465,51,26
1513045325,110,94
1513053065,189,181
1513064556,195,203
1513068399,134,125
1513072198,51,51
1513079900,217,215
1513087578,230,232
1513091417,57,59
1513095325,53,52
1513099082,48,49
1513103177,102,105
1513107006,99,106
1513110902,91,91
1513114796,91,96
1513118655,64,76
1513122665,111,81
1513126733,59,67
1513130620,145,134
1513134396,86,108
1513138281,77,61
1513145934,163,164
1513153577,202,206
1513165165,290,282
1513172779,186,186
1513176596,114,112
1513180453,47,45
1513184609,89,89
1513188402,148,147
1513196380,277,282
1513200181,79,106
1513204121,52,54
1513208156,94,65
1513215828,155,162
1513219573,66,63
1513223395,46,44
1513227258,131,133
1513231110,108,107
1513242692,327,325
1513246547,88,85
1513250324,150,152
1513254418,118,123
1513258255,52,74
1513265919,220,199
1513269958,62,56
1513273877,71,72
1513277649,47,48
1513281589,208,208
1513289137,169,177
1513297247,151,147
1513301216,39,43
1513305111,131,127
1513312709,159,166
1513316603,47,58
1513320444,100,97
1513324279,54,37
1513328071,77,85
1513331902,46,32
1513339592,155,162
1513343740,60,68
1513347810,148,140
1513355525,157,154
1513363212,204,201
1513370844,276,273
1513375222,52,67
1513382803,148,143
1513386948,57,50
1513390736,77,75
1513394861,83,88
1513398657,67,68
1513406405,153,151
1513410423,82,107
1513414262,143,116
1513418115,54,62
1513421958,121,125
1513425819,58,51
1513429695,35,75
1513437518,211,167
1513441485,42,90
1513445336,139,91
1513452935,254,252
1513460592,92,93
1513468268,161,171
1513472103,51,46
1513480014,146,165
1513483919,57,48
1513487746,76,80
1513491546,48,34
1513495413,94,112
1513499206,55,54
1513506902,117,97
1513510681,24,30
1513514565,70,130
1513518363,47,7
1513522480,22,33
1513526293,87,74
1513529992,56,28
1513534040,39,43
1513545589,345,373
1513549536,62,60
1513553782,47,40
1513557667,99,87
1513561498,47,47
1513565332,77,78
1513569184,45,49
1513573006,132,123
1513576867,73,74
1513580709,41,39
1513584553,36,39
1513588635,127,123
1513592463,143,142
1513604439,264,265
1513608290,47,49
1513612136,84,116
1513615973,175,138
1513619824,47,46
1513623678,84,86
1513627765,128,131
1513631586,74,81
1513635460,48,48
1513639296,36,59
1513643117,76,81
1513654633,164,127
1513658479,100,103
1513662307,67,63
1513666137,63,91
1513678369,191,171
1513682231,49,58
1513686325,103,94
1513690147,47,39
1513693987,56,134
1513697817,171,92
1513701671,54,55
1513705449,60,60
1513709313,53,56
1513713169,121,121
1513720873,80,89
1513724700,79,96
1513728578,96,122
1513732374,67,24
1513736239,69,81
1513740063,81,76
1513743915,28,18
1513747740,46,46
1513751586,90,124
1513755648,54,26
1513759701,67,81
1513763559,43,35
1513767408,30,41
1513771235,75,78
1513775364,25,2
1513779158,43,99
1513783025,149,77
1513786857,25,27
1513790934,35,97
1513794759,110,47
1513798614,156,155
1513802434,54,55
1513806287,72,85
1513810148,17,43
1513813979,39,43
1513818094,97,111
1513821886,48,38
1513829593,138,107
1513833410,56,55
1513837490,74,85
1513841336,42,24
1513845442,65,67
1513849485,124,122
1513853575,52,53
1513857432,110,154
1513865355,89,107
1513869436,158,92
1513873257,50,51
1513877348,117,126
1513881205,113,104
1513885511,148,146
1513889575,62,67
1513893403,70,91
1513897332,67,73
1513901100,50,73
1513905167,100,58
1513909267,65,63
1513913350,50,48
1513917191,116,112
1513924851,169,169
1513928697,65,65
1513932504,106,119
1513936357,42,30
1513940238,31,76
1513944026,41,36
1513948161,70,79
1513951982,128,85
1513955815,43,58
1513959649,75,69
1513963497,58,57
1513967370,55,60
1513971174,119,120
1513975025,58,62
1513978846,37,32
1513982693,113,123
1513986549,46,61
1513994204,131,131
1513998098,62,60
1514001898,56,22
1514005724,52,46
1514009578,172,173
1514013416,84,85
1514017269,140,164
1514021079,78,56
1514024938,56,92
1514028771,133,106
1514032623,43,25
1514036384,59,119
1514040265,89,31
1514044110,44,46
1514047975,41,41
1514051786,35,35
1514055694,129,128
1514059761,78,83
1514063597,45,47
1514067427,29,33
1514071272,83,85
1514075083,55,55
1514078934,78,69
1514082784,49,52
1514090474,100,132
1514094284,111,76
1514098132,54,54
1514102008,108,106
1514105819,49,47
1514109901,69,107
1514113988,65,32
1514117832,36,105
1514121651,118,83
1514125485,37,8
1514129329,91,110
1514133209,87,56
1514137025,73,73
1514140864,52,49
1514144958,151,153
1514149027,61,67
1514152867,39,42
1514156943,78,100
1514160766,61,69
1514164628,23,17
1514168460,38,34
1514176155,151,140
1514179977,69,69
1514183834,76,90
1514187656,75,48
1514191541,56,59
1514195384,51,53
1514203127,88,100
1514218937,328,311
1514222743,59,62
1514226593,72,73
1514230451,178,181
1514238371,101,132
1514242187,47,73
1514246033,46,18
1514249862,41,34
1514257541,166,161
1514261403,100,94
1514265252,105,122
1514269087,45,24
1514273188,132,124
1514277215,84,79
1514281063,76,122
1514285118,84,32
1514288988,89,131
1514296670,168,133
1514300535,128,162
1514304320,92,54
1514308191,63,72
1514312245,51,46
1514316092,166,168
1514320189,79,86
1514324054,47,67
1514327881,40,37
1514331919,88,95
1514336164,46,49
1514340089,31,15
1514343906,112,93
1514347782,69,80
1514351630,76,63
1514359264,106,106
1514363115,109,105
1514367124,111,110
1514371262,47,47
1514375143,26,32
1514379219,55,78
1514383313,202,176
1514387378,42,46
1514395040,155,144
1514398883,55,59
1514406595,188,185
1514410667,43,69
1514414499,141,159
1514418565,52,16
1514422432,84,93
1514426549,68,84
1514430309,40,17
1514434405,128,122
1514438501,80,75
1514442321,63,78
1514446151,71,61
1514453850,169,159
1514457746,86,87
1514461517,41,46
1514465384,149,147
1514473294,122,147
1514477123,103,89
1514480951,108,100
1514488678,146,141
1514492455,101,106
1514496320,43,61
1514500183,91,91
1514504136,52,78
1514508069,102,68
1514511953,51,50
1514515767,84,83
1514519614,57,57
1514534961,259,254
1514538924,137,155
1514542671,51,24
1514558750,230,245
1514566399,117,130
1514570298,96,81
1514574371,180,171
1514578172,74,74
1514582271,71,85
1514586073,49,73
1514589948,43,42
1514594083,119,91
1514598105,58,60
1514601950,57,54
1514605793,99,118
1514609666,53,40
1514613451,102,103
1514617351,42,37
1514625054,135,136
1514628842,66,93
1514632713,92,60
1514636786,55,89
1514640603,153,110
1514644460,41,44
1514648387,53,101
1514652118,137,88
1514655924,62,67
1514667529,337,343
1514671569,38,56
1514679321,129,127
1514686947,128,114
1514691004,126,124
1514694858,59,57
1514698953,63,63
1514702808,58,61
1514710701,234,230
1514718356,278,272
