DateTime,AddedIPs,RemovedIPs
1512285425,11,8
1512289311,5,4
1512293142,4,3
1512296973,4,6
1512300806,6,5
1512304631,6,5
1512312366,7,12
1512316444,3,2
1512320264,7,6
1512327907,7,8
1512331731,1,0
1512335629,9,6
1512339471,4,2
1512343558,6,10
1512347379,4,0
1512351242,10,6
1512355016,4,226
1512358844,19,0
1512362676,12,0
1512366538,16,0
1512370368,14,0
1512374192,22,0
1512378049,10,0
1512381893,10,0
1512385736,4,0
1512389741,2,0
1512393654,3,0
1512397366,2,0
1512401081,7,0
1512405175,8,0
1512409019,7,0
1512413462,7,0
1512417142,8,0
1512420981,2,0
1512424851,4,0
1512428924,4,0
1512432783,2,0
1512436609,4,0
1512440465,2,0
1512444293,3,0
1512448109,2,0
1512451965,5,0
1512455792,3,0
1512459646,5,0
1512463485,3,1
1512467318,4,3
1512471143,2,1
1512474985,2,6
1512478838,3,12
1512482679,5,11
1512486540,3,5
1512490362,3,5
1512494193,4,9
1512498042,6,4
1512501893,5,4
1512505742,6,1
1512509580,5,3
1512513417,5,7
1512517433,2,9
1512521332,6,2
1512525154,6,8
1512528996,9,4
1512532936,6,7
1512536692,4,1
1512540535,3,3
1512544366,4,2
1512548204,2,4
1512552037,3,4
1512555923,7,3
1512559711,3,3
1512563574,4,8
1512567410,6,3
1512571500,10,3
1512575319,7,5
1512579162,12,8
1512582999,11,5
1512586875,12,4
1512590682,7,6
1512602915,14,15
1512606811,12,7
1512610892,10,7
1512614715,9,7
1512618554,11,8
1512622417,18,12
1512626247,8,5
1512630175,6,4
1512633890,2,2
1512637751,6,6
1512641582,6,9
1512645458,2,3
1512653369,5,8
1512657396,3,6
1512665357,7,10
1512669253,6,11
1512673094,5,9
1512680776,11,15
1512684599,5,8
1512688991,13,7
1512696613,8,15
1512704341,18,11
1512708134,13,14
1512711954,3,7
1512719638,14,18
1512723514,6,9
1512727335,6,6
1512739366,16,19
1512743194,10,7
1512747290,2,7
1512751113,8,4
1512754979,3,8
1512758772,6,7
1512762586,3,4
1512766443,5,2
1512774708,7,7
1512778518,7,6
1512782341,2,8
1512786211,4,2
1512789972,3,6
1512793869,6,7
1512797714,3,7
1512805299,9,11
1512809173,12,6
1512813107,1,1
1512816853,10,9
