DateTime,Entries,UniqueIPs
1512285425,221,221
1512289311,222,222
1512293142,223,223
1512296973,221,221
1512300806,222,222
1512304631,223,223
1512312366,218,218
1512316444,219,219
1512320264,220,220
1512327907,219,219
1512331731,220,220
1512335629,223,223
1512339471,225,225
1512343558,221,221
1512347379,225,225
1512351242,229,229
1512355016,7,7
1512358844,26,26
1512362676,38,38
1512366538,54,54
1512370368,68,68
1512374192,90,90
1512378049,100,100
1512381893,110,110
1512385736,114,114
1512389741,116,116
1512393654,119,119
1512397366,121,121
1512401081,128,128
1512405175,136,136
1512409019,143,143
1512413462,150,150
1512417142,158,158
1512420981,160,160
1512424851,164,164
1512428924,168,168
1512432783,170,170
1512436609,174,174
1512440465,176,176
1512444293,179,179
1512448109,181,181
1512451965,186,186
1512455792,189,189
1512459646,194,194
1512463485,196,196
1512467318,197,197
1512471143,198,198
1512474985,194,194
1512478838,185,185
1512482679,179,179
1512486540,177,177
1512490362,175,175
1512494193,170,170
1512498042,172,172
1512501893,173,173
1512505742,178,178
1512509580,180,180
1512513417,178,178
1512517433,171,171
1512521332,175,175
1512525154,173,173
1512528996,178,178
1512532936,177,177
1512536692,180,180
1512540535,180,180
1512544366,182,182
1512548204,180,180
1512552037,179,179
1512555923,183,183
1512559711,183,183
1512563574,179,179
1512567410,182,182
1512571500,189,189
1512575319,191,191
1512579162,195,195
1512582999,201,201
1512586875,209,209
1512590682,210,210
1512602915,209,209
1512606811,214,214
1512610892,217,217
1512614715,219,219
1512618554,222,222
1512622417,228,228
1512626247,231,231
1512630175,233,233
1512633890,233,233
1512637751,233,233
1512641582,230,230
1512645458,229,229
1512653369,226,226
1512657396,223,223
1512665357,220,220
1512669253,215,215
1512673094,211,211
1512680776,207,207
1512684599,204,204
1512688991,210,210
1512696613,203,203
1512704341,210,210
1512708134,209,209
1512711954,205,205
1512719638,201,201
1512723514,198,198
1512727335,198,198
1512739366,195,195
1512743194,198,198
1512747290,193,193
1512751113,197,197
1512754979,192,192
1512758772,191,191
1512762586,190,190
1512766443,193,193
1512774708,193,193
1512778518,194,194
1512782341,188,188
1512786211,190,190
1512789972,187,187
1512793869,186,186
1512797714,182,182
1512805299,180,180
1512809173,186,186
1512813107,186,186
1512816853,187,187
1512820706,183,183
1512824582,186,186
1512828370,188,188
1512832386,188,188
1512836312,189,189
1512840133,195,195
1512843969,200,200
1512847830,197,197
1512851646,194,194
1512855849,194,194
1512859600,194,194
1512863416,193,193
1512871134,198,198
1512878775,199,199
1512882625,199,199
1512886473,201,201
1512890327,203,203
1512894200,204,204
1512898003,205,205
1512901867,200,200
1512905722,198,198
1512909751,202,202
1512913569,202,202
1512917404,199,199
1512921237,199,199
1512925094,200,200
1512929029,194,194
1512933404,196,196
1512937136,197,197
1512940994,199,199
1512944762,198,198
1512948630,199,199
1512952536,196,196
1512956265,194,194
1512960358,189,189
1512964207,190,190
1512968028,185,185
1512971887,189,189
1512983458,196,196
1512991118,192,192
1512994974,190,190
1513014152,188,188
1513018230,188,188
1513022287,184,184
1513026243,187,187
1513029979,187,187
1513033820,190,190
