DateTime,AddedIPs,RemovedIPs
1511118900,2,1
1511122962,4,1
1511127039,2,0
1511130871,3,0
1511134724,1,0
1511150088,2,0
1511153854,1,1
1511169413,1,0
1511184959,2,1
1511188691,1,0
1511192554,1,2
1511196437,1,1
1511204119,3,3
1511207962,1,0
1511219763,1,0
1511223895,1,3
1511239133,1,31
1511242977,1,7
1511246821,1,2
1511250629,1,0
1511254521,2,1
1511258236,3,0
1511266348,2,1
1511270195,0,2
1511274168,2,0
1511278016,2,0
1511282118,2,1
1511286005,3,0
1511289827,1,2
1511293647,3,2
1511297429,0,1
1511301291,1,3
1511305149,1,2
1511309207,4,5
1511313098,0,2
1511324640,3,0
1511332198,1,0
1511339934,2,0
1511343701,2,0
1511347555,4,0
1511359100,2,0
1511362973,2,0
1511370620,2,1
1511374494,1,0
1511378353,2,1
1511382143,1,0
1511386023,4,0
1511393843,1,0
1511397913,1,1
1511405604,1,3
1511413275,2,0
1511420949,1,0
1511428663,0,1
1511432463,1,0
1511448065,2,1
1511456390,1,1
1511460336,1,1
1511464131,2,0
1511467979,2,1
1511475875,0,2
1511480434,0,1
1511484320,2,0
1511488129,0,4
1511491988,1,3
1511495836,0,2
1511503525,1,0
1511507343,1,1
1511515018,2,5
1511642467,20,9
1511677024,8,5
1511688362,1,1
1511692250,0,4
1511696017,1,4
1511700196,1,5
1511703962,2,8
1511707773,0,4
1511716813,2,2
1511720645,0,1
1511724454,2,2
1511728242,3,1
1511732043,2,0
1511735937,2,0
1511743584,0,1
1511759270,3,1
1511766947,0,3
1511774670,1,0
1511778401,1,0
1511782214,0,1
1511790665,1,2
1511798292,0,1
1511802268,2,2
1511805959,0,1
1511813679,4,0
1511817478,0,1
1511821322,0,3
1511829167,1,2
1511832993,1,0
1511844347,2,0
1511855971,4,0
1511859828,2,0
1511863678,2,0
1511867488,1,2
1511871576,3,1
1511875514,1,0
1511879190,2,0
1511883036,1,0
1511886899,4,3
1511890728,1,0
1511894543,0,1
1511898393,5,6
1511902250,0,1
1511906047,3,1
1511909990,1,0
1511913987,1,1
1511917759,1,1
1511929305,1,0
1511936817,1,0
1511940827,0,1
1511944640,1,3
1511952294,0,2
1511956111,0,2
1511959797,0,2
1511963756,3,6
1511967639,1,11
1511971463,1,4
1511975133,3,2
1511979042,1,4
1511982996,2,4
1511990675,1,11
1511994824,4,2
1512037230,6,7
1512041081,3,2
1512060273,12,8
1512064047,5,2
1512067865,0,2
1512071921,4,6
1512075911,2,6
1512083893,1,0
1512087725,1,0
1512091544,3,2
1512095387,1,0
1512099273,2,1
1512103050,1,0
1512111037,1,0
1512118671,2,2
1512130414,3,5
1512134376,1,3
1512142203,1,4
1512153709,1,2
1512157796,3,2
1512161632,2,0
1512165482,3,0
1512173165,1,0
1512176960,3,0
1512184646,0,1
1512188511,0,1
1512200038,3,6
1512207730,2,3
1512215408,5,1
1512219451,1,5
1512223341,1,2
1512227172,3,3
1512231010,2,0
1512234867,4,0
1512238669,5,4
1512246343,4,7
1512250215,1,0
1512254084,3,0
1512258614,3,1
1512266269,1,2
1512270121,1,0
1512273976,2,0
1512281654,1,0
1512285436,1,0
1512289338,1,1
1512297002,1,0
1512316464,1,0
1512320293,1,0
1512327918,1,0
1512331744,5,0
1512343583,2,1
1512347401,0,3
1512351275,0,1
1512355020,1,36
1512358848,4,0
1512362681,4,0
1512366542,1,0
1512370372,1,0
1512378052,3,0
1512381895,1,0
1512389750,1,0
1512393659,0,1
1512397372,1,0
1512405178,1,0
1512409024,2,0
1512413466,1,0
1512417145,4,0
1512420984,2,0
1512428927,2,0
1512432785,4,0
1512436612,1,3
1512440473,1,0
1512444300,1,0
1512455796,1,0
1512459649,1,1
1512471145,1,0
1512474989,1,0
1512486543,1,0
1512494195,1,0
1512498045,2,0
1512501896,3,0
1512505744,1,0
1512509583,1,0
1512517435,0,1
1512521336,0,1
1512525156,1,0
1512529000,0,1
1512532939,1,1
1512536694,1,0
1512544369,1,0
1512548206,1,2
1512552041,1,0
1512555925,0,2
1512559713,1,1
1512567413,2,0
1512579169,2,3
1512586887,3,1
1512610895,2,0
1512614720,2,0
1512622422,3,0
1512626252,1,0
1512633895,1,1
1512641585,2,3
1512645464,1,0
1512653378,0,2
1512665365,1,0
1512669259,3,1
1512673100,3,4
1512680787,1,13
1512684607,1,1
1512689001,0,1
1512696624,3,2
1512704345,2,4
1512708146,0,2
1512711965,0,1
1512715861,1,1
1512719645,1,0
1512723524,1,1
1512727348,1,3
1512739378,0,8
1512743207,2,1
1512747305,1,1
1512751126,3,0
1512754992,1,2
1512758788,0,5
1512762593,3,5
1512766451,3,7
1512774717,4,3
1512778526,0,6
1512782353,0,4
1512786220,5,0
1512789988,1,1
1512797728,3,1
1512805310,3,3
1512809182,1,4
1512813120,1,2
1512816867,2,0
1512820719,1,4
1512824594,6,1
1512828382,0,1
1512832401,1,0
1512836320,3,4
1512840141,3,2
1512843977,2,1
1512847843,5,1
1512851656,1,2
1512855858,3,2
1512863425,1,2
1512871153,3,0
1512886483,1,1
1512890337,2,0
1512901882,1,0
1512909761,1,0
1512913578,0,1
1512917419,1,0
1512925104,2,0
1512933417,4,0
1512937149,2,0
1512944773,1,0
1512952551,1,0
1512964215,1,0
1512971894,1,0
1512983471,2,0
1512994987,1,0
1513014167,3,0
1513018240,1,0
1513022296,5,0
1513026251,2,0
1513029985,2,1
1513037698,1,2
1513064580,1,0
1513068434,1,0
1513076068,1,0
1513087598,4,0
1513099104,1,0
1513103197,2,1
1513107022,1,0
