DateTime,AddedIPs,RemovedIPs
1512477181,2,0
1512484381,1,3
1512487981,1,0
1512495181,0,4
1512498781,2,0
1512502381,0,1
1512505981,1,0
1512509581,2,3
1512516781,2,0
1512520381,1,2
1512527581,2,6
1512531181,4,0
1512534781,0,2
1512541981,3,1
1512549181,1,1
1512552781,2,0
1512559981,5,1
1512563581,1,2
1512570781,0,1
1512574381,2,0
1512581582,2,2
1512585181,1,1
1512600627,6,9
1512603181,0,1
1512610382,0,1
1512613981,3,0
1512617582,5,3
1512624781,2,4
1512628381,2,0
1512635582,4,5
1512639181,1,1
1512642781,0,3
1512646381,1,0
1512649982,2,3
1512657181,1,5
1512660781,1,0
1512667981,1,5
1512671581,4,0
1512678781,3,8
1512682381,1,0
1512689581,5,0
1512693181,5,1
1512700382,5,6
1512703982,3,0
1512707581,0,2
1512711181,4,0
1512714781,2,4
1512718381,0,1
1512721982,1,0
1512725581,3,0
1512729181,0,2
1512732781,2,3
1512736381,3,0
1512739981,0,3
1512743581,2,0
1512747181,3,3
1512754381,5,0
1512757982,4,5
1512765181,1,5
1512768781,2,0
1512775981,2,2
1512779581,5,2
1512783181,0,5
1512786782,1,0
1512790381,2,0
1512797581,2,7
1512808381,1,2
1512811981,1,2
1512819181,4,3
1512822781,2,3
1512826381,0,4
1512829981,1,2
1512833581,3,0
1512837181,0,4
1512840782,1,0
1512844381,0,5
1512847981,0,2
1512851581,3,2
1512855181,6,0
1512858782,0,3
1512862381,2,0
1512865981,4,1
1512869581,0,1
1512873181,4,0
1512876781,2,1
1512883982,0,1
1512887581,2,3
1512891181,0,1
1512894781,1,2
1512898381,1,0
1512901981,0,3
1512905581,3,0
1512909181,4,0
1512916381,2,3
1512919981,0,2
1512923581,0,1
1512927182,3,0
1512930781,2,4
1512937981,2,3
1512941581,2,3
1512945181,0,2
1512948782,1,0
1512952381,1,4
1512959581,2,7
1512963181,1,0
1512966781,0,2
1512970381,2,3
1512973981,1,0
1512981181,1,5
1512984782,4,3
1512991981,4,0
1512995581,8,1
1512999181,0,3
1513002781,4,3
1513006381,3,0
1513013582,2,1
1513017181,3,0
1513024381,1,0
1513027982,1,3
1513035181,1,1
1513042381,2,2
1513049582,0,1
1513053181,1,1
1513056782,0,2
1513060381,2,0
1513063981,1,2
1513067581,0,3
1513071182,3,0
1513078381,0,9
1513081981,9,4
1513085581,2,0
1513089181,0,7
1513092781,4,0
1513096381,3,1
1513103581,5,2
1513114382,3,0
1513117981,4,1
1513125181,2,2
1513128781,1,0
1513132382,0,1
1513135981,3,2
1513139582,4,0
1513146781,1,2
1513150381,4,0
1513153981,0,4
1513157581,3,0
1513161182,1,4
1513164781,0,8
1513168381,4,0
1513171982,1,1
1513175582,0,4
1513179181,4,2
1513182781,1,0
1513186381,0,3
1513189981,4,0
1513193581,0,1
1513200781,1,2
1513204382,4,3
1513207981,0,1
1513211581,2,0
1513215181,0,1
1513218781,0,1
1513222382,0,1
1513229581,0,1
1513233181,2,0
1513236781,2,4
1513243981,0,4
1513247582,2,1
1513251181,0,5
1513254781,5,2
1513258382,2,0
1513265581,0,3
1513269181,4,0
1513276381,5,2
1513279981,1,3
1513287181,2,1
1513294828,18,0
1513297982,0,3
1513305181,3,3
1513312382,5,2
1513319581,3,4
1513323181,0,1
1513326781,2,0
1513330382,0,3
1513333982,2,0
1513337581,1,3
1513344781,2,2
1513351981,3,11
1513359182,5,4
1513362781,3,0
1513366381,0,3
1513373581,1,3
1513377181,0,5
1513380781,1,0
1513387981,2,0
1513391581,2,4
1513395181,1,3
1513402381,5,4
1513405981,5,0
1513409581,0,7
1513413181,1,0
1513416782,2,0
1513420381,0,5
1513423981,5,0
1513431181,3,2
1513434781,0,3
1513438381,2,0
1513441981,1,2
1513445582,4,0
1513449181,0,2
1513452781,6,0
1513456381,1,2
1513463581,2,0
1513467181,5,5
1513470781,0,3
1513474381,5,3
1513477981,4,0
1513481581,0,1
1513485181,2,4
1513488781,4,0
1513492381,0,4
1513495981,2,0
1513499581,1,0
1513503181,0,2
1513506781,2,0
1513510381,7,4
1513517581,5,0
1513521181,1,0
1513524781,0,8
1513528381,4,0
1513531981,4,2
1513535581,0,4
1513539181,2,0
1513542781,4,5
1513549982,3,2
1513553581,1,5
1513557182,0,6
1513560781,7,2
1513564381,5,0
1513571581,4,2
1513575181,1,2
1513578782,0,1
1513582381,2,0
1513585981,2,1
1513593182,1,3
1513596781,5,1
1513603981,6,6
1513607581,2,0
1513614781,1,8
1513618381,1,0
1513625581,1,6
1513629182,5,0
1513636382,1,3
1513639982,2,0
1513643582,0,5
1513647181,7,1
1513650781,4,0
1513654381,0,6
1513657981,2,5
1513661582,1,0
1513668781,3,8
1513672382,2,0
1513675982,0,2
1513679581,5,7
1513683181,5,0
1513686781,0,7
1513690381,4,4
1513693982,2,0
1513697581,0,1
1513701181,1,2
1513704782,3,0
1513708381,0,4
1513711981,5,3
1513715581,4,0
1513719181,0,1
1513722781,3,0
1513726381,0,1
1513729981,0,3
1513733582,2,0
1513737181,4,4
1513744381,2,0
1513747981,1,2
1513751582,0,5
1513755182,6,0
1513758781,1,0
1513765982,3,3
1513769582,1,0
1513776781,2,10
1513783981,3,4
1513787581,2,0
1513791182,0,4
1513798381,3,6
1513801981,1,3
1513809181,2,2
1513812781,1,0
1513819982,5,4
1513823581,6,0
1513830781,2,2
1513834381,3,0
1513837982,0,1
1513841581,4,0
1513845181,1,6
1513852381,1,4
1513855981,2,2
1513859581,0,8
1513863181,2,0
1513866781,4,3
1513873981,0,1
1513877581,1,0
1513881181,6,5
1513884781,0,6
1513888381,3,0
1513891982,4,2
1513895581,0,2
1513899181,3,0
1513902781,2,0
1513906381,0,2
1513909981,4,2
1513913581,4,3
1513917182,0,3
1513920781,2,0
1513924381,1,0
1513931581,1,3
1513935181,7,0
1513942381,1,2
1513945981,2,0
1513949581,0,5
1513953181,5,1
1513956781,3,2
1513963981,1,0
1513967581,1,5
1513974781,2,3
1513978381,4,3
1513985581,5,4
1513989181,3,1
1513996381,3,7
1513999982,2,0
1514007181,4,5
1514010781,4,0
1514014381,2,1
1514017981,0,2
1514021581,3,0
1514025181,1,1
1514032381,2,4
1514035981,3,4
1514039581,0,4
1514043181,4,0
1514050381,6,5
1514053982,5,0
1514057581,0,1
1514064782,1,5
1514068381,0,3
1514071981,0,3
1514075581,3,0
1514079181,0,4
1514082781,4,1
1514086381,4,0
1514089981,0,3
1514093581,3,0
1514097181,3,5
1514104382,5,3
1514107981,1,3
1514118781,1,7
1514125981,5,0
1514129581,1,4
1514133181,0,3
1514136781,0,5
1514140381,5,0
1514147581,5,2
1514151181,1,1
1514158381,1,5
1514161981,3,0
1514165581,0,3
1514169182,2,0
1514172781,8,3
1514179981,3,0
1514183582,4,2
1514190781,0,1
1514194382,7,6
1514201581,6,3
1514205181,2,0
1514208781,0,3
1514212381,3,0
1514215981,2,4
1514219581,0,3
1514223181,4,0
1514226781,4,0
1514233981,0,5
1514237581,2,0
1514241182,0,2
1514244781,4,0
1514248381,3,3
1514255581,4,9
1514259182,5,0
1514266381,8,3
1514269982,3,4
1514277181,7,2
1514280782,1,0
1514284381,0,8
1514287981,3,0
1514291581,3,5
1514295181,0,2
1514298781,5,4
1514302382,4,0
1514309581,2,4
1514313182,2,3
1514320381,4,5
1514323982,6,3
1514331181,2,6
1514334781,2,0
1514338381,0,5
1514341981,2,3
1514345581,4,0
1514349181,0,3
1514352781,3,2
1514356381,1,0
1514359981,0,5
1514363582,3,0
1514367181,3,0
1514374381,0,4
1514377981,4,0
1514381581,4,0
1514385181,0,8
1514388781,3,0
1514392381,1,0
1514395981,0,8
1514399581,6,0
1514403181,4,4
1514410381,0,3
1514413982,3,4
1514421181,3,2
1514424782,0,1
1514431981,0,4
1514435581,3,0
1514439181,0,4
1514442781,4,0
1514446381,5,2
1514453581,4,5
