DateTime,AddedIPs,RemovedIPs
1512012781,7,5
1512019981,11,12
1512023581,7,7
1512030781,10,11
1512034381,7,5
1512041581,13,12
1512045181,12,13
1512052381,10,11
1512055981,9,10
1512063182,11,11
1512066781,14,14
1512073981,11,12
1512077581,13,12
1512084781,12,11
1512088381,6,6
1512095581,9,11
1512099181,10,9
1512106381,13,12
1512109981,6,7
1512117181,12,13
1512120781,11,12
1512127981,7,5
1512131581,8,9
1512138781,6,6
1512142381,7,9
1512149581,14,11
1512153182,12,12
1512160381,10,10
1512163981,10,10
1512171181,17,16
1512174781,7,7
1512181981,7,9
1512185581,10,9
1512192781,10,9
1512196381,6,7
1512203581,9,8
1512207181,7,6
1512214381,9,9
1512217981,10,11
1512225181,8,9
1512228781,7,6
1512235981,7,7
1512239581,7,8
1512246781,7,8
1512250381,11,10
1512257581,9,6
1512261181,7,12
1512268381,4,4
1512271982,6,7
1512279181,10,8
1512282782,10,11
1512289981,5,8
1512293581,7,6
1512300781,11,7
1512304381,5,5
1512311581,11,13
1512315182,10,10
1512322381,8,7
1512325982,7,8
1512330627,7,10
1512336781,10,8
1512343981,6,8
1512347582,6,4
1512354781,11,8
1512358382,9,10
1512365581,10,10
1512369181,7,6
1512376382,10,10
1512379981,11,11
1512387181,10,11
1512390782,2,3
1512397981,18,14
1512401581,5,5
1512408781,12,17
1512412381,10,7
1512419581,9,8
1512423181,11,11
1512430381,11,9
1512433981,7,13
1512441181,12,9
1512444781,12,13
1512451981,4,5
1512455581,10,7
1512462783,7,6
1512466381,8,8
1512473581,8,9
1512477181,9,10
1512484381,9,9
1512487981,6,4
1512495181,9,6
1512498781,8,11
1512505981,11,16
1512509581,8,6
1512516781,8,9
1512520381,8,6
1512527581,7,8
1512531181,9,10
1512538382,6,6
1512541981,7,8
1512549181,13,8
1512552781,6,4
1512559981,11,12
1512563581,7,10
1512570781,9,6
1512574381,10,14
1512581582,5,3
1512585181,12,11
1512600627,19,21
1512606781,6,7
1512613981,11,10
1512617582,12,9
1512624781,7,11
1512628381,10,11
1512635582,8,10
1512639181,3,4
1512646381,8,7
1512649982,10,8
1512657181,8,9
1512660781,8,7
1512667981,5,1
1512671581,11,12
1512678781,9,9
1512682381,6,9
1512689581,8,7
1512693181,11,10
1512700382,14,17
1512703982,5,6
1512711181,14,12
1512714781,8,7
1512721982,8,9
1512725581,7,9
1512732781,5,5
1512736381,12,11
1512743581,8,10
1512747181,13,16
1512754381,11,9
1512757982,14,12
1512765181,12,10
1512768781,11,11
1512775981,8,10
1512779581,12,12
1512786782,3,3
1512790381,13,12
1512797581,5,3
1512801181,9,10
1512808381,7,9
1512811981,9,8
1512819181,13,11
1512822781,8,10
1512829981,10,10
1512833581,12,12
1512840782,8,7
1512844381,10,11
1512851581,9,8
1512855181,13,12
1512862381,16,13
1512865981,12,12
1512873181,10,10
1512876781,12,13
1512883982,9,9
1512887581,7,9
1512894781,9,12
1512898381,9,10
1512905581,6,5
1512909181,13,9
1512916381,10,11
1512919981,7,9
1512927182,8,7
1512930781,8,9
1512937981,7,6
1512941581,11,13
1512948782,9,10
1512952381,6,7
1512959581,10,10
1512963181,10,8
1512970381,8,7
1512973981,11,12
1512981181,8,6
1512984782,10,11
1512991981,11,12
1512995581,15,13
1513002781,13,11
1513006381,13,14
1513013582,11,8
1513017181,10,12
1513024381,4,4
1513027982,11,13
1513035181,4,5
1513038781,11,9
1513042381,7,5
1513049582,8,11
1513053181,10,9
1513060381,5,6
1513063981,11,9
1513071182,13,9
1513074781,6,7
1513081981,18,20
1513085581,11,13
1513092781,9,11
1513096381,12,9
1513103581,13,12
1513107181,6,10
1513114382,10,10
1513117981,16,14
1513125181,10,12
1513128781,7,9
1513135981,17,13
1513139582,10,10
1513146781,11,6
1513150381,9,10
1513157581,12,13
1513161182,4,3
1513168381,17,16
1513171982,6,7
1513179181,16,16
1513182781,8,10
1513189981,16,14
1513193581,8,7
1513200781,8,10
1513204382,7,9
1513211581,9,8
1513215181,7,10
1513222382,9,10
1513225981,14,9
1513233181,9,14
1513236781,11,8
1513243981,7,5
1513247582,10,13
1513254781,14,13
1513258382,9,9
1513265581,11,12
1513269181,14,11
1513276381,11,9
1513279981,7,8
1513287181,9,9
1513290781,5,5
1513294828,22,18
1513305181,12,15
1513312382,17,18
1513319581,8,10
1513326781,17,18
1513333982,7,8
1513337581,15,14
1513344781,8,7
1513351981,9,10
1513359182,7,5
1513362781,12,13
1513369981,6,4
1513373581,7,9
1513380781,7,8
1513387981,12,9
1513391581,9,10
1513395181,7,7
1513402381,9,9
1513405981,9,12
1513413181,4,6
1513416782,16,11
1513423981,13,11
1513431181,10,8
1513438381,9,14
1513441981,8,9
1513445582,12,11
1513452781,12,11
1513456381,12,13
1513463581,6,8
1513467181,12,16
1513474381,13,10
1513477981,11,12
1513485181,8,8
1513488781,12,11
1513495981,8,6
1513499581,6,10
1513506781,9,8
1513510381,11,11
1513517581,20,18
1513521181,6,7
1513528381,14,15
1513531981,11,11
1513539181,13,13
1513542781,12,11
1513549982,14,13
1513553581,13,13
1513560781,13,14
1513564381,15,13
1513571581,11,13
1513575181,10,12
1513582381,9,10
1513585981,7,8
1513593182,11,9
1513596781,18,14
1513603981,17,18
1513607581,8,9
1513614781,8,10
1513618381,9,12
1513625581,9,11
1513629182,16,12
1513636382,11,12
1513639982,7,6
1513647181,17,14
1513650781,15,14
1513657981,6,5
1513661582,13,11
1513668781,10,14
1513672382,8,7
1513679581,15,13
1513683181,15,13
1513690381,7,10
1513693982,18,15
1513701181,8,8
1513704782,16,17
1513711981,20,20
1513715581,11,9
1513722781,13,11
1513726381,6,9
1513733582,13,14
1513737181,8,9
1513744381,11,14
1513747981,11,10
1513755182,16,14
1513758781,15,16
1513765982,17,16
1513769582,8,9
1513776781,11,12
1513783981,10,10
1513787581,8,6
1513791182,8,7
1513798381,10,10
1513801981,13,16
1513809181,9,12
1513812781,4,3
1513819982,9,8
1513823581,15,15
1513830781,8,7
1513834381,12,12
1513841581,8,7
1513845181,11,12
1513852381,12,10
1513855981,7,5
1513863181,13,16
1513866781,6,10
1513873981,12,10
1513877581,10,7
1513881181,13,13
1513888381,10,8
1513891982,13,14
1513899181,16,17
1513902781,4,4
1513909981,12,10
1513913581,13,15
1513920781,7,9
1513924381,12,15
1513931581,9,8
1513935181,15,12
1513942381,5,5
1513945981,14,14
1513953181,15,14
1513956781,11,12
1513963981,8,8
1513967581,11,8
1513974781,7,8
1513978381,11,15
1513985581,14,14
1513989181,7,6
1513996381,17,18
1513999982,8,6
1514007181,11,13
1514010781,15,16
1514014381,8,8
1514021581,10,9
1514025181,9,13
1514032381,10,9
1514035981,10,11
1514043181,7,7
1514050381,14,12
1514053982,19,16
1514061181,9,10
1514064782,7,11
1514071981,10,6
1514075581,11,12
1514082781,10,9
1514086381,13,12
1514093581,9,11
1514097181,11,10
1514104382,17,14
1514107981,12,15
1514115181,7,10
1514118781,11,8
1514125981,11,8
1514129581,10,12
1514136781,5,7
1514140381,13,14
1514147581,12,7
1514151181,14,16
1514158381,4,7
1514161981,16,9
1514169182,8,11
1514172781,13,13
1514179981,11,12
1514183582,12,11
1514190781,6,7
1514194382,14,10
1514201581,19,15
1514205181,6,11
1514212381,9,9
1514215981,8,10
1514223181,13,11
1514226781,17,15
1514233981,11,12
1514237581,11,12
1514244781,10,11
1514248381,12,12
1514255581,11,14
1514259182,11,10
1514266381,15,16
1514269982,6,5
1514277181,16,15
1514280782,11,9
1514287981,14,13
1514291581,10,11
1514298781,15,16
1514302382,15,14
1514309581,9,9
1514313182,18,17
1514320381,16,15
1514323982,11,10
1514331181,14,15
1514334781,14,16
1514341981,7,7
1514345581,17,14
1514352781,10,12
1514356381,12,12
1514363582,10,10
1514367181,11,12
1514370781,13,12
1514377981,15,14
1514381581,12,9
1514388781,13,15
1514392381,12,14
1514399581,13,12
1514403181,12,15
1514410381,7,7
1514413982,20,18
1514421181,11,13
1514424782,5,9
1514431981,10,8
1514435581,13,14
1514442781,7,7
1514446381,11,11
1514453581,13,13
1514457181,11,10
1514464381,13,14
1514467981,17,14
1514475181,5,7
1514478781,12,12
1514482381,5,6
1514485981,9,9
1514493182,12,7
1514496781,10,9
1514503982,9,11
1514507581,12,12
1514514781,6,6
1514518381,15,15
1514522428,9,9
1514529181,13,14
1514536381,17,15
1514539982,6,6
1514547181,18,16
1514550781,5,6
1514557981,19,19
1514561581,9,9
1514568781,12,16
1514572382,13,10
1514579581,16,16
1514583181,12,13
1514590381,11,14
1514593981,12,13
1514601181,12,11
1514604781,12,6
1514611981,6,9
1514615581,9,14
1514622781,9,6
1514626382,17,19
1514629981,8,11
1514637181,4,6
1514640781,12,9
1514647981,12,10
1514651581,9,8
1514655181,9,11
1514658781,7,7
1514662381,7,4
1514669581,15,14
1514673181,10,12
1514680382,5,4
1514683981,12,10
1514691181,11,15
1514694781,13,15
1514701981,9,8
1514705581,10,9
1514712781,6,7
1514716381,16,14
